ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds
"iDR4_3_MC0137_0026481","MC0137",24.993301834435854,-74.50970087382201,6760.853,6689.1284,1.2491977,0.1994862,-46.34605,1.295331E-4,1.0370896E-4,2.4864259,4.8504953,22.22094,0.6894047,0,99.0,99.0,0,20.572948,0.38548917,0,21.55126,0.8206347,0,99.0,99.0,0,21.262491,0.19901069,0,20.655882,0.2680149,0,20.935402,0.16463985,0,21.123415,0.22204715,0,20.567596,0.19325995,0,19.940613,0.2544293,0,20.744268,0.44800654,0,0.26858333,0.20723805
"iDR4_3_MC0137_0026696","MC0137",25.001117792702573,-74.50528636099914,6747.5376,6718.1865,1.022901,0.022388339,86.87277,1.958248E-4,1.9143606E-4,1.7493297,3.518411,21.341982,0.26062807,0,20.692421,0.23787642,0,19.933815,0.18440473,0,20.192806,0.20181766,0,20.199905,0.1922008,0,20.03947,0.057517365,0,20.168701,0.14744256,0,19.983427,0.059752688,0,20.18115,0.08102896,0,20.171316,0.11419597,0,20.139149,0.25831884,0,20.315022,0.25438127,0,0.064,0.24325615
"iDR4_3_MC0137_0027766","MC0137",24.520910090367316,-74.47742766924506,7590.8096,6887.04,1.1850058,0.15612227,73.88048,2.2828308E-4,1.9235557E-4,1.8216722,4.1131744,19.966204,0.094794355,0,19.885801,0.14323008,0,19.76222,0.19707887,0,19.524881,0.13858856,0,19.587639,0.1375051,0,19.576809,0.046989996,0,19.38121,0.0902501,0,19.719782,0.058173764,0,19.869593,0.07566807,0,20.04474,0.12674293,0,20.101854,0.310745,0,20.278519,0.30691236,0,0.042833332,0.6382711
"iDR4_3_MC0137_0027868","MC0137",24.516860375617135,-74.47475466727876,7598.255,6904.3906,1.064958,0.060995877,-14.663904,1.7553604E-4,1.6474795E-4,1.9894286,4.019534,21.646757,0.45203716,0,22.531805,1.6671431,0,20.149971,0.29204306,0,20.73685,0.43556353,0,20.121008,0.23337342,0,20.856771,0.1539811,0,20.558212,0.27275178,0,20.442642,0.117738396,0,20.655144,0.16231158,0,20.519785,0.20780875,0,99.0,99.0,0,20.398018,0.36458355,0,0.106583335,0.14910574
"iDR4_3_MC0137_0028028","MC0137",24.509829636181607,-74.4711159898174,7611.0537,6927.9546,1.0790472,0.07325649,-59.35852,2.2531023E-4,2.0894702E-4,1.8583417,4.2585034,20.800495,0.20926897,0,20.44277,0.24730296,0,20.973907,0.6167866,0,20.471659,0.34236994,0,20.598307,0.35937774,0,19.933949,0.06696524,0,19.814905,0.1388682,0,19.265842,0.040979538,0,19.330904,0.049430434,0,19.089989,0.05642747,0,18.85501,0.10527004,0,19.109533,0.111392245,0,0.1105,0.086523876
"iDR4_3_MC0137_0028087","MC0137",24.478503308731618,-74.46907098394736,7666.2183,6940.211,1.0539435,0.051182568,53.691883,1.3855538E-4,1.3142174E-4,1.6854398,3.2931173,99.0,99.0,0,24.375221,6.3334384,0,99.0,99.0,0,21.13323,0.4396196,0,22.751898,1.8240972,0,21.8303,0.26113516,0,21.387518,0.40748277,0,20.76013,0.11033471,0,20.87669,0.13978711,0,20.70624,0.17299852,0,21.266224,0.6743148,0,21.171858,0.5193323,0,0.036916666,0.10202878
"iDR4_3_MC0137_0028150","MC0137",24.478182747329257,-74.46772034748855,7666.964,6949.0386,1.0364268,0.035146534,76.21762,1.7751119E-4,1.7122114E-4,1.7611208,3.8995628,21.793829,0.43423858,0,20.976828,0.33816928,0,20.576168,0.36291477,0,20.459642,0.28498772,0,20.330168,0.23904873,0,20.542597,0.09783522,0,20.537077,0.22530258,0,20.557375,0.10954325,0,20.677032,0.13907553,0,20.912582,0.2502051,0,22.341366,2.1712768,0,20.552729,0.3525624,0,0.69525,0.08742238
"iDR4_3_MC0137_0028277","MC0137",24.499249975259882,-74.46440175023815,7630.489,6971.517,1.0095688,0.009478152,43.410126,7.6716926E-5,7.598947E-5,1.561495,3.0129843,23.03032,0.98100674,0,99.0,99.0,0,23.61531,4.287206,0,99.0,99.0,0,21.096325,0.3502266,0,22.066168,0.28284714,0,21.383741,0.35582143,0,21.439602,0.17938857,0,21.880192,0.30435467,0,22.422916,0.7309899,0,20.94214,0.43837702,0,21.254604,0.49004802,0,0.76975,0.10915571
"iDR4_3_MC0137_0028378","MC0137",24.510897819730104,-74.46214824053325,7610.371,6986.68,1.1225914,0.109203875,-58.52123,2.1080478E-4,1.879711E-4,1.7692721,3.6428454,22.392805,0.6434227,0,21.408722,0.42812333,0,21.191486,0.54230624,0,23.780214,5.1463466,0,21.439821,0.5589542,0,21.636574,0.22532254,0,22.184736,0.8714471,0,20.232943,0.07128034,0,19.971983,0.06448101,0,19.114853,0.042596564,0,18.710049,0.06779411,0,18.697563,0.05591335,0,0.15141666,0.17543593
"iDR4_3_MC0137_0028571","MC0137",24.477250792718852,-74.45635668153099,7670.146,7023.371,1.3726829,0.2714997,-76.26227,1.5510575E-4,1.1334408E-4,1.5961691,3.04005,22.042475,0.43427253,0,21.303066,0.3631199,0,21.539202,0.6955669,0,21.196413,0.44714022,0,20.829504,0.30117938,0,21.58194,0.20133033,0,20.920572,0.25798407,0,21.216425,0.16099821,0,21.082651,0.16184261,0,21.650839,0.39544368,0,20.726894,0.39523894,0,21.139193,0.4844485,0,0.1575,0.10591221
