ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds
"iDR4_3_MC0138_0007087","MC0138",31.318288980584423,-74.96126478463484,4717.305,3738.0186,1.0810486,0.07497221,-84.8967,1.11805704E-4,1.0341435E-4,1.7831458,4.3908267,22.641098,0.8731489,0,22.70733,1.4747053,0,21.715902,0.9345986,0,20.634651,0.30176634,0,21.125076,0.4445702,0,21.167536,0.14651938,0,21.47412,0.46136877,0,21.470863,0.2216265,0,21.346115,0.21336417,0,21.442987,0.3872004,0,21.247044,0.6733922,0,99.0,99.0,0,0.7033333,0.12542765
"iDR4_3_MC0138_0007099","MC0138",31.34509406548957,-74.96053302762925,4671.7417,3742.444,1.0510802,0.048597872,-41.595417,2.0618968E-4,1.9617997E-4,2.0347385,4.5610013,20.204165,0.117706195,0,19.930624,0.14602327,0,20.097445,0.26235226,0,19.574486,0.1418903,0,20.315495,0.26203007,0,19.829187,0.05474335,0,20.175226,0.1753341,0,20.073742,0.07691558,0,20.458298,0.116008714,0,20.612446,0.22230522,0,20.573254,0.44381216,0,20.84888,0.46919116,0,0.181,0.08881783
"iDR4_3_MC0138_0007127","MC0138",31.251286261911922,-74.95897607923371,4830.999,3753.8196,1.2534089,0.20217574,88.06557,1.4567538E-4,1.16238894E-4,3.0318067,5.7214794,99.0,99.0,0,21.473904,0.7157714,0,22.419922,2.6912112,0,23.425701,5.8722544,0,21.90503,1.3599777,0,21.35186,0.2576773,0,21.460901,0.6823874,0,20.401312,0.12519926,0,20.463211,0.1417975,0,19.75731,0.12394666,0,20.323366,0.4322212,0,19.917942,0.24445155,0,0.24383333,0.22649033
"iDR4_3_MC0138_0007189","MC0138",31.21009395622087,-74.95751460885198,4900.9116,3763.8262,1.0435841,0.0417639,10.903808,3.025117E-4,2.8985014E-4,2.0088685,4.8527856,18.543804,0.035122782,0,18.121922,0.03853839,0,18.074598,0.05599296,0,17.80234,0.038870364,0,17.690994,0.033743918,0,17.44654,0.009945735,0,17.296606,0.01929325,0,17.058243,0.007764494,0,17.049158,0.00856303,0,16.947731,0.010782423,0,16.943647,0.021525234,0,16.93748,0.01729682,0,0.02525,0.65707153
"iDR4_3_MC0138_0007222","MC0138",31.286074261878788,-74.95655206455933,4771.794,3769.276,1.0207915,0.02036798,3.4961076,3.0901117E-4,3.0270967E-4,1.9734296,4.759229,20.808079,0.25131667,0,20.17163,0.22337407,0,19.643497,0.21673746,0,19.20928,0.12769112,0,18.83163,0.086444885,0,17.815617,0.012860688,0,17.811014,0.02835218,0,16.661533,0.005838874,0,16.46066,0.0057291714,0,16.148802,0.0056597325,0,16.018705,0.009928849,0,15.960896,0.007484782,0,0.18208334,0.886049
"iDR4_3_MC0138_0007246","MC0138",31.176503872269915,-74.95293161015364,4957.8125,3794.1475,1.0803009,0.074332,4.058944,2.3401764E-4,2.166089E-4,1.9297762,4.2104564,19.362566,0.06348528,0,18.986,0.07170213,0,18.84817,0.09785916,0,18.916857,0.08874967,0,18.945919,0.08600638,0,19.053623,0.03114599,0,19.00774,0.069117695,0,19.337868,0.04423935,0,19.42557,0.051341124,0,19.651281,0.10208719,0,20.423677,0.42875242,0,19.836021,0.20508114,0,0.030333333,0.067437045
"iDR4_3_MC0138_0007274","MC0138",31.318216729758753,-74.9506664237942,4716.889,3807.3901,1.2484565,0.19901091,-11.519913,1.8804017E-4,1.5071715E-4,3.9038641,7.38688,99.0,99.0,0,22.09064,1.6077737,0,20.737783,0.7281363,0,21.612375,1.3958408,0,99.0,99.0,0,20.72999,0.18440822,0,21.565855,0.9509198,0,20.063377,0.11578834,0,19.703495,0.089419484,0,19.429173,0.11539838,0,19.22122,0.19769444,0,18.985224,0.13068955,0,0.469,0.120808296
"iDR4_3_MC0138_0007290","MC0138",31.27534285471158,-74.9496244666658,4789.706,3814.7502,1.5869797,0.36987227,6.9450297,2.6074797E-4,1.64168E-4,2.3557355,4.42268,24.608027,7.194094,0,22.165335,1.2117252,0,99.0,99.0,0,21.239954,0.694418,0,21.671486,0.9757076,0,20.952057,0.15948957,0,21.266949,0.50665224,0,20.025362,0.07930398,0,19.963274,0.080712974,0,19.86427,0.12116696,0,19.146477,0.12998375,0,19.33691,0.12686011,0,0.18491666,0.3117403
"iDR4_3_MC0138_0007317","MC0138",31.314579588150405,-74.9492542098102,4722.9995,3816.6816,1.0396948,0.038179338,-34.963913,2.6654793E-4,2.5639683E-4,2.0949512,5.878397,19.898474,0.12119016,0,19.569164,0.14238398,0,19.370497,0.18555757,0,19.116158,0.12724812,0,19.23846,0.13407445,0,18.656948,0.026455406,0,18.534775,0.05511841,0,18.109724,0.018497039,0,18.03848,0.018951323,0,17.85918,0.024853913,0,17.83158,0.04963273,0,17.817492,0.039970804,0,0.11116666,0.19753312
"iDR4_3_MC0138_0007335","MC0138",31.248795815353866,-74.94710344892881,4834.7173,3831.5593,1.1604354,0.13825458,-47.27086,1.5385186E-4,1.3257166E-4,1.9511213,5.7576785,22.116016,0.66080993,0,20.874563,0.33757564,0,20.749855,0.4702576,0,20.302094,0.26900524,0,20.761456,0.38505605,0,20.530737,0.09949096,0,21.010147,0.36581042,0,20.943274,0.16481821,0,21.061865,0.19680597,0,21.595232,0.53579026,0,21.583876,1.0977699,0,21.263231,0.672399,0,0.69533336,0.10381699
