ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds
"iDR4_3_MC0120_0008886","MC0120",38.554613090109825,-73.67710185919951,4286.602,4083.6992,1.092401,0.08458531,-77.77904,1.9849383E-4,1.8164093E-4,1.2527285,2.9147434,21.922457,0.37652692,0,21.913094,0.6094239,0,21.310053,0.55114937,0,21.259844,0.46014398,0,20.78226,0.28299594,0,20.32106,0.06265169,0,20.07627,0.11863012,0,18.868965,0.021272575,0,18.509432,0.018804884,0,17.715069,0.013081294,0,17.37778,0.022317532,0,17.220219,0.015889503,0,0.10175,0.20124282
"iDR4_3_MC0120_0008891","MC0120",38.52430687664705,-73.6759316196897,4342.2705,4091.961,1.0413918,0.039746642,-61.927773,2.2181764E-4,2.1296112E-4,1.3270997,3.1764264,19.397585,0.045280796,0,19.060406,0.05471996,0,18.87987,0.07136897,0,18.634476,0.051202253,0,18.579767,0.046695564,0,18.218878,0.013089099,0,18.064661,0.025161944,0,17.694626,0.009394464,0,17.675339,0.010822558,0,17.54682,0.012167288,0,17.533064,0.027195154,0,17.487951,0.021401249,0,0.1035,0.19674844
"iDR4_3_MC0120_0008897","MC0120",38.568317930481186,-73.67652849730612,4261.349,4087.1704,1.1262312,0.1120829,-73.24257,1.7278161E-4,1.5332401E-4,1.2882593,2.7516356,20.997738,0.17675827,0,20.266626,0.14927211,0,20.25974,0.22978441,0,19.883347,0.14185196,0,20.208544,0.18080764,0,20.168137,0.057562783,0,20.705347,0.21961413,0,20.390062,0.080502726,0,20.54549,0.10748024,0,20.986473,0.24073,0,20.277306,0.30553254,0,23.497627,4.9419374,0,0.7420833,0.084907874
"iDR4_3_MC0120_0008937","MC0120",38.37919240157574,-73.67466111063383,4609.1665,4102.7676,1.0244477,0.02386427,7.312099,2.161309E-4,2.1096255E-4,1.8541692,4.256918,22.624083,1.095406,0,21.314888,0.5419094,0,21.828896,1.3571016,0,21.801746,1.1403064,0,20.758354,0.41465208,0,21.012526,0.1682875,0,20.435884,0.24163322,0,19.322704,0.043558516,0,19.25357,0.047767993,0,18.84621,0.04913183,0,18.778318,0.111286655,0,18.788834,0.0936482,0,0.24016666,0.42037165
"iDR4_3_MC0120_0008956","MC0120",38.399241209477466,-73.67401763843884,4572.2446,4106.674,1.1877203,0.1580509,-72.95276,1.639997E-4,1.3798739E-4,1.629684,3.9039073,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,21.30376,0.63528675,0,22.338892,1.5512484,0,21.103746,0.16031843,0,21.6785,0.65647656,0,20.765306,0.13894078,0,20.865791,0.17716718,0,20.488483,0.19101068,0,20.230228,0.36554787,0,19.922514,0.23067372,0,0.26816666,0.16650814
"iDR4_3_MC0120_0008971","MC0120",38.51056380699513,-73.672834593225,4367.344,4112.495,1.105052,0.09506518,-69.11313,1.9470052E-4,1.761035E-4,1.3739641,3.4471714,19.505571,0.048537415,0,19.260204,0.06359088,0,19.022621,0.07906175,0,19.097261,0.07360056,0,19.139172,0.072400354,0,19.196518,0.026305802,0,19.338148,0.06726972,0,19.451216,0.036065057,0,19.656317,0.050071042,0,19.689299,0.0753406,0,19.698288,0.1829998,0,19.819382,0.17057978,0,0.37641665,0.06451194
"iDR4_3_MC0120_0008999","MC0120",38.46052985286057,-73.67157677879851,4459.329,4121.639,1.1376779,0.12101662,-78.48459,1.9726541E-4,1.7332E-4,1.35418,3.460894,21.023369,0.19514245,0,20.284283,0.16508514,0,20.43602,0.2947061,0,20.12653,0.19187348,0,19.945236,0.15531187,0,19.716158,0.042462803,0,19.796467,0.1066111,0,19.371292,0.036073256,0,19.377737,0.042114142,0,19.279238,0.05627414,0,19.105654,0.11515059,0,19.293324,0.1141016,0,0.039333332,0.20260566
"iDR4_3_MC0120_0009014","MC0120",38.521270771708366,-73.67097510931568,4347.5156,4124.461,1.0047112,0.0046890974,-28.102383,7.643055E-5,7.607427E-5,1.4609582,-1.74586,99.0,99.0,0,23.981907,3.1120815,0,99.0,99.0,0,99.0,99.0,0,22.70401,1.2432187,16,23.77555,1.0551528,0,99.0,99.0,0,21.93768,0.23313718,0,21.953375,0.275625,0,20.68018,0.13117227,0,20.416197,0.24865861,0,20.652657,0.25841147,0,0.7226667,0.10571824
"iDR4_3_MC0120_0009020","MC0120",38.55569918117542,-73.67045270478724,4284.1226,4127.1973,1.2176118,0.17872012,42.35543,1.2552357E-4,1.03069324E-4,1.7678767,4.4401364,22.391209,0.65271586,0,99.0,99.0,0,99.0,99.0,0,21.93742,0.9593578,0,21.767347,0.7781669,0,22.663025,0.5674032,0,22.219437,0.9113242,0,21.031317,0.15139303,0,21.078024,0.18379194,0,20.661766,0.190973,0,20.273035,0.3249857,0,20.06974,0.22551866,0,0.52958333,0.28001386
"iDR4_3_MC0120_0009036","MC0120",38.59389959105193,-73.66851042328962,4213.676,4139.109,1.0771475,0.07162207,-79.65645,2.2113416E-4,2.0524104E-4,1.3149986,3.1745882,20.150763,0.09431904,0,20.08698,0.14500709,0,19.819254,0.17677164,0,19.09631,0.08118284,0,19.030056,0.074073866,0,18.496355,0.016996222,0,18.344439,0.033449147,0,17.901358,0.011631872,0,17.834238,0.012925183,0,17.693645,0.014927602,0,17.70075,0.034548867,0,17.581333,0.025632689,0,0.09275,0.22739866
