ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds
"iDR4_3_MC0045_0012822","MC0045",4.390079059003643,-69.05156598713023,4484.7188,9777.642,1.1334822,0.11776292,-12.902081,2.4020937E-4,2.1198322E-4,2.0818222,6.166203,99.0,99.0,0,20.79657,0.6023255,0,99.0,99.0,0,21.67715,1.9310331,0,20.277573,0.49363488,0,20.05844,0.1564117,0,20.176174,0.35174105,0,18.968397,0.050074454,0,18.709274,0.04364265,0,18.453096,0.034528997,0,18.213211,0.057443388,0,18.161118,0.041728914,0,0.15991667,0.19909213
"iDR4_3_MC0045_0013081","MC0045",4.513564721247127,-69.06024672998434,4196.247,9718.481,7.3325834,0.8636224,-3.5963056,0.005719943,7.9343154E-4,19.44489,30.774984,10.766972,0.062222105,3,10.085149,0.002205754,3,9.7942295,6.2645995E-4,3,9.229822,6.1512645E-4,3,9.731838,0.0736586,3,9.9335165,0.053163633,7,9.541091,0.052933354,3,9.581168,0.051487386,7,9.258966,0.051685628,7,9.374247,0.04660392,7,8.825697,0.061103966,7,9.27154,0.0508212,7,0.33675,0.25560877
"iDR4_3_MC0045_0013194","MC0045",4.422329144951755,-69.05003297419267,4409.168,9787.123,1.1703591,0.1455614,1.0009177,2.0908125E-4,1.7863196E-4,3.264023,6.3466372,21.977524,1.569455,0,99.0,99.0,0,99.0,99.0,0,21.118513,1.5071607,0,22.928802,7.3986955,0,21.109335,0.5346656,0,20.340834,0.53372073,0,20.415525,0.2424191,0,19.690783,0.13702622,0,19.199747,0.08728236,0,19.135542,0.1715694,0,19.198486,0.13893105,0,0.44691667,0.33844662
"iDR4_3_MC0045_0013201","MC0045",4.365179642780621,-69.05600351313733,4543.1855,9748.993,1.231155,0.18775457,2.9882212,1.4169476E-4,1.1506938E-4,1.8355833,4.126297,21.891777,0.7030658,0,99.0,99.0,0,20.444674,0.39284006,0,20.764067,0.5288686,0,22.344257,2.0914752,0,21.342724,0.32126385,0,21.048246,0.4960049,0,20.929033,0.18902196,0,20.764418,0.17821577,0,20.620176,0.15622793,0,21.445868,0.69386363,0,20.80309,0.2937917,0,0.17125,0.073489696
"iDR4_3_MC0045_0013228","MC0045",4.4622479240021145,-69.05190545407795,4315.842,9774.125,1.2644275,0.20912832,-13.446144,2.2443516E-4,1.7763495E-4,1.7635527,3.2385254,21.636139,1.0499902,0,21.634724,1.5639393,0,20.627302,0.87385386,0,99.0,99.0,0,20.576138,0.7778018,0,20.98572,0.43842855,0,19.90211,0.32799095,0,19.99931,0.15251587,0,20.16626,0.19497763,0,19.820906,0.14191057,0,19.307362,0.18463594,0,19.79977,0.22189906,0,0.052416667,0.32053936
"iDR4_3_MC0045_0013231","MC0045",4.4778719491374535,-69.05520945602956,4279.4624,9752.19,1.0770383,0.0715279,24.685257,2.1603615E-4,2.0051969E-4,3.502517,6.277863,20.351864,0.43716776,0,21.1769,1.3859817,0,20.328959,0.8961365,0,99.0,99.0,0,99.0,99.0,0,20.130701,0.26922333,0,19.776344,0.3933957,0,18.974052,0.080434434,0,19.616226,0.15873799,0,20.254093,0.2838365,0,21.712122,2.2680602,0,19.27573,0.184394,0,0.25741667,0.13687655
"iDR4_3_MC0045_0013236","MC0045",4.377616814305215,-69.05271205052988,4513.936,9770.343,1.1017736,0.092372596,-17.833801,2.1126565E-4,1.9179923E-4,1.8121328,3.970221,22.250599,1.0854526,0,99.0,99.0,0,20.92733,0.6855082,0,20.422255,0.43629655,0,23.111965,4.7963753,0,20.51664,0.17099114,0,20.354155,0.29810244,0,19.740673,0.07312397,0,19.63162,0.0730182,0,19.221603,0.050222497,0,19.174637,0.09928697,0,19.040981,0.06708789,0,0.057916667,0.16794658
"iDR4_3_MC0045_0013268","MC0045",4.412589691131521,-69.04945382501901,4431.934,9791.086,1.0941586,0.086055756,-10.896042,2.0975654E-4,1.9173835E-4,1.7162476,3.6318593,21.232744,0.48910767,0,20.57283,0.39912182,0,20.597311,0.5783939,0,21.546886,1.3936521,0,20.112703,0.3483662,0,19.798105,0.10123594,0,19.583387,0.16837662,0,19.56352,0.070775084,0,19.501877,0.07342883,0,19.411884,0.06746443,0,19.234661,0.11905514,0,19.388649,0.10435309,0,0.0275,0.22013696
"iDR4_3_MC0045_0013314","MC0045",4.3378767851156335,-69.05766446529464,4607.137,9738.532,1.0315477,0.030582845,-18.05409,2.8294427E-4,2.742983E-4,1.8735754,4.346854,19.71662,0.1297207,0,19.392818,0.14378642,0,19.444342,0.21276397,0,18.545094,0.094848186,0,18.41446,0.07878872,0,17.79681,0.018189752,0,17.708055,0.033691432,0,17.109201,0.009127054,0,17.040638,0.009629265,0,16.833797,0.007885119,0,16.792862,0.014892112,0,16.752401,0.010794219,0,0.0885,0.43699
"iDR4_3_MC0045_0013380","MC0045",4.505146748200268,-69.06127863884377,4216.0,9711.904,8.215994,0.8782862,-88.79549,0.0011321706,1.3730512E-4,5.8591924,10.486421,15.22644,0.0045161764,3,14.937635,0.005385608,3,14.699587,0.0063241846,3,13.871663,0.0035612246,3,13.733468,0.0031287803,3,13.535003,0.10735434,3,12.923886,0.001674951,3,12.799233,0.09547127,3,12.583937,0.18117517,3,12.462107,0.10405709,3,12.314509,0.15265842,3,12.202325,0.11368958,3,0.336,0.14699033
