No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,"Associations ",Redshift-independent Distances,Classifications,Images,Spectra
131,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">GALEXASC J133521.88+803136.5</a>",203.840714,80.526319,G,20805.595866,0.069400,SUN,2,,6,3,2,,,,,,
132,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J133512.83+803141.4</a>",203.803750,80.528000,G,21015.451905,0.070100,SUN,2,,33,5,2,2,,,,1,
133,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">GALEXASC J041643.95+001618.3</a>",64.182360,0.272929,G,9953.109456,0.033200,SUN,2,,7,3,2,,,,,,
134,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J041643.11+001621.9</a>",64.179750,0.272722,G,10162.964386,0.033900,SUN,3,,30,5,3,2,,,,1,
135,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J003757.63-250425.9</a>",9.490125,-25.073750,G,19056.907178,0.063567,SUN,20,,32,13,8,2,,1,2,1,1
136,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">AM 0156-335</a>",29.661792,-33.743333,G,26422.508078,0.088136,PUN,3,,33,7,1,2,,,1,1,
137,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">AM 0304-425</a>",46.575052,-42.681088,GGroup,,,,3,,,1,,,,,,,
138,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">AM 0147-280</a>",27.489811,-27.809005,GGroup,26552.618005,0.088570,UUN,3,,,2,2,,2,,,,
139,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J122113.43+492829.5</a>",185.305971,49.474858,G,13624.471175,0.045446,SLS,17,,72,10,6,10,,,,1,1
140,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SCG 49</a>",43.785195,-21.595252,GGroup,8213.114179,0.027396,UUN,2,,,2,2,,2,,,,
141,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J10103880+6413338</a>",152.661605,64.226121,G,16613.898437,0.055418,PUN,8,,30,6,1,6,1,,,1,
142,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J081249.96+472633.8</a>",123.208202,47.442654,G,11869.948706,0.039594,SLS,22,,68,12,9,10,,,2,1,1
143,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J12291007+3855529</a>",187.291720,38.931315,G,15819.755411,0.052769,SLS,17,,56,8,6,10,,,,1,1
144,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J092807.81+262932.8</a>",142.032576,26.492478,G,12851.247067,0.042867,SLS,17,,68,9,5,10,1,,,1,1
145,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J13491783+2140432</a>",207.324418,21.678824,G,18628.119121,0.062137,SLS,20,,36,8,6,6,,,,1,
146,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SDSS J104626.52+430110.8</a>",161.610303,43.019410,G,22146.475314,0.073873,SLS,20,,26,6,5,4,,,,,1
147,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">IC 2568</a>",155.625061,36.599305,G,8032.938852,0.026795,SUN,34,,47,14,12,11,,,6,7,1
148,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SDSS J113148.91+152424.5</a>",172.953794,15.406691,G,20680.932688,0.068984,SLS,12,,26,5,4,4,2,,,,1
149,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B223739.0-383656</a>",340.129833,-38.354250,G,,,,2,,35,7,,2,,,,1,
150,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J155049.95+340437.0</a>",237.708132,34.076937,G,15928.775538,0.053133,SLS,19,,68,9,6,10,,,,1,1
151,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J034959.57-151748.3</a>",57.498234,-15.296763,G,,,,2,,25,6,,,,,,,
152,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 1231+201</a>",188.394159,19.851488,G,22055.982961,0.073571,SLS,21,,52,9,5,6,1,,,1,
153,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J101305.80+170237.7</a>",153.274282,17.043737,G,6604.993558,0.022032,SLS,19,,48,11,7,6,,,,1,
154,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J131418.38+171215.8</a>",198.576648,17.204424,G,21791.396330,0.072688,SLS,19,,50,10,7,6,,,,1,
155,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASS J01484422+1341578</a>",27.184340,13.699427,G,13336.772045,0.044487,SLS,21,,53,11,7,8,1,,1,,2
156,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASS J01484546+1343001</a>",27.189496,13.716727,G,13422.585837,0.044773,SLS,18,,52,8,5,8,1,,,,1
157,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J153305.53+125239.7</a>",233.272939,12.877675,G,20504.739864,0.068396,SLS,18,,48,8,5,6,,,,1,
158,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 004-098 NED01</a>",129.718158,1.399132,G,8776.124415,0.029274,SUN,19,,56,17,6,6,1,,1,1,1
159,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J034543.29-121546.5</a>",56.430346,-12.263000,G,,,,3,,23,6,,,,,,,
160,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J030011.85-362122.7</a>",45.049228,-36.356091,G,27490.968399,0.091700,SUN,2,,24,5,2,,,,,,
161,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J030010.43-362127.6</a>",45.043356,-36.358293,G,28720.117476,0.095800,SUN,2,,14,3,2,,1,,,,
162,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J050428.56-184043.8</a>",76.118776,-18.678920,G,23709.086541,0.079085,SLS,8,,34,6,4,2,,,,1,1
163,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 0857+456</a>",135.250333,45.438083,G,15403.183598,0.051379,SLS,23,,54,12,7,6,,,1,1,1
164,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 1019+368</a>",155.632679,36.587268,G,7821.697951,0.026090,SLS,23,,67,12,8,10,,,,1,1
165,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NSA 166499</a>",238.383750,20.964444,G,,,,8,,3,2,,,3,,2,,
166,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121008.36+443906.9</a>",182.534781,44.651822,G,6817.894470,0.022742,SLS,10,,57,9,6,8,,,,,1
167,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121014.43+443957.0</a>",182.560289,44.665782,G,19768.467575,0.065941,SLS,19,,55,7,5,8,,,,,1
168,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J124124.35+181846.7</a>",190.351468,18.312984,G,21258.699908,0.070911,SLS,18,,48,8,6,6,,,1,1,
169,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J124120.34+181823.0</a>",190.334786,18.306417,G,23134.069617,0.077167,SLS,15,,48,6,3,6,,,1,1,
170,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J124113.01+181809.6</a>",190.304236,18.302666,G,20629.724539,0.068813,SLS,15,,39,7,4,4,,,1,1,
171,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SDSS J152345.96+024013.0</a>",230.941532,2.670280,G,6298.000000,0.021008,SUN,20,,34,8,5,4,1,,,,1
172,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J220231.70-225324.9</a>",330.631708,-22.890444,G,20936.905682,0.069838,SUN,4,,34,7,3,2,,,,1,
173,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J220225.60-225312.1</a>",330.606917,-22.886500,G,21516.104711,0.071770,SUN,5,,34,8,5,2,,,,1,1
174,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J003439.42+393441.4</a>",8.664167,39.577972,G,5782.996515,0.019290,UUN,10,,39,8,4,2,,,,1,
175,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J001124.57-535551.6</a>",2.852583,-53.930972,G,12507.041555,0.041719,SLS,4,,34,8,4,2,,,1,1,1
176,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J002244.86-203517.5</a>",5.687542,-20.588611,G,15528.949532,0.051799,SLS,3,,34,7,2,2,,,1,1,1
177,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J212755.29-463746.0</a>",321.980542,-46.629444,G,13997.010072,0.046689,SLS,6,,34,8,4,2,,,1,1,1
178,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J232742.09-470227.1</a>",351.925167,-47.040722,G,15042.086580,0.050175,SLS,3,,34,7,2,2,,,1,1,1
179,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J23442831-2602235</a>",356.117917,-26.039833,G,14180.183263,0.047300,SUN,8,,21,8,5,2,,,1,1,1
180,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">AM 0147-280 NED01</a>",27.485833,-27.818861,G,12850.903505,0.042866,SUN,16,,47,14,8,2,1,,1,1,1
181,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J025506.93-213508.8</a>",43.778833,-21.585833,G,19711.953698,0.065752,PUN,5,,34,8,1,2,,,1,1,
182,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J222532.11-274228.8</a>",336.383875,-27.708167,G,14985.126013,0.049985,SLS,7,,35,8,4,2,,,1,1,1
183,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J130957.81+302457.6</a>",197.490875,30.416056,G,15182.632282,0.050644,SLS,16,,17,7,7,,,,,,1
184,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 2800 NED01</a>",9.494718,-25.091789,GClstr,19186.718211,0.064000,SUN,2,,,1,1,,2,,,,
185,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J151108.01+392853.8</a>",227.783262,39.481630,G,17320.470288,0.057775,SLS,18,,59,7,4,8,,,,,1
186,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 004-098 NED02</a>",129.710876,1.405024,G,8706.872418,0.029043,SUN,13,,40,7,4,6,1,,,1,1
187,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SDSS J151103.17+392941.8</a>",227.763208,39.494951,G,,,,2,,21,3,,4,,,,,
188,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SDSS J124503.07+353902.7</a>",191.262813,35.650770,G,,,,2,,23,4,,4,,,,,
189,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J124503.55+353721.2</a>",191.264467,35.622684,G,,,,2,,20,4,,,1,,,,
190,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J124505.07+353840.0</a>",191.271181,35.644484,G,,,,2,,35,5,,4,,,,,
191,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J130002.74+332707.6</a>",195.011375,33.452223,G,,,,2,,39,6,,4,,,,,
192,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J13144377+2147546</a>",198.682283,21.798718,G,18886.661037,0.062999,SLS,20,,38,7,5,6,,,,1,
193,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">GALEXASC J131858.29+333335.8</a>",199.743002,33.559744,G,8265.000000,0.027569,SUN,4,,9,5,1,,,,,,1
194,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J132041.00+341103.4</a>",200.170871,34.184271,G,19262.223040,0.064252,SLS,21,,61,10,8,6,,,,1,1
195,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J132047.00+341133.7</a>",200.195835,34.192696,G,19366.583793,0.064600,SLS,20,,51,9,8,6,,,,1,1
196,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J132051.88+341156.9</a>",200.216179,34.199159,G,35523.887824,0.118495,SLS,20,,56,9,7,6,,,,1,1
197,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J132057.09+341249.0</a>",200.237870,34.213782,G,33402.731770,0.111420,SLS,21,,52,9,7,6,1,,,1,1
198,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J132803.85+315448.7</a>",202.016083,31.913528,G,19097.008916,0.063701,SLS,15,,47,9,5,4,1,,,,1
199,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J132804.52+315713.3</a>",202.019039,31.952800,G,7289.202090,0.024314,SLS,3,,20,5,1,,,,,,
200,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J133145.64+372827.7</a>",202.940180,37.474340,G,16988.596140,0.056668,SLS,18,,50,8,5,6,,,,1,
201,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J133157.52+372537.9</a>",202.989682,37.427163,G,16412.806051,0.054747,SLS,16,,26,6,3,,,,,,
202,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J133157.77+372702.2</a>",202.990568,37.450581,G,,,,2,,20,4,,,,,,,
203,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J130843.67+285327.6</a>",197.182010,28.891040,G,18347.298520,0.061200,SUN,7,,40,6,2,4,,,,,
204,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J130846.43+285248.8</a>",197.193521,28.880176,G,18245.639407,0.060861,SLS,22,,40,9,8,4,,,,,1
205,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASXi J1308508+285311</a>",197.211682,28.886258,G,23923.983771,0.079802,SLS,25,,34,9,8,4,,,,1,1
206,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J130948.69+302545.9</a>",197.452932,30.429608,G,15168.146311,0.050595,SLS,15,,36,8,7,4,,,,,1
207,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SDSS J130955.91+302516.1</a>",197.482981,30.421166,G,7296.000000,0.024337,SUN,7,,24,6,1,4,,,,,1
208,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B001044.3-415056</a>",3.313668,-41.571068,G,,,,1,,20,5,,,,,,,
209,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B001045.2-415224</a>",3.317190,-41.595425,G,,,,1,,25,6,,,,,,,
210,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B001053.7-415122</a>",3.352663,-41.578439,G,,,,1,,26,6,,,,,,,
211,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B001557.2-422455</a>",4.610458,-42.137722,G,27958.045048,0.093258,SUN,4,,35,8,3,2,,,,1,
212,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B001605.2-422411</a>",4.643910,-42.124760,G,,,,1,,26,6,,,,,,,
213,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B011917.6-382003</a>",20.388717,-38.072494,G,,,,1,,20,5,,,,,,,
214,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B011924.2-382023</a>",20.416061,-38.078401,G,34522.900293,0.115156,SUN,3,,26,6,2,,,,,,
215,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B011928.6-381921</a>",20.434167,-38.061348,G,34441.056952,0.114883,SUN,4,,20,5,2,,,,,,
216,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B021234.8-415159</a>",33.649896,-41.633525,G,,,,1,,20,5,,,,,,,
217,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B025151.1-421049</a>",43.431794,-41.977308,G,,,,1,,20,5,,,,,,,
218,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B025159.2-421056</a>",43.465422,-41.979642,G,20930.010455,0.069815,SUN,2,,24,6,2,,,,,,
219,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B111708.0-061439</a>",169.918314,-6.518001,G,,,,2,,20,5,,,,,,,
220,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B111708.3-061334</a>",169.919248,-6.499641,G,,,,3,,25,6,,,,,,,
221,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B111708.5-061314</a>",169.920458,-6.494111,G,18799.985041,0.062710,SUN,5,,35,9,5,2,,,,1,1
222,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B135916.5-025753</a>",210.466958,-3.205278,G,20290.217375,0.067681,SLS,17,,50,11,6,4,,,,,2
223,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B223740.9-383916</a>",340.137583,-38.393000,G,30330.902353,0.101173,SUN,3,,35,7,2,2,,,,1,
224,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B231400.3-415612</a>",349.188915,-41.663311,G,,,,1,,25,6,,,,,,,
225,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B231404.1-415658</a>",349.204995,-41.676022,G,,,,1,,25,6,,,,,,,
226,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B232725.5-442858</a>",352.534335,-44.205597,G,30103.060085,0.100413,SUN,2,,25,6,2,,,,,,
227,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B233650.7-385735</a>",354.872583,-38.682833,G,,,,1,,35,7,,2,,,,1,
228,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B233653.1-385626</a>",354.882855,-38.663296,G,,,,1,,19,5,,,,,,,
229,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B233653.4-385639</a>",354.884839,-38.667119,G,,,,1,,25,5,,,,,,,
230,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B233657.3-385634</a>",354.900167,-38.666000,G,45388.877934,0.151401,SUN,3,,34,7,2,2,,,,1,
231,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B021246.0-415243</a>",33.696958,-41.646444,G,13574.902291,0.045281,PUN,2,,34,7,1,2,,,,1,
232,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J124117.44+524748.1</a>",190.322764,52.796646,G,9885.580155,0.032975,SLS,13,,53,6,4,8,,,,,1
233,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J230949.76-483416.4</a>",347.457424,-48.570907,G,23587.970388,0.078681,SUN,2,,34,5,2,2,,,,1,
234,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J221842.96-241104.8</a>",334.679583,-24.184361,G,9397.893973,0.031348,SUN,5,,36,8,4,2,,,,1,1
235,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WBL 435</a>",198.454167,6.952500,GClstr,6505.496459,0.021700,SUN,4,,,1,1,,,,,,
236,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 2061:KYDISC 00400</a>",230.157396,30.478454,VisS,23497.732858,0.078380,SUN,3,,48,8,1,4,,,,,
237,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 2061:KYDISC 00212</a>",230.177934,30.461383,G,23982.176485,0.079996,SLS,16,,66,10,5,8,,,,,1
238,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 2061:KYDISC 00029</a>",230.198823,30.455366,G,24012.278645,0.080096,SLS,26,,77,11,9,10,,,,1,1
239,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SCL 219</a>",359.841560,-20.421572,GClstr,,,,2,,,1,,,,,,,
240,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J111941.62-063129.2</a>",169.923102,-6.524866,G,,,,1,,19,4,,,,,,,
241,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J140146.82-031026.9</a>",210.445091,-3.174234,G,,,,2,,38,6,,4,,,,,
242,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J140151.10-031125.1</a>",210.462958,-3.190222,G,20295.949407,0.067700,SUN,3,,23,6,2,,,,,,1
243,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 010-013</a>",161.785677,-2.358868,G,10912.445471,0.036400,SUN,15,,50,11,6,6,,,,1,1
244,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J104712.45-021958.4</a>",161.802055,-2.333067,G,11048.851040,0.036855,SUN,6,,51,9,3,6,,,,1,1
245,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J10471175-0218400</a>",161.798907,-2.311225,G,21435.160747,0.071500,SUN,5,,35,7,4,6,,,,1,1
246,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 011-102</a>",171.963452,-0.470136,G,18436.022008,0.061496,SLS,27,,78,12,9,10,1,,,1,2
247,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J111431.91-005049.5</a>",168.632972,-0.847131,G,20640.791677,0.068850,SLS,25,,73,12,8,10,,,1,1,2
248,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J111009.38-010048.4</a>",167.539063,-1.013475,G,,,,3,,53,7,,6,,,,1,
249,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J111434.05-005151.1</a>",168.641809,-0.864240,G,20715.658848,0.069100,SUN,6,,38,8,3,4,,,,,1
250,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J111435.35-005203.5</a>",168.647258,-0.867592,G,20754.332075,0.069229,SUN,17,,49,12,8,4,,,,,2
251,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J111424.90-004951.0</a>",168.603790,-0.830856,G,8331.103497,0.027790,SLS,13,,58,10,7,8,,,,,2
252,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J112755.32-002820.9</a>",171.980543,-0.472527,G,18620.948086,0.062113,SLS,18,,64,10,6,8,,,,,2
253,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J111003.07-010020.1</a>",167.512746,-1.005650,G,32527.481693,0.108500,SUN,5,,44,8,2,4,1,,,,1
254,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SARS 025.08754-54.69053</a>",25.560801,-54.438464,G,18159.028766,0.060572,SUN,4,,20,5,3,,,,,,
255,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J014217.75-542653.8</a>",25.573331,-54.448101,G,18228.880409,0.060805,SUN,3,,20,5,2,,,,,,
256,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SARS 011.47324-63.43960</a>",12.001081,-63.166631,G,25887.978126,0.086353,SLS,3,,3,2,2,,,,,,
257,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J222046.17-694616.6</a>",335.192708,-69.771222,G,,,,1,,29,5,,2,,,,1,
258,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J222051.04-694653.8</a>",335.212651,-69.781995,G,,,,1,,25,5,,,,,,,
259,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SARS 011.45637-63.42585</a>",11.984875,-63.152667,G,64747.975909,0.215976,SLS,3,,34,6,2,2,,,,1,
260,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J222101.05-694800.2</a>",335.254757,-69.800269,G,,,,2,,25,5,,,,,,,
261,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J004811.00-630931.2</a>",12.044953,-63.158786,G,,,,2,,19,4,,,,,,,
262,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J004800.72-630801.5</a>",12.002768,-63.133966,G,,,,2,,19,4,,,,,,,
263,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J222040.45-694513.6</a>",335.168809,-69.753947,G,,,,1,,23,5,,,,,,,
264,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J003705.71-632640.5</a>",9.273458,-63.444250,G,,,,1,,34,6,,2,,,,1,
265,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J003717.98-632624.9</a>",9.324790,-63.440468,G,,,,1,,24,5,,,,,,,
266,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J003752.74-250345.5</a>",9.469553,-25.062742,G,19839.065701,0.066176,SUN,3,,20,6,3,,,,,,1
