No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,"Associations ",Redshift-independent Distances,Classifications,Images,Spectra
27,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 044-035</a>",198.455208,6.962611,G,7178.444966,0.023945,SLS,92,,35,16,13,2,,1,2,1,3
28,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 044-036</a>",198.475727,6.960849,G,6297.077324,0.021005,SLS,43,,51,20,14,6,,,1,1,2
29,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 161-060</a>",202.012028,31.958799,G,11517.186817,0.038417,SLS,40,,75,15,10,10,,,1,1,1
30,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 045-062</a>",204.863816,4.510567,G,6895.826119,0.023002,SLS,37,,82,18,15,10,,,1,1,2
31,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 5291</a>",206.852000,-30.407000,G,4377.569472,0.014602,S1L,104,5,59,19,20,17,1,2,19,1,2
32,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 3574:KYDISC 00009</a>",206.847070,-30.417140,G,4310.116109,0.014377,SUN,31,,28,7,8,13,1,1,2,3,1
33,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 5418</a>",210.573299,7.684167,G,4550.416912,0.015179,SLS,75,1,65,28,21,11,,6,13,1,2
34,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 163-030</a>",215.164185,26.863330,G,10994.981333,0.036675,SLS,42,,49,21,20,8,,,,1,4
35,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 5820</a>",224.665917,53.886083,G,882.888789,0.002945,S1L,96,4,59,20,13,6,,5,22,23,2
36,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">UGC 10028</a>",236.442705,44.248020,G,10375.075285,0.034608,SLS,23,1,69,12,6,13,,,1,1,1
