ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
iDR4_3_SPLUS-s26s19_0013732,SPLUS-s26s19,29.659371191989585,-33.773577982139464,2230.0498046875,4030.060302734375,1.1345481872558594,0.11859190464019775,53.62112808227539,6.209547282196581E-4,5.474083009175956E-4,4.758806228637695,9.474668502807617,19.789608001708984,0.17518794536590576,0,19.53986358642578,0.2316616028547287,0,19.47780418395996,0.35519590973854065,0,19.185659408569336,0.24551410973072052,0,18.61994743347168,0.14015056192874908,0,18.295928955078125,0.03264191001653671,0,18.1393985748291,0.07079092413187027,0,17.632654190063477,0.02179059199988842,0,17.47153091430664,0.0211374219506979,0,17.176013946533203,0.021967323496937752,0,17.033832550048828,0.04414435848593712,0,16.97989845275879,0.035274796187877655,0,0.14949999749660492,0.5750632882118225,29.6595,-33.7735,39,1,01 58 38.28,-33 46 24.6,0.157394,,20.2724,20.2398,Simbad,0.4768514132574367
iDR4_3_SPLUS-s26s19_0014247,SPLUS-s26s19,29.665393888880303,-33.75581870454226,2196.598388671875,4146.115234375,2.127131938934326,0.5298833847045898,-48.107887268066406,9.299705270677805E-4,4.369218077044934E-4,5.675895690917969,12.884271621704102,18.71063995361328,0.07633128762245178,2,18.46986198425293,0.1009892076253891,2,17.944095611572266,0.10307904332876205,2,17.782398223876953,0.0783957690000534,2,17.90151596069336,0.08380324393510818,2,17.703588485717773,0.02200540527701378,2,17.51888656616211,0.04621436446905136,2,17.46847152709961,0.021290961652994156,2,17.45679473876953,0.02352091483771801,2,17.314977645874023,0.028210725635290146,2,17.323062896728516,0.06529095768928528,2,17.211881637573242,0.049594953656196594,2,0.05324999988079071,0.9750730991363525,29.665,-33.7556111,39,3,01 58 39.60,-33 45 20.2,0.0,,18.8419,18.7809,Simbad,1.3958808808594412
iDR4_3_SPLUS-s26s19_0014340,SPLUS-s26s19,29.686587683516443,-33.75733925355519,2081.314453125,4135.47119140625,1.2986712455749512,0.2299821376800537,73.23548126220703,5.041505210101604E-4,3.884881443809718E-4,3.0514843463897705,7.2777814865112305,19.029586791992188,0.06857322156429291,2,18.718589782714844,0.08561749756336212,2,18.204082489013672,0.08658330142498016,2,18.452680587768555,0.09748326241970062,2,18.104238510131836,0.06847992539405823,2,17.96027946472168,0.019424377009272575,2,17.724124908447266,0.03844427689909935,2,17.578968048095703,0.016378652304410934,2,17.588424682617188,0.018474357202649117,2,17.380399703979492,0.020418914034962654,2,17.31260871887207,0.04360714927315712,2,17.22368621826172,0.03369766101241112,2,0.052000001072883606,0.9477853178977966,29.6864167,-33.7571111,39,4,01 58 44.74,-33 45 25.6,0.062604,,19.7446,19.2853,Simbad,0.9677390907108373
iDR4_3_SPLUS-s26s19_0014643,SPLUS-s26s19,29.661750262742018,-33.74334438616824,2215.952880859375,4227.88427734375,1.279269814491272,0.2183040976524353,-14.548215866088867,7.064876845106483E-4,5.52640063688159E-4,4.130293369293213,10.044463157653809,17.655338287353516,0.02739454247057438,2,17.4554443359375,0.037565551698207855,2,17.008583068847656,0.040457095950841904,2,16.971736907958984,0.03520943596959114,2,16.809722900390625,0.029437707737088203,2,16.609249114990234,0.008319142274558544,2,16.41913414001465,0.016729919239878654,2,16.143831253051758,0.00644470751285553,2,16.12203598022461,0.007136699743568897,2,15.89614486694336,0.007449013646692038,2,15.835127830505371,0.01571655459702015,2,15.784310340881348,0.012487241998314857,2,0.05575000122189522,0.9801439642906189,29.6615833,-33.7433889,39,2,01 58 38.78,-33 44 36.2,0.0,,18.8622,18.2111,Simbad,0.5248682677141735
