ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
iDR4_3_MC0137_0029736,MC0137,24.789505258667877,-74.43096236636235,7125.11181640625,7199.52734375,1.0930310487747192,0.08511286973953247,66.56391906738281,3.275815106462687E-4,2.9949459712952375E-4,2.0700323581695557,5.506609916687012,17.5257511138916,0.016332736238837242,0,17.2138614654541,0.020029759034514427,0,17.081104278564453,0.026506531983613968,0,17.090312957763672,0.02328106388449669,0,17.09190559387207,0.021986834704875946,0,17.238941192626953,0.009162993170320988,0,17.247203826904297,0.019796036183834076,0,17.408912658691406,0.010746929794549942,0,17.442798614501953,0.012600548565387726,0,17.673494338989258,0.020232291892170906,0,17.77398109436035,0.05047006532549858,0,17.785568237304688,0.04260692372918129,0,0.00566666666418314,0.9607330560684204,24.7887917,-74.4308889,267,3,01 39 09.31,-74 25 51.2,0.0,,17.3254,17.219,Simbad,0.7384552630577602
iDR4_3_MC0137_0029929,MC0137,24.78161674352571,-74.42381663516531,7139.703125,7246.07861328125,1.09165620803833,0.08396071195602417,87.42178344726562,2.6200973661616445E-4,2.3999196127988398E-4,1.861798882484436,4.221818447113037,18.67414093017578,0.03442835435271263,0,18.338001251220703,0.041263699531555176,0,18.27263069152832,0.058371223509311676,0,18.22300910949707,0.048800256103277206,0,18.055429458618164,0.03994901850819588,0,18.3153133392334,0.017818519845604897,0,18.298498153686523,0.03880889713764191,0,18.56538963317871,0.023159878328442574,0,18.71441078186035,0.029856368899345398,0,18.74923324584961,0.04265333339571953,0,18.802814483642578,0.10315534472465515,0,19.036558151245117,0.10717491805553436,0,0.03816666826605797,0.1096745952963829,24.7809583,-74.42375,267,2,01 39 07.43,-74 25 25.5,0.0,,18.3318,18.3232,Simbad,0.6802032251505423
iDR4_3_MC0137_0030004,MC0137,24.74492771194573,-74.42155670681673,7204.42236328125,7259.83837890625,1.104328989982605,0.09447276592254639,-84.8836669921875,2.6078580413013697E-4,2.3622880689799786E-4,1.9369738101959229,4.593356609344482,18.909372329711914,0.042791757732629776,0,18.47248077392578,0.04709922894835472,0,18.30886459350586,0.06153455376625061,0,18.36299705505371,0.056518714874982834,0,18.320545196533203,0.051053181290626526,0,18.422470092773438,0.01982763409614563,0,18.464431762695312,0.04563121125102043,0,18.65721893310547,0.025693949311971664,0,18.92123794555664,0.03663705289363861,0,18.922710418701172,0.05136340484023094,0,19.022804260253906,0.1301024705171585,0,19.241939544677734,0.13339996337890625,0,0.035750001668930054,0.1508019119501114,24.74425,-74.4215278,267,1,01 38 58.62,-74 25 17.5,0.0,,18.3288,18.4053,Simbad,0.6634295969919692
iDR4_3_MC0137_0029332,MC0137,24.866846871934527,-74.43933226227601,6988.46826171875,7146.77099609375,1.0964800119400024,0.0879906415939331,78.73026275634766,2.5309238117188215E-4,2.3072105250321329E-4,2.0095624923706055,5.742685317993164,19.165861129760742,0.0531335324048996,0,18.776002883911133,0.06073269248008728,0,18.54352378845215,0.07493341714143753,0,18.396732330322266,0.057429105043411255,0,18.621902465820312,0.06574152410030365,0,18.650739669799805,0.02366221323609352,0,18.566871643066406,0.049561940133571625,0,18.849584579467773,0.03011082485318184,0,18.98398208618164,0.03847021982073784,0,19.040498733520508,0.056721825152635574,0,19.32624053955078,0.17065700888633728,0,19.501211166381836,0.16806207597255707,0,0.033916667103767395,0.18093982338905334,24.8660417,-74.4391667,267,6,01 39 27.85,-74 26 21.0,0.0,,19.0896,18.8906,Simbad,0.9797350629942245
iDR4_3_MC0137_0030183,MC0137,24.85054687049077,-74.41788151060973,7019.1279296875,7286.75341796875,1.1664096117019653,0.1426682472229004,-71.4831771850586,2.9482803074643016E-4,2.5305376038886607E-4,2.083144426345825,6.16845703125,18.249265670776367,0.026672298088669777,0,17.902782440185547,0.03178967162966728,0,17.730117797851562,0.04107164219021797,0,17.7315616607666,0.03593599423766136,0,17.6570987701416,0.03193585202097893,0,17.935741424560547,0.014496422372758389,0,17.864145278930664,0.03011579066514969,0,18.114572525024414,0.0176936537027359,0,18.21506690979004,0.02192593365907669,0,18.396085739135742,0.03522389009594917,0,18.344982147216797,0.07744856923818588,0,18.520347595214844,0.07621467858552933,0,0.016083333641290665,0.678842306137085,24.8497917,-74.4178889,267,5,01 39 23.95,-74 25 04.4,0.0,,17.8111,17.807,Simbad,0.7307560763522337
iDR4_3_MC0137_0030607,MC0137,24.818789090757566,-74.40443744405077,7076.28759765625,7373.91796875,1.0702593326568604,0.06564700603485107,-74.46270751953125,2.271778939757496E-4,2.1236739121377468E-4,1.873695969581604,4.154980182647705,19.45249366760254,0.062388814985752106,0,19.240583419799805,0.08327072113752365,0,18.9997615814209,0.10144813358783722,0,19.2089786529541,0.10611048340797424,0,19.101791381835938,0.09095898270606995,0,19.26384925842285,0.03623750060796738,0,19.353437423706055,0.08885059505701065,0,19.586902618408203,0.052313730120658875,0,19.662626266479492,0.06348692625761032,0,19.813024520874023,0.1037306934595108,0,19.991912841796875,0.28469404578208923,0,19.966341018676758,0.23369209468364716,0,0.36375001072883606,0.07256310433149338,24.8185,-74.40425,267,4,01 39 16.44,-74 24 15.3,0.0,,19.6521,19.4951,Simbad,0.7305059597900899
