ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds,_RAJ2000,_DEJ2000,Groups,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
iDR4_3_MC0011_0024820,MC0011,66.4640974320989,-64.47361280535195,8422.312,6098.99,1.2149067,0.17689157,-34.884705,0.00048070864,0.00039527597,4.954759,13.249867,19.626844,0.18050973,0,20.120602,0.48085612,0,19.742744,0.55446875,0,20.119265,0.6272232,0,19.202488,0.24647562,0,18.961803,0.040873785,0,18.936958,0.1692703,0,18.501577,0.030112237,0,18.602655,0.055769566,0,18.33,0.037682835,0,18.277006,0.108374886,0,18.512499,0.10628144,0,0.068333335,0.6529386,66.463875,-64.4735,234,5,04 25 51.33,-64 28 24.6,0.0,,19.8723,20.5146,Simbad,0.532905547042204
iDR4_3_MC0011_0025144,MC0011,66.43190052991093,-64.46398975176685,8514.181,6160.466,1.1239002,0.110241234,-39.73151,0.00043663045,0.00038837048,4.0360265,9.989878,19.493368,0.14162223,0,19.192266,0.18135042,0,18.845387,0.21507712,0,18.591717,0.13583013,0,18.662325,0.13229935,0,18.505548,0.024010822,0,18.6249,0.11223075,0,18.228603,0.020810418,0,18.354029,0.039283533,0,18.10732,0.027124252,0,18.277018,0.095399976,0,18.287994,0.075915016,0,0.050833333,0.9779866,66.4320417,-64.4639722,234,4,04 25 43.69,-64 27 50.3,0.0,,19.8191,19.3976,Simbad,0.2280093957280263
iDR4_3_MC0011_0025379,MC0011,66.42984999137437,-64.45511761778411,8520.945,6218.4346,1.0855635,0.07881945,-83.28449,0.00023797718,0.00021929253,1.7771137,4.4019165,19.62758,0.07936727,0,19.284752,0.09698,0,19.073036,0.12862593,0,18.88698,0.087205395,0,18.79603,0.073695704,0,19.022362,0.019564807,0,19.11423,0.08559555,0,19.212717,0.025106775,0,19.436417,0.051422168,0,19.413124,0.043117587,0,19.433043,0.13154073,0,19.426527,0.10300939,0,0.03825,0.93674713,66.4297083,-64.4549722,234,3,04 25 43.13,-64 27 17.9,0.0,,19.5091,19.3703,Simbad,0.5678370509096753
iDR4_3_MC0011_0025327,MC0011,66.37556541850576,-64.46197612766844,8673.356,6170.9,1.0818604,0.07566637,-36.443897,0.0007131309,0.00065893464,5.9651213,11.576707,17.990864,0.04757598,0,17.812012,0.06811151,0,17.193653,0.063025385,0,17.27086,0.054355405,0,17.194187,0.046363298,0,17.142715,0.009476366,0,16.920547,0.031850222,0,16.943405,0.008772352,0,16.990917,0.015355438,0,16.883667,0.011946136,0,16.886883,0.03577819,0,16.91546,0.028971253,0,0.048083335,0.99486274,66.37525,-64.46175,234,2,04 25 30.06,-64 27 42.3,0.0,,18.0614,17.7904,Simbad,0.9499120662146154
iDR4_3_MC0011_0025647,MC0011,66.37500698387443,-64.44850775480656,8676.495,6259.0186,1.1314756,0.11619836,73.555664,0.00032198525,0.000284288,2.4944024,7.1124363,19.578602,0.106864735,0,19.78871,0.21772517,0,19.2746,0.22074252,0,19.205023,0.16652873,0,18.972147,0.123045556,0,18.842703,0.02321452,0,18.790878,0.09178271,0,18.47229,0.018591514,0,18.47166,0.031222891,0,18.209593,0.021159902,0,18.180527,0.061552938,0,18.176723,0.04829595,0,0.14125,0.4753524,66.3749583,-64.4483056,234,1,04 25 29.99,-64 26 53.9,0.0,,19.9531,19.6718,Simbad,0.7316729055037122
