ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
iDR4_3_MC0127_0124629,MC0127,72.2854830367553,-73.06934802018218,3150.6084,8044.2925,1.0867133,0.07979411,33.68838,1.8179762E-4,1.671991E-4,1.3563669,3.17603,20.413977,0.10798479,0,19.834118,0.107263125,0,19.62072,0.14268011,0,19.407335,0.103868455,0,19.492733,0.106395945,0,19.71677,0.049513064,0,19.677181,0.10309124,0,19.839186,0.05870724,0,19.916214,0.07396882,0,20.04398,0.108198375,0,20.51054,0.36475766,0,19.80166,0.16572557,0,0.68983334,0.071711384,72.282875,-73.06925,271,1,04 49 07.89,-73 04 09.3,0.0,,19.0247,19.2694,Simbad,2.7568731236208204
iDR4_3_MC0127_0125334,MC0127,72.35694638302687,-73.06577455428109,3013.9016,8064.793,1.0783147,0.07262689,61.383354,2.5315024E-4,2.3495649E-4,1.4280396,3.7947178,17.620388,0.013886474,0,17.245487,0.016539194,0,17.051498,0.021410763,0,17.007328,0.018102607,0,17.03566,0.017392358,0,17.191092,0.007961015,0,17.221045,0.016426338,0,17.355507,0.0088798525,0,17.507341,0.0114778085,0,17.601547,0.014647116,0,17.74332,0.035011303,0,17.736065,0.02984476,0,0.007333333,0.9362595,72.3569583,-73.0658611,271,2,04 49 25.67,-73 03 57.1,0.0,,17.1163,16.8631,Simbad,0.3118150747574663
iDR4_3_MC0127_0125888,MC0127,72.4720401439798,-73.07617101691682,2796.1306,7991.7686,1.0566646,0.05362594,-8.761561,8.7884016E-4,8.320559E-4,5.7493014,18.215052,17.3196,0.030414708,2,16.673048,0.028452486,2,16.754202,0.049600165,2,16.321657,0.029772863,2,16.015343,0.021561174,2,15.515972,0.005491461,2,15.256157,0.009430409,2,14.664993,0.0029242302,2,14.571243,0.0031650625,2,14.251108,0.0029164504,2,14.058437,0.0051972116,2,13.994946,0.004175645,2,0.026083333,0.9857793,72.4719583,-73.0757778,271,6,04 49 53.27,-73 04 32.8,0.027449,,18.4363,18.2064,Simbad,1.4181769338393937
iDR4_3_MC0127_0127365,MC0127,72.39820024223685,-73.0551386498245,2933.697,8132.657,1.0669816,0.062776685,-85.87451,4.9670023E-4,4.65451E-4,3.478258,8.6911335,18.39162,0.046222337,2,18.03914,0.0555157,2,18.011215,0.08748117,2,17.553444,0.050921865,2,17.371616,0.04113945,2,17.096302,0.012562873,2,16.87815,0.022354912,2,16.374996,0.007312688,2,16.358097,0.008405493,2,16.085697,0.008237664,2,15.922632,0.01526129,2,15.859715,0.012374513,2,0.037666667,0.97453994,72.398375,-73.0551944,271,4,04 49 35.61,-73 03 18.7,0.0,,19.5031,19.0108,Simbad,0.2718484441491023
iDR4_3_MC0127_0122754,MC0127,72.42991676542668,-73.08231424077272,2877.3022,7953.44,2.4040236,0.58403075,-7.224169,5.5170356E-4,2.3157783E-4,7.709788,13.480447,18.83796,0.07465237,3,19.088545,0.15642835,3,18.870333,0.20851816,3,18.591827,0.14229375,3,18.449184,0.11788359,3,18.090689,0.032286264,3,17.971142,0.06320454,3,17.74752,0.02565576,3,17.81299,0.03197821,3,17.684559,0.037231013,3,17.680746,0.08164266,3,17.537325,0.062263064,3,0.04633333,0.7844833,72.430625,-73.0825278,271,5,04 49 43.35,-73 04 57.1,0.027636,,18.7972,18.2361,Simbad,1.068429837412022
iDR4_3_MC0127_0125079,MC0127,72.3838053885528,-73.0668917898852,2962.8662,8056.355,1.0774944,0.07192087,69.97015,2.4606686E-4,2.2857335E-4,1.4798262,3.9527133,17.738916,0.015368731,0,17.468195,0.019568989,0,17.289007,0.025693204,0,17.289286,0.022416357,0,17.321854,0.021671213,0,17.497051,0.009959061,0,17.507915,0.020575551,0,17.677174,0.0115044685,0,17.802565,0.014714143,0,17.937805,0.020038506,0,18.290304,0.058667213,0,18.243208,0.048615634,0,0.01475,0.57450336,72.3834583,-73.0668611,271,3,04 49 32.03,-73 04 00.7,0.0,,16.8821,16.7737,Simbad,0.3803300042713949
