ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
iDR4_3_SPLUS-s24s53_0021708,SPLUS-s24s53,322.29503747886656,-31.02282341036,5364.22412109375,4711.82275390625,1.3823868036270142,0.2766134738922119,-38.93416976928711,9.071989334188402E-4,6.562653579749167E-4,7.546013355255127,19.56097984313965,18.65700340270996,0.10475165396928787,3,18.263330459594727,0.12189089506864548,3,17.723913192749023,0.1156865730881691,3,17.551570892333984,0.08714888989925385,3,18.05360984802246,0.12949880957603455,3,17.525005340576172,0.027706729248166084,3,17.39810562133789,0.05945150926709175,3,17.039289474487305,0.022542599588632584,3,17.009815216064453,0.025967080146074295,3,16.796428680419922,0.028537936508655548,3,16.77714729309082,0.06998496502637863,3,16.71591567993164,0.06358393281698227,3,0.02641666680574417,0.9769465327262878,322.294,-31.0228889,191,1,21 29 10.56,-31 01 22.4,0.0,,19.5883,18.9734,Simbad,3.20935843294032
iDR4_3_SPLUS-s24s53_0021332,SPLUS-s24s53,322.3181438267347,-31.02896400848788,5234.6328125,4671.587890625,1.4911006689071655,0.329354465007782,60.69709396362305,5.819835350848734E-4,3.9033754728734493E-4,3.682622194290161,8.154448509216309,18.820749282836914,0.05849777162075043,0,18.54220962524414,0.07530286908149719,0,18.357664108276367,0.098482646048069,0,18.105674743652344,0.06908412277698517,0,18.191343307495117,0.07001326978206635,0,17.939023971557617,0.020261453464627266,0,17.832584381103516,0.04267403483390808,0,17.73566246032715,0.020736943930387497,0,17.73160171508789,0.024062763899564743,0,17.50185203552246,0.026092499494552612,0,17.46775245666504,0.06155865639448166,0,17.417964935302734,0.057451870292425156,0,0.07433333247900009,0.8739975094795227,322.318,-31.029,191,3,21 29 16.32,-31 01 44.4,0.0,,19.1556,18.8756,Simbad,0.46221795048067554
iDR4_3_SPLUS-s24s53_0021446,SPLUS-s24s53,322.31528967914136,-31.023619319368695,5250.626953125,4706.578125,1.5204325914382935,0.3422924876213074,-19.55388641357422,4.278699343558401E-4,2.814388135448098E-4,2.2929985523223877,6.090981960296631,19.183900833129883,0.062049366533756256,0,18.844873428344727,0.07570506632328033,0,18.87060546875,0.11982400715351105,0,18.576942443847656,0.08120410889387131,0,18.434673309326172,0.06745115667581558,0,18.19779396057129,0.020058033987879753,0,17.997093200683594,0.03874913603067398,0,17.796337127685547,0.017179932445287704,0,17.749279022216797,0.019201667979359627,0,17.395204544067383,0.01835014671087265,0,17.30644989013672,0.04067026451230049,0,17.23775291442871,0.037221841514110565,0,0.0702499970793724,0.9503589868545532,322.315,-31.0235,191,2,21 29 15.60,-31 01 24.6,0.0,,19.9817,19.2947,Simbad,0.9915452300228834
iDR4_3_SPLUS-s24s53_0020992,SPLUS-s24s53,322.32361963698185,-31.038759670257583,5203.9501953125,4607.45654296875,1.2437450885772705,0.19597673416137695,10.900287628173828,6.142218480817974E-4,4.938291967846453E-4,4.482238292694092,9.948118209838867,19.348751068115234,0.11711140722036362,0,18.8873348236084,0.12736542522907257,0,18.771915435791016,0.17709015309810638,0,18.3983211517334,0.11100907623767853,0,18.418636322021484,0.10638018697500229,0,18.29444694519043,0.03365151584148407,0,18.0079288482666,0.061302732676267624,0,17.82266616821289,0.027555637061595917,0,17.806501388549805,0.03163868933916092,0,17.57390594482422,0.03456425666809082,0,17.582971572875977,0.08554290235042572,0,17.482988357543945,0.07615746557712555,0,0.09033333510160446,0.8043979406356812,322.324,-31.0386111,191,4,21 29 17.76,-31 02 19.0,0.0,,19.9522,19.6443,Simbad,1.2894107184428434
