ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
iDR4_3_SPLUS-s20s22_0064389,SPLUS-s20s22,314.4727818059864,-24.962264295475755,9737.443359375,9568.294921875,1.146355152130127,0.12766993045806885,-58.73740005493164,9.79942618869245E-4,8.551845094189048E-4,8.427176475524902,21.244054794311523,18.856019973754883,0.11447668820619583,2,18.70991325378418,0.17218776047229767,2,18.454185485839844,0.22928237915039062,18,18.036542892456055,0.14413820207118988,2,17.90885353088379,0.12155219912528992,2,17.555631637573242,0.028969656676054,2,17.28546714782715,0.05613119527697563,2,16.948270797729492,0.020520491525530815,2,16.77115249633789,0.02003510110080242,2,16.657466888427734,0.026206623762845993,2,16.518747329711914,0.048422470688819885,2,16.453840255737305,0.04006163030862808,2,0.09300000220537186,0.9426799416542053,314.473,-24.9623889,186,1,20 57 53.52,-24 57 44.6,0.0,,19.5318,19.1392,Simbad,0.8416280010779559
iDR4_3_SPLUS-s20s22_0065299,SPLUS-s20s22,314.48221804560836,-24.984532057431263,9680.6650390625,9422.8115234375,1.0707634687423706,0.06608694791793823,-64.7965087890625,2.0215834956616163E-4,1.8884814926423132E-4,1.2628991603851318,3.407958507537842,19.58616828918457,0.0493130162358284,0,19.72347640991211,0.09163953363895416,0,19.8117733001709,0.16280241310596466,0,19.55471420288086,0.117095947265625,0,19.228466033935547,0.08407024294137955,0,19.52415657043457,0.03728976473212242,0,19.45635414123535,0.08395709097385406,0,19.692127227783203,0.050565168261528015,0,19.892742156982422,0.06899657100439072,0,19.981334686279297,0.10799882560968399,0,20.252151489257812,0.2920232117176056,0,20.401275634765625,0.2946382462978363,0,0.35983332991600037,0.06480112671852112,314.482,-24.9843889,186,2,20 57 55.68,-24 59 03.8,0.0,,18.628,18.7564,Simbad,0.8785488581206711
iDR4_3_SPLUS-s20s22_0063432,SPLUS-s20s22,314.4895828137078,-24.948032164692712,9638.21875,9661.984375,1.2920844554901123,0.22605681419372559,55.41672897338867,5.955572705715895E-4,4.6066235518082976E-4,3.1210975646972656,9.24534797668457,19.01032257080078,0.0644954964518547,2,18.819534301757812,0.09263327717781067,2,18.904165267944336,0.16725772619247437,2,18.147260665893555,0.07817868888378143,2,18.181394577026367,0.07694190740585327,2,17.72466468811035,0.017590928822755814,2,17.47442626953125,0.033968210220336914,2,17.07631492614746,0.012011704966425896,2,16.945159912109375,0.012373299337923527,2,16.648731231689453,0.013104116544127464,2,16.49239158630371,0.02349301055073738,2,16.40753936767578,0.01890089176595211,2,0.09166666865348816,0.9876716136932373,314.49,-24.948,186,3,20 57 57.60,-24 56 52.8,0.094365,,19.6399,19.688,Simbad,1.3666466515301579
iDR4_3_SPLUS-s20s22_0063951,SPLUS-s20s22,314.49417546107793,-24.96282898768995,9610.453125,9565.255859375,1.1636178493499756,0.14061135053634644,88.99803161621094,4.965927801094949E-4,4.2675630538724363E-4,3.201373815536499,8.18912410736084,19.065149307250977,0.06350507587194443,0,18.773128509521484,0.08282172679901123,0,18.664674758911133,0.12502984702587128,0,18.52557373046875,0.10241144895553589,0,18.110227584838867,0.06709836423397064,0,17.86440658569336,0.01853453554213047,0,17.61165428161621,0.035661064088344574,0,17.32357406616211,0.013824301771819592,0,17.224590301513672,0.01458931528031826,0,16.999267578125,0.016565347090363503,0,16.887645721435547,0.030933132395148277,0,16.955780029296875,0.028700148686766624,0,0.1120833307504654,0.872519850730896,314.494,-24.9628889,186,4,20 57 58.56,-24 57 46.4,0.0,,19.6074,19.1857,Simbad,0.6119224747209298
