ID,Field,RA,DEC,u_aper_6,e_u_aper_6,J0378_aper_6,e_J0378_aper_6,J0395_aper_6,e_J0395_aper_6,J0410_aper_6,e_J0410_aper_6,J0430_aper_6,e_J0430_aper_6,g_aper_6,e_g_aper_6,J0515_aper_6,e_J0515_aper_6,r_aper_6,e_r_aper_6,J0660_aper_6,e_J0660_aper_6,i_aper_6,e_i_aper_6,J0861_aper_6,e_J0861_aper_6,z_aper_6,e_z_aper_6
iDR4_3_STRIPE82-0019_0007059,STRIPE82-0019,12.975188363413462,-1.1195821055297979,21.77159881591797,0.4151710867881775,22.354257583618164,1.1925363540649414,22.28818130493164,1.793790340423584,22.28260040283203,1.494441032409668,21.152984619140625,0.49301496148109436,20.079437255859375,0.05775275453925133,19.436569213867188,0.09523875266313553,19.072742462158203,0.029505280777812004,18.901147842407227,0.03090759739279747,18.646390914916992,0.028548015281558037,18.392017364501953,0.052692051976919174,18.385114669799805,0.04263383522629738
iDR4_3_STRIPE82-0019_0007066,STRIPE82-0019,12.975361854946,-1.1170132999541,24.59628677368164,5.522067070007324,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,22.752620697021484,0.6390518546104431,22.62811279296875,1.7337982654571533,21.875106811523438,0.3582412004470825,21.780242919921875,0.39970335364341736,20.74825096130371,0.18555240333080292,21.02800750732422,0.5735605359077454,20.877779006958008,0.41063693165779114
iDR4_3_STRIPE82-0019_0007098,STRIPE82-0019,13.005345542881154,-1.1216823546463983,19.448379516601562,0.05271241441369057,19.25300407409668,0.07320931553840637,19.10843849182129,0.10128434002399445,18.764667510986328,0.06344584375619888,18.60561180114746,0.051955558359622955,18.513168334960938,0.016464700922369957,18.276636123657227,0.03603396564722061,18.22034454345703,0.015017272904515266,18.138404846191406,0.0169474296271801,18.068803787231445,0.017774323001503944,17.96060562133789,0.036302581429481506,17.974891662597656,0.029800744727253914
iDR4_3_STRIPE82-0019_0007112,STRIPE82-0019,13.05035352576151,-1.1152384662247945,22.677717208862305,0.9448632001876831,23.85572052001953,4.708974361419678,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,21.860618591308594,0.8708211183547974,99.0,99.0,23.339265823364258,1.7091530561447144,23.253807067871094,1.888346791267395,24.82269287109375,19.051109313964844,21.056068420410156,0.4907098710536957
iDR4_3_STRIPE82-0019_0007113,STRIPE82-0019,12.97953389858566,-1.1153211265379193,22.760753631591797,1.0201365947723389,25.297216415405273,17.863224029541016,21.74286651611328,1.0803321599960327,22.20405387878418,1.3863937854766846,21.976890563964844,1.0476953983306885,23.31098175048828,1.068410873413086,22.505537033081055,1.5517605543136597,22.31627655029297,0.5368533730506897,21.620302200317383,0.34412309527397156,21.424196243286133,0.3459227979183197,20.87667465209961,0.4986971616744995,21.461034774780273,0.7018769979476929
iDR4_3_STRIPE82-0019_0007116,STRIPE82-0019,12.966448041832626,-1.115229673456901,23.68625831604004,2.406430244445801,99.0,99.0,22.036006927490234,1.4200819730758667,22.11882209777832,1.2828490734100342,99.0,99.0,22.270587921142578,0.41038185358047485,25.78915786743164,31.739980697631836,22.039134979248047,0.41519248485565186,21.98092269897461,0.47902238368988037,22.658092498779297,1.0700907707214355,21.3647518157959,0.781916618347168,20.760679244995117,0.36831629276275635
iDR4_3_STRIPE82-0019_0007121,STRIPE82-0019,13.012186745938374,-1.1150134078822787,22.536495208740234,0.8373807072639465,23.00238800048828,2.1731245517730713,20.98101234436035,0.5441085696220398,22.541419982910156,1.9091416597366333,99.0,99.0,22.226211547851562,0.39808252453804016,21.615211486816406,0.6900038123130798,23.16515350341797,1.1728557348251343,24.173742294311523,3.6119236946105957,22.235565185546875,0.7321218252182007,21.01445960998535,0.5684400796890259,21.96450424194336,1.118634581565857
iDR4_3_STRIPE82-0019_0007123,STRIPE82-0019,13.006687858643117,-1.1152809667353227,23.72568702697754,2.504091501235962,26.302082061767578,45.44097900390625,99.0,99.0,22.060152053833008,1.2270125150680542,23.4870548248291,4.262354373931885,99.0,99.0,22.162738800048828,1.137890100479126,21.734561920166016,0.31493300199508667,22.599262237548828,0.8482913970947266,21.385770797729492,0.3347684144973755,20.944324493408203,0.533978283405304,20.67537498474121,0.3417857885360718
iDR4_3_STRIPE82-0019_0007141,STRIPE82-0019,13.001252665446724,-1.1146774232545291,23.171314239501953,1.4899225234985352,22.23830223083496,1.0669342279434204,21.11540985107422,0.6092507839202881,23.231990814208984,3.5880022048950195,99.0,99.0,22.257083892822266,0.409518837928772,23.172277450561523,2.8826828002929688,21.428565979003906,0.23847581446170807,21.374610900878906,0.2753139138221741,21.181547164916992,0.27697694301605225,22.68394660949707,2.6354660987854004,20.604944229125977,0.319996178150177
iDR4_3_STRIPE82-0019_0007143,STRIPE82-0019,13.03159933676618,-1.114031155755654,23.692853927612305,2.4147729873657227,22.726163864135742,1.6835943460464478,99.0,99.0,21.326093673706055,0.6270779371261597,22.154521942138672,1.2486042976379395,23.394760131835938,1.1710453033447266,22.208898544311523,1.1915364265441895,22.855419158935547,0.8859173059463501,23.003002166748047,1.234517216682434,21.75674057006836,0.47179314494132996,22.37972068786621,1.994532585144043,23.032421112060547,2.9962055683135986
iDR4_3_STRIPE82-0019_0007147,STRIPE82-0019,13.028582036875543,-1.113958654980369,99.0,99.0,21.96474838256836,0.832066535949707,99.0,99.0,99.0,99.0,23.17022705078125,3.1714465618133545,22.279956817626953,0.4195060729980469,21.225736618041992,0.48404330015182495,23.39468765258789,1.4525562524795532,22.12677001953125,0.5513463020324707,21.336380004882812,0.32094696164131165,21.972646713256836,1.3755602836608887,99.0,99.0
iDR4_3_STRIPE82-0019_0007219,STRIPE82-0019,13.033342603034422,-1.1155926922042088,23.219409942626953,1.564746379852295,21.448715209960938,0.5182605385780334,21.41107940673828,0.8035666942596436,21.792137145996094,0.9604997038841248,22.031394958496094,1.1077346801757812,22.622276306152344,0.5736662149429321,22.467050552368164,1.509961485862732,21.139591217041016,0.18448734283447266,20.94991683959961,0.18886689841747284,20.81181526184082,0.19888876378536224,20.510286331176758,0.35816532373428345,20.7879638671875,0.3795073628425598
