ID,Field,RA,DEC,u_aper_6,e_u_aper_6,J0378_aper_6,e_J0378_aper_6,J0395_aper_6,e_J0395_aper_6,J0410_aper_6,e_J0410_aper_6,J0430_aper_6,e_J0430_aper_6,g_aper_6,e_g_aper_6,J0515_aper_6,e_J0515_aper_6,r_aper_6,e_r_aper_6,J0660_aper_6,e_J0660_aper_6,i_aper_6,e_i_aper_6,J0861_aper_6,e_J0861_aper_6,z_aper_6,e_z_aper_6
iDR4_3_SPLUS-s36s36_0015874,SPLUS-s36s36,69.27488203815591,-46.8062073258517,99.0,99.0,99.0,99.0,99.0,99.0,20.590280532836914,0.5344014167785645,21.206745147705078,0.8986430168151855,22.131134033203125,0.8038846254348755,21.47414207458496,0.9120301604270935,21.387428283691406,0.3406205177307129,21.24471092224121,0.3454442024230957,20.99332046508789,0.2888064682483673,20.272878646850586,0.3255403935909271,21.34609603881836,0.6984207630157471
iDR4_3_SPLUS-s36s36_0015888,SPLUS-s36s36,69.245391940662,-46.805556743991815,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,20.970979690551758,0.7222773432731628,21.915382385253906,0.656322717666626,99.0,99.0,22.284177780151367,0.7786736488342285,22.40606689453125,1.0077710151672363,23.097925186157227,2.004714250564575,23.19892120361328,4.786656379699707,22.434328079223633,1.9039536714553833
iDR4_3_SPLUS-s36s36_0015988,SPLUS-s36s36,69.26461841683718,-46.80130075160599,23.888259887695312,4.20640754699707,21.160768508911133,0.566543459892273,22.160730361938477,2.2227675914764404,21.479433059692383,1.2084637880325317,21.05963897705078,0.7853398323059082,21.647708892822266,0.51421719789505,21.895414352416992,1.3437252044677734,20.704164505004883,0.18360045552253723,21.212106704711914,0.3386704623699188,20.818817138671875,0.24827763438224792,20.779006958007812,0.5207709074020386,19.980140686035156,0.20018494129180908
iDR4_3_SPLUS-s36s36_0016091,SPLUS-s36s36,69.21401553671271,-46.79748149215658,99.0,99.0,22.712072372436523,2.336215019226074,22.052947998046875,1.9840528964996338,23.459230422973633,7.3747429847717285,21.351486206054688,1.015653133392334,22.045608520507812,0.7345786690711975,21.08249282836914,0.6275079250335693,21.239973068237305,0.2947763204574585,20.960538864135742,0.2640647888183594,20.061260223388672,0.12252059578895569,19.481201171875,0.1563425064086914,19.914958953857422,0.18666040897369385
iDR4_3_SPLUS-s36s36_0016102,SPLUS-s36s36,69.21619295129405,-46.79721427483325,99.0,99.0,23.789411544799805,6.29856538772583,21.023534774780273,0.7715086936950684,99.0,99.0,99.0,99.0,21.296669006347656,0.3696838319301605,21.956052780151367,1.4029325246810913,20.36160659790039,0.1325388252735138,20.049102783203125,0.11533991992473602,19.91094207763672,0.10709685832262039,19.199087142944336,0.12138355523347855,19.179092407226562,0.09537146240472794
iDR4_3_SPLUS-s36s36_0016134,SPLUS-s36s36,69.21371128139756,-46.7955076011247,22.099159240722656,0.8089584112167358,99.0,99.0,99.0,99.0,21.400583267211914,1.110232949256897,21.000669479370117,0.7380446195602417,22.207836151123047,0.8527441620826721,21.719301223754883,1.1292564868927002,21.58521270751953,0.4045850336551666,20.87324333190918,0.243551105260849,21.389787673950195,0.4134163558483124,22.7275390625,3.0755927562713623,20.833599090576172,0.43270695209503174
iDR4_3_SPLUS-s36s36_0016161,SPLUS-s36s36,69.2568308618365,-46.79402323287564,99.0,99.0,99.0,99.0,25.004924774169922,29.95254898071289,99.0,99.0,20.892677307128906,0.6630275845527649,22.071453094482422,0.7514910101890564,99.0,99.0,21.878726959228516,0.5315274000167847,99.0,99.0,99.0,99.0,99.0,99.0,23.40199851989746,4.6091179847717285
iDR4_3_SPLUS-s36s36_0016177,SPLUS-s36s36,69.20475908357606,-46.79387379914576,22.3889102935791,1.0656520128250122,21.986282348632812,1.2119004726409912,23.83512306213379,10.362667083740234,22.80109214782715,4.046064853668213,99.0,99.0,99.0,99.0,99.0,99.0,21.603548049926758,0.412678986787796,22.091529846191406,0.7503821849822998,21.0921630859375,0.31532204151153564,20.59100341796875,0.43223461508750916,21.524930953979492,0.8175250291824341
iDR4_3_SPLUS-s36s36_0016293,SPLUS-s36s36,69.20759590686829,-46.7893250318234,22.22024154663086,0.9143275618553162,21.21709632873535,0.6040623188018799,99.0,99.0,21.065628051757812,0.8238413333892822,22.109420776367188,2.038881540298462,21.64013671875,0.5062485933303833,99.0,99.0,21.396469116210938,0.3410607576370239,21.231290817260742,0.34048399329185486,20.47342300415039,0.17916151881217957,19.62023162841797,0.17783991992473602,19.90516471862793,0.18491853773593903
iDR4_3_SPLUS-s36s36_0016355,SPLUS-s36s36,69.22645365013524,-46.78677715410146,21.802560806274414,0.6119440793991089,26.814603805541992,101.96459197998047,99.0,99.0,21.51349449157715,1.2314144372940063,25.983089447021484,72.25301361083984,24.024776458740234,4.790295600891113,23.757888793945312,7.410624027252197,23.155271530151367,1.7887846231460571,25.24884796142578,13.67857551574707,21.688560485839844,0.5710343718528748,20.94828224182129,0.6007367372512817,23.733427047729492,6.445308685302734
