_RAJ2000,_DEJ2000,Group,RAJ2000_1,DEJ2000_1,zUV,nUV,ngal,nz,mz,r{theta},Rij,sigmalos,Simbad,RA,DEC,NAME,STATUS,Separation_1,Groups,RAJ2000_2,DEJ2000_2,J2000,Separation
33.6791667,-41.6420833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 41,02 14 43.00,-41 38 31.5,,4,3,0,0,1.174,,,Simbad,33.6791667,-41.6420833,41,666,0.0,SFCG41,02 14 43.00,-41 38 31.5,J2000,0.0
43.4509167,-41.9697222,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 47,02 53 48.22,-41 58 11.0,0.069815,4,4,1,1,0.909,,,Simbad,43.4509167,-41.9697222,47,666,0.0,SFCG47,02 53 48.22,-41 58 11.0,J2000,0.0
45.0448333,-36.3618611,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 48,03 00 10.76,-36 21 42.7,0.09375,4,3,2,2,0.819,,,Simbad,45.0448333,-36.3618611,48,666,0.0,SFCG48,03 00 10.76,-36 21 42.7,J2000,0.0
46.5577917,-42.6678889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 49,03 06 13.87,-42 40 04.4,,4,3,0,0,0.944,,,Simbad,46.5577917,-42.6678889,49,666,0.0,SFCG49,03 06 13.87,-42 40 04.4,J2000,0.0
47.150375,-47.2744167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 50,03 08 36.09,-47 16 27.9,,4,3,0,0,0.767,,,Simbad,47.150375,-47.2744167,50,666,0.0,SFCG50,03 08 36.09,-47 16 27.9,J2000,0.0
47.5481667,-35.0159444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 51,03 10 11.56,-35 00 57.4,,4,3,0,0,1.039,,,Simbad,47.5481667,-35.0159444,51,666,0.0,SFCG51,03 10 11.56,-35 00 57.4,J2000,0.0
50.0976667,-40.1931667,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 52,03 20 23.44,-40 11 35.4,,4,3,0,0,1.338,,,Simbad,50.0976667,-40.1931667,52,666,0.0,SFCG52,03 20 23.44,-40 11 35.4,J2000,0.0
51.6352083,-42.8299167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 53,03 26 32.45,-42 49 47.7,,4,3,0,0,0.969,,,Simbad,51.6352083,-42.8299167,53,666,0.0,SFCG53,03 26 32.45,-42 49 47.7,J2000,0.0
52.9541667,-39.6227778,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 54,03 31 49.00,-39 37 22.0,0.10668,4,3,1,1,0.894,,,Simbad,52.9541667,-39.6227778,54,666,0.0,SFCG54,03 31 49.00,-39 37 22.0,J2000,0.0
53.264125,-47.6635833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 55,03 33 03.39,-47 39 48.9,,4,3,0,0,0.618,,,Simbad,53.264125,-47.6635833,55,666,0.0,SFCG55,03 33 03.39,-47 39 48.9,J2000,0.0
53.440625,-30.3148889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 56,03 33 45.75,-30 18 53.6,0.1064,4,4,3,2,0.884,,,Simbad,53.440625,-30.3148889,56,666,0.0,SFCG56,03 33 45.75,-30 18 53.6,J2000,0.0
53.8064167,-33.4764722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 57,03 35 13.54,-33 28 35.3,,4,4,0,0,1.343,,,Simbad,53.8064167,-33.4764722,57,666,0.0,SFCG57,03 35 13.54,-33 28 35.3,J2000,0.0
54.5381667,-47.3976111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 58,03 38 09.16,-47 23 51.4,,4,4,0,0,0.927,,,Simbad,54.5381667,-47.3976111,58,666,0.0,SFCG58,03 38 09.16,-47 23 51.4,J2000,0.0
55.1354583,-48.6305556,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 59,03 40 32.51,-48 37 50.0,,4,3,0,0,0.674,,,Simbad,55.1354583,-48.6305556,59,666,0.0,SFCG59,03 40 32.51,-48 37 50.0,J2000,0.0
55.6182083,-41.1549167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 60,03 42 28.37,-41 09 17.7,0.004923,4,3,1,1,0.793,,,Simbad,55.6182083,-41.1549167,60,666,0.0,SFCG60,03 42 28.37,-41 09 17.7,J2000,0.0
57.732375,-38.0700833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 62,03 50 55.77,-38 04 12.3,,4,3,0,0,1.431,,,Simbad,57.732375,-38.0700833,62,666,0.0,SFCG62,03 50 55.77,-38 04 12.3,J2000,0.0
73.3631667,-36.2533889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 68,04 53 27.16,-36 15 12.2,,4,4,0,0,1.046,,,Simbad,73.3631667,-36.2533889,68,666,0.0,SFCG68,04 53 27.16,-36 15 12.2,J2000,0.0
