Group,Name,zNED,Dsep,<zgal>,ngz,NED
104,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     104,0.062,0.401,0.061963,3,NED
105,,,,0.06892,3,NED
106,,,,0.055178,3,NED
107,,,,0.063142,3,NED
108,,,,0.117987,2,NED
109,,,,0.018671,2,NED
110,,,,0.064834,5,NED
111,,,,0.065245,1,NED
112,,,,0.015781,1,NED
113,,,,0.089388,1,NED
114,,,,0.022864,2,NED
115,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     115,0.4937,2.444,0.099165,1,NED
116,,,,0.037826,1,NED
117,,,,0.122531,2,NED
118,,,,0.082247,2,NED
119,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     119,,1.36,0.033847,2,NED
120,,,,0.384758,2,NED
121,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     121,,0.749,0.073632,3,NED
122,,,,0.070193,4,NED
123,,,,0.054343,3,NED
124,,,,,0,NED
125,,,,0.023099,2,NED
126,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     126,,0.146,0.069636,5,NED
127,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     127,,0.638,0.035233,2,NED
128,,,,0.074873,2,NED
129,,,,0.061047,2,NED
130,,,,0.050613,2,NED
131,,,,0.0769,2,NED
132,,,,0.029909,2,NED
133,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     133,0.0217,1.254,0.022228,4,NED
134,,,,0.072903,3,NED
135,,,,0.062908,3,NED
136,,,,0.038,1,NED
137,,,,0.06427,3,NED
138,,,,0.015758,1,NED
139,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     139,,0.02,0.081373,2,NED
140,,,,0.025391,1,NED
141,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     141,0.357,0.96,0.023199,1,NED
142,,,,0.0696,3,NED
143,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     143,,0.538,0.023028,2,NED
144,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     144,,0.293,0.08196,1,NED
145,,,,0.014764,4,NED
146,,,,0.130846,2,NED
147,,,,0.062163,1,NED
148,,,,0.083685,3,NED
149,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     149,0.0677,2.38,0.067786,4,NED
150,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     150,0.47,1.041,0.469999,1,NED
151,,,,0.087829,3,NED
152,,,,0.062378,3,NED
153,,,,0.059529,2,NED
154,,,,0.037372,1,NED
155,,,,0.059728,2,NED
156,,,,0.036572,1,NED
157,,,,0.02958,1,NED
158,,,,0.05888,3,NED
159,,,,0.054797,3,NED
160,,,,0.030713,2,NED
161,,,,0.048465,5,NED
162,,,,0.059625,1,NED
163,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     163,,0.885,0.011003,2,NED
164,,,,0.074186,3,NED
165,,,,0.05829,2,NED
166,,,,0.107649,2,NED
167,,,,0.0576,2,NED
168,,,,0.033185,2,NED
169,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     169,0.037,0.857,0.036774,4,NED
170,,,,0.079958,4,NED
171,,,,0.112873,2,NED
172,,,,0.03932,1,NED
173,,,,0.042923,2,NED
174,,,,0.034432,2,NED
175,,,,0.052359,5,NED
176,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     176,0.1988,1.635,0.018685,2,NED
177,,,,0.080229,1,NED
178,,,,0.118113,2,NED
179,,,,,0,NED
180,,,,0.025091,1,NED
181,,,,0.033885,2,NED
182,,,,0.030282,3,NED
183,,,,0.31871,1,NED
184,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     184,,0.109,,0,NED
185,,,,0.030818,1,NED
186,,,,0.094365,1,NED
187,,,,,0,NED
188,,,,0.055752,1,NED
189,,,,0.029954,2,NED
190,,,,0.073594,1,NED
191,,,,,0,NED
192,,,,0.0345,1,NED
193,,,,0.051666,1,NED
194,,,,0.067694,1,NED
195,,,,0.071179,3,NED
196,,,,0.0342,1,NED
197,,,,0.045318,2,NED
198,,,,0.090399,2,NED
199,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     199,0.039,2.111,0.090042,3,NED
200,,,,,0,NED
201,,,,0.044191,1,NED
202,,,,0.050442,2,NED
