RA,DEC,NAME
195.0275417,33.4267222,248
199.8880417,14.0915278,249
202.9732083,37.4572222,250
203.0454583,-38.88675,251
206.836,-30.3573889,252
210.575875,7.6864444,253
210.97425,54.1851944,254
211.0419583,54.2571111,255
211.851375,12.716,256
233.2950833,12.8795556,257
243.3022917,8.5478611,258
249.4189167,54.9756667,259
259.1441667,39.0879722,260
267.4914583,68.4053611,261
321.98475,-46.64275,262
323.84725,-49.93475,263
349.18325,-41.6555833,264
359.0346667,-17.23925,265
6.3019167,-60.6299444,266
24.8080417,-74.4229167,267
38.574625,-73.7201111,268
50.254375,-33.90475,269
61.54575,-36.9300833,270
72.387375,-73.06925,271
125.02,21.0713611,272
168.6338333,-0.8523056,273
185.3069167,49.4594444,274
230.495875,3.5601111,275
328.8692917,-20.8628889,276
31.2625833,-74.8638889,277
115.4828333,16.8259167,278
196.821,13.6491111,279
349.1871667,9.8156944,280
