ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_petro,e_u_petro,SEX_FLAGS_u,J0378_petro,e_J0378_petro,SEX_FLAGS_J0378,J0395_petro,e_J0395_petro,SEX_FLAGS_J0395,J0410_petro,e_J0410_petro,SEX_FLAGS_J0410,J0430_petro,e_J0430_petro,SEX_FLAGS_J0430,g_petro,e_g_petro,SEX_FLAGS_g,J0515_petro,e_J0515_petro,SEX_FLAGS_J0515,r_petro,e_r_petro,SEX_FLAGS_r,J0660_petro,e_J0660_petro,SEX_FLAGS_J0660,i_petro,e_i_petro,SEX_FLAGS_i,J0861_petro,e_J0861_petro,SEX_FLAGS_J0861,z_petro,e_z_petro,SEX_FLAGS_z,zml,odds
"iDR4_3_SPLUS-s22s19_0036873","SPLUS-s22s19",27.44889581336064,-27.79879412701067,6227.592,8436.007,1.3072997,0.2350645,0.8206463,1.21681536E-4,9.307663E-5,2.3490205,4.778945,22.104397,0.55690336,0,22.013107,0.87251073,0,99.0,99.0,0,22.494991,2.014347,0,22.579744,2.1329935,0,99.0,99.0,0,99.0,99.0,0,21.910862,0.38931066,0,24.531216,4.8217397,0,21.824053,0.4929783,0,21.155365,0.6265868,0,22.141827,1.2263666,0,0.76841664,0.1389065
"iDR4_3_SPLUS-s22s19_0036885","SPLUS-s22s19",27.477177541479595,-27.799675245487236,6063.829,8430.388,1.6648982,0.39936262,18.35691,1.1424711E-4,6.863479E-5,1.0836259,1.9180545,99.0,99.0,0,22.076056,0.8368435,0,99.0,99.0,0,22.94161,2.741238,0,22.571129,1.9136738,0,22.723143,0.7430855,0,21.52226,0.5748827,0,23.994709,2.385352,0,22.375679,0.6008192,0,23.145668,1.5014416,0,21.426336,0.72880083,0,23.275951,3.1522408,0,0.65416664,0.11158489
"iDR4_3_SPLUS-s22s19_0036890","SPLUS-s22s19",27.433246228308146,-27.795484329761425,6318.232,8457.574,1.7630975,0.4328164,20.227236,1.1896536E-4,6.749982E-5,1.2645806,1.9760046,22.116066,0.48244438,0,99.0,99.0,0,22.543974,1.974455,0,99.0,99.0,0,21.517595,0.6883305,0,23.370415,1.280767,0,24.94433,12.636201,0,22.1545,0.41654116,0,22.12794,0.45322022,0,99.0,99.0,0,20.967464,0.45267138,0,22.360264,1.285248,0,0.76533335,0.10863794
"iDR4_3_SPLUS-s22s19_0036924","SPLUS-s22s19",27.45211342319896,-27.800778082708877,6208.9478,8423.039,1.6620907,0.3983481,47.11852,1.3432885E-4,8.081452E-5,1.8436607,4.159584,24.842026,6.718721,0,22.41905,1.2262975,0,21.74727,1.0713943,0,22.299852,1.630348,0,21.536741,0.7900887,0,99.0,99.0,0,21.698555,0.7237299,0,21.56976,0.27460137,0,21.803911,0.37953687,0,21.611496,0.3915943,0,20.59265,0.36195797,0,21.583605,0.7104634,0,0.77533334,0.11809557
"iDR4_3_SPLUS-s22s19_0036944","SPLUS-s22s19",27.488082981483924,-27.79725977391746,6000.696,8446.246,1.2519652,0.20125568,32.936157,3.2672213E-4,2.6097792E-4,1.9112786,5.338723,21.327826,0.37560788,0,20.920013,0.4417841,0,21.224682,0.9509487,0,19.549314,0.18744816,0,19.570772,0.1881997,0,19.182945,0.045998897,0,19.160686,0.1032928,0,18.510557,0.025353787,0,18.406218,0.026010802,0,18.293392,0.027875,0,18.228722,0.060273197,0,18.010586,0.03898749,0,0.0275,0.2811803
"iDR4_3_SPLUS-s22s19_0036971","SPLUS-s22s19",27.481177511458725,-27.82110206712515,6040.5605,8290.149,1.5085032,0.3370912,-52.687515,3.9913395E-4,2.6461785E-4,3.5870898,7.068978,21.131817,0.9411533,3,20.976042,1.372656,3,19.550333,0.6007082,3,19.475386,0.5122172,3,20.58551,1.3935715,3,20.182674,0.32516894,3,19.713854,0.49329558,3,19.871452,0.2430926,3,19.486887,0.19082162,3,19.844572,0.32533523,3,18.72412,0.27357417,3,18.816946,0.23504655,3,0.30991668,0.16858256
"iDR4_3_SPLUS-s22s19_0037002","SPLUS-s22s19",27.464905262819546,-27.802490505092198,6134.871,8411.899,1.6384305,0.38965982,8.40489,1.6622686E-4,1.014664E-4,2.5108712,6.103095,22.687891,0.8835887,0,23.059431,2.1126146,0,21.308079,0.6844809,0,21.938517,1.1130345,0,99.0,99.0,0,22.615023,0.68435484,0,99.0,99.0,0,23.66528,1.785471,0,22.386786,0.6164846,0,21.402742,0.30678096,0,21.721869,0.96892756,0,20.613455,0.27602842,0,0.8445,0.17344865
"iDR4_3_SPLUS-s22s19_0037021","SPLUS-s22s19",27.465982625835927,-27.803009437326747,6128.6304,8408.508,1.4145674,0.29307008,-17.954996,2.112256E-4,1.4929572E-4,2.1096358,4.733633,21.739199,0.56052613,0,99.0,99.0,0,20.732851,0.6107893,0,99.0,99.0,0,99.0,99.0,0,21.917807,0.5466237,0,25.572441,36.86015,0,21.73674,0.46038675,0,21.203259,0.3152419,0,20.694965,0.2431758,0,20.249636,0.3800485,0,19.940138,0.22578493,0,0.76516664,0.13928744
"iDR4_3_SPLUS-s22s19_0037024","SPLUS-s22s19",27.461133052384287,-27.802653350975103,6156.7114,8410.813,3.6900337,0.72899973,10.281951,1.850764E-4,5.020599E-5,0.8978813,1.2636105,99.0,99.0,0,23.297441,1.996838,0,99.0,99.0,0,22.716772,1.7364852,0,21.593105,0.6079609,0,23.92214,1.7321023,0,99.0,99.0,0,22.312744,0.3940068,0,22.97759,0.8065619,0,22.023783,0.41523993,0,21.491022,0.59788674,0,21.880245,0.674296,0,0.7758333,0.15724932
"iDR4_3_SPLUS-s22s19_0037026","SPLUS-s22s19",27.45613233862558,-27.803737446706513,6185.6587,8403.69,2.6004126,0.6154456,58.14574,1.2785188E-4,4.9134353E-5,1.0595647,1.6381997,99.0,99.0,3,25.877092,9.993474,3,23.602285,2.0080316,3,99.0,99.0,3,99.0,99.0,3,23.431442,0.5226722,3,25.348837,6.9730306,3,23.42046,0.51166683,3,24.501593,1.529318,3,23.382622,0.6773561,3,22.626633,0.7930845,3,22.93642,0.83512956,3,0.6725,0.12478232
"iDR4_3_SPLUS-s22s19_0037108","SPLUS-s22s19",27.52057746729418,-27.807549545926506,5812.512,8378.998,1.6173406,0.38170105,89.227234,1.2348454E-4,7.635208E-5,1.4898535,2.4293969,23.183132,1.0614259,0,22.035736,0.63054264,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,22.666622,0.54772043,0,99.0,99.0,0,23.468494,1.1361165,0,22.91992,0.7652295,0,22.25471,0.51128006,0,21.612938,0.667998,0,21.612951,0.5271674,0,0.7788333,0.23371221
"iDR4_3_SPLUS-s22s19_0037137","SPLUS-s22s19",27.4859343193654,-27.79940286454414,6013.127,8432.209,2.2828982,0.56196034,28.890003,2.1853646E-4,9.576437E-5,2.7497666,7.4547915,24.005913,3.2541835,0,25.945656,33.02666,0,99.0,99.0,0,99.0,99.0,0,22.27558,1.6522022,0,23.511122,1.7438941,0,99.0,99.0,0,22.21593,0.52658796,0,21.513243,0.30860338,0,21.982176,0.584886,0,21.380772,0.79117024,0,20.968235,0.4274831,0,0.7836667,0.11946729
"iDR4_3_SPLUS-s22s19_0037205","SPLUS-s22s19",27.451443668492317,-27.80897026230499,6212.7715,8369.41,1.6254731,0.38479453,18.821714,1.1283146E-4,6.9431575E-5,0.83978647,1.1939393,22.907444,0.8826711,0,23.862204,3.599343,0,21.439915,0.63234156,0,22.406551,1.4072008,0,99.0,99.0,0,22.827442,0.6873243,0,22.1196,0.8332014,0,99.0,99.0,0,99.0,99.0,0,23.447456,1.6577438,0,99.0,99.0,0,23.675018,3.809295,0,0.6933333,0.11514147
"iDR4_3_SPLUS-s22s19_0037258","SPLUS-s22s19",27.489012128791764,-27.81581824187539,5995.23,8324.77,1.0614994,0.05793631,-15.831332,3.8955308E-4,3.669701E-4,1.9068221,4.6607924,17.368032,0.013470631,3,16.96283,0.016022585,3,16.900366,0.023326425,3,16.502033,0.015688723,3,16.485949,0.015237682,3,16.208843,0.004942372,3,16.048098,0.009177794,3,15.810055,0.0035866327,3,15.806075,0.004083623,3,15.716602,0.003861328,3,15.70816,0.0077367513,3,15.679948,0.0057728454,3,0.019916667,0.90957576
"iDR4_3_SPLUS-s22s19_0037275","SPLUS-s22s19",27.518726237276777,-27.818129671159575,5823.1987,8309.738,1.525581,0.34451205,-0.6724489,2.3494769E-4,1.5400039E-4,2.253692,4.989849,99.0,99.0,2,23.8008,8.810345,2,99.0,99.0,2,21.036362,1.0279479,2,21.84939,2.1202636,2,21.52732,0.5314696,2,20.883549,0.68663543,2,21.719196,0.6318124,2,20.695982,0.27463582,2,20.770388,0.36093482,2,19.926847,0.39225042,2,19.826664,0.28227493,2,0.78925,0.13570154
"iDR4_3_SPLUS-s22s19_0037308","SPLUS-s22s19",27.485685992514604,-27.818795961429235,6014.4717,8305.264,1.9529821,0.48796254,-30.462566,0.0017923071,9.17474E-4,8.934519,22.125174,16.412354,0.024184309,2,16.101406,0.0307033,2,15.796525,0.0378658,2,15.577421,0.028216062,2,15.3738365,0.023126788,2,15.1550255,0.006606764,2,14.925479,0.012335626,2,14.535211,0.003825028,2,14.483149,0.0041154614,2,14.227007,0.0038594063,2,14.057801,0.0075745694,2,14.000506,0.0056451904,2,0.046,0.994777
"iDR4_3_SPLUS-s22s19_0037377","SPLUS-s22s19",27.4985350884451,-27.813262839040004,5940.109,8341.532,2.8626297,0.6506708,-22.519129,3.9032008E-4,1.3626323E-4,2.951287,4.673089,99.0,99.0,0,99.0,99.0,0,20.979143,1.1900076,0,21.040754,1.1494769,0,20.884315,0.9760694,0,21.451754,0.5571495,0,99.0,99.0,0,22.292542,1.2013798,0,21.724737,0.79487365,0,20.833189,0.43131733,0,20.977688,1.1672,0,20.198278,0.4478756,0,0.6954167,0.1039707
