RAJ2000,DEJ2000,W1mag,W2mag,W3mag,W4mag
23.9180722,-2.1139870,15.872,15.719,12.238,8.638
24.5941128,-40.0125484,14.402,14.234,10.425,8.013
24.6134548,-40.0061215,13.403,13.341,10.437,8.319
24.6360009,-40.0219923,15.529,15.526,12.202,9.102
24.6548345,-40.0114384,10.352,9.751,6.621,4.508
25.5584368,-54.4121747,16.572,17.063,12.717,9.241
25.5613189,-54.4384844,14.968,14.625,10.352,7.580
25.5739586,-54.4482992,15.952,15.787,12.488,9.292
26.8891325,-30.2617280,13.619,13.375,9.180,7.154
26.8952372,-30.2676253,16.447,16.379,13.026,8.567
26.9049513,-30.2543078,14.011,13.806,10.152,8.275
27.0325066,-15.1164203,15.649,15.155,11.217,9.042
27.0591667,-15.1078162,14.177,13.906,11.085,8.521
27.1814814,13.6876438,15.506,15.559,12.037,9.153
27.1897429,13.7169578,13.941,13.723,9.777,7.543
27.1923594,13.7265392,13.877,13.669,9.572,7.603
29.6593794,-33.7735898,14.680,14.373,11.146,9.249
29.6617182,-33.7433606,13.333,13.104,9.079,7.100
29.6653534,-33.7556852,15.691,15.594,12.298,9.262
29.6865612,-33.7573353,14.849,14.676,10.729,7.826
30.9585460,-31.1470615,15.554,15.495,12.403,8.998
30.9647057,-31.1438061,14.029,13.821,10.334,7.706
30.9788795,-31.1556216,14.727,14.427,10.359,8.390
33.6500704,-41.6339945,15.435,15.202,12.240,8.501
33.6679358,-41.6489635,14.337,14.097,10.469,8.385
33.6977154,-41.6467600,13.991,13.730,9.599,7.488
33.7018120,-41.6383319,15.300,14.291,11.402,8.966
35.5949724,-18.6005306,14.890,14.610,10.706,8.966
35.6222870,-18.6076708,13.592,13.294,9.717,7.393
35.6312029,-18.6020644,14.095,13.767,9.547,7.851
36.2041649,-27.2753387,16.158,15.839,12.621,9.327
36.2089761,-27.2881323,14.907,14.778,11.119,9.004
36.2303627,-27.2663673,14.221,14.113,10.534,8.755
36.2378626,-27.2901269,14.008,13.316,9.162,6.324
37.0215541,-61.0570684,14.361,13.985,10.211,8.217
37.0468134,-61.0641132,15.401,14.957,11.206,7.444
40.4600126,-20.8123640,13.617,13.323,9.280,6.434
41.4561908,-5.5737554,14.927,14.631,10.667,8.416
41.4673676,-5.5645452,15.300,15.016,11.137,8.599
43.4316596,-41.9772088,14.974,14.700,10.730,9.295
43.4531059,-41.9664381,16.744,17.418,13.074,9.296
43.4541283,-41.9559078,16.539,16.391,12.682,8.788
43.4650342,-41.9798891,14.415,14.223,10.298,8.124
45.0384352,-36.3811304,15.111,14.862,11.464,9.421
45.0485469,-36.3517553,14.340,13.027,9.865,7.575
45.0493859,-36.3563333,15.502,15.471,12.923,9.231
46.5430874,-42.6546015,14.665,14.465,10.202,8.137
46.5442303,-42.6674309,14.595,13.706,10.625,8.209
46.5684849,-42.6755713,15.108,14.812,10.797,7.696
46.5761479,-42.6744099,13.855,13.679,9.865,7.714
47.1417640,-47.2601161,14.421,14.135,9.899,7.641
47.1485982,-47.2854605,14.694,14.535,10.759,8.698
47.1645581,-47.2720641,14.452,14.200,10.813,8.702
47.5430410,-35.0084201,13.635,13.495,9.772,7.840
47.5634085,-35.0185275,15.301,15.090,11.484,9.395
50.0700305,-40.1780950,15.703,15.972,13.204,9.227
50.0968450,-40.2083265,13.490,13.186,9.202,6.601
50.0975438,-40.1854415,14.590,14.285,10.401,8.769
51.6307838,-42.8519888,14.629,13.813,11.167,9.034
51.6342052,-42.8237376,17.043,16.956,11.884,8.267
51.6362104,-42.8305465,16.710,17.052,12.563,8.910
52.9392978,-39.6141308,15.203,14.840,10.980,9.239
52.9467167,-39.6313609,14.228,13.992,10.227,8.661
52.9579450,-39.6315284,15.100,14.804,10.844,8.512
53.2537693,-47.6657517,16.603,16.913,12.630,9.528
53.2626876,-47.6738079,14.537,14.255,11.017,9.446
53.2745388,-47.6537080,16.987,16.630,12.955,8.828
53.4353302,-30.3176028,12.517,11.908,8.228,6.212
53.4384880,-30.3024734,15.722,15.478,12.571,9.447
