Group,Gal,ID,CHI2NU,XC_R,e_XC_R,YC_R,e_YC_R,MAG_R,e_MAG_R,RE_R,e_RE_R,n_R,e_n_R,AR_R,e_AR_R,PA_R,e_PA_R,XC_J0378,e_XC_J0378,YC_J0378,e_YC_J0378,MAG_J0378,e_MAG_J0378,RE_J0378,e_RE_J0378,n_J0378,e_n_J0378,AR_J0378,e_AR_J0378,PA_J0378,e_PA_J0378,XC_J0395,e_XC_J0395,YC_J0395,e_YC_J0395,MAG_J0395,e_MAG_J0395,RE_J0395,e_RE_J0395,n_J0395,e_n_J0395,AR_J0395,e_AR_J0395,PA_J0395,e_PA_J0395,XC_J0410,e_XC_J0410,YC_J0410,e_YC_J0410,MAG_J0410,e_MAG_J0410,RE_J0410,e_RE_J0410,n_J0410,e_n_J0410,AR_J0410,e_AR_J0410,PA_J0410,e_PA_J0410,XC_J0430,e_XC_J0430,YC_J0430,e_YC_J0430,MAG_J0430,e_MAG_J0430,RE_J0430,e_RE_J0430,n_J0430,e_n_J0430,AR_J0430,e_AR_J0430,PA_J0430,e_PA_J0430,XC_J0515,e_XC_J0515,YC_J0515,e_YC_J0515,MAG_J0515,e_MAG_J0515,RE_J0515,e_RE_J0515,n_J0515,e_n_J0515,AR_J0515,e_AR_J0515,PA_J0515,e_PA_J0515,XC_J0660,e_XC_J0660,YC_J0660,e_YC_J0660,MAG_J0660,e_MAG_J0660,RE_J0660,e_RE_J0660,n_J0660,e_n_J0660,AR_J0660,e_AR_J0660,PA_J0660,e_PA_J0660,XC_J0861,e_XC_J0861,YC_J0861,e_YC_J0861,MAG_J0861,e_MAG_J0861,RE_J0861,e_RE_J0861,n_J0861,e_n_J0861,AR_J0861,e_AR_J0861,PA_J0861,e_PA_J0861,XC_G,e_XC_G,YC_G,e_YC_G,MAG_G,e_MAG_G,RE_G,e_RE_G,n_G,e_n_G,AR_G,e_AR_G,PA_G,e_PA_G,XC_I,e_XC_I,YC_I,e_YC_I,MAG_I,e_MAG_I,RE_I,e_RE_I,n_I,e_n_I,AR_I,e_AR_I,PA_I,e_PA_I,XC_Z,e_XC_Z,YC_Z,e_YC_Z,MAG_Z,e_MAG_Z,RE_Z,e_RE_Z,n_Z,e_n_Z,AR_Z,e_AR_Z,PA_Z,e_PA_Z,XC_U,e_XC_U,YC_U,e_YC_U,MAG_U,e_MAG_U,RE_U,e_RE_U,n_U,e_n_U,AR_U,e_AR_U,PA_U,e_PA_U
234,1,iDR4_3_MC0011_0025647,1.1445460255657,364.4946,0.0213,326.9168,0.0187,18.3774,0.0229,0.9750,0.0564,9.5000,1.1178,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,19.5516,0.0882,*0.1773*,*0.0556*,7.7986,2.3655,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,19.4230,0.1029,*0.2318*,*0.0508*,7.9149,2.2376,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,19.4545,0.0857,*0.2812*,*0.0468*,8.0202,2.1238,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,19.1120,0.0698,*0.3447*,*0.0421*,8.1556,1.9809,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,18.7527,0.0391,0.6143,0.0338,8.7307,1.4420,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,18.3606,0.0259,1.0891,0.0671,9.7435,1.1735,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,17.9138,0.0708,1.7294,0.1344,*11.1091*,*2.3604*,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,18.8294,0.0435,*0.4918*,*0.0347*,8.4695,1.6696,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,17.9890,0.0577,1.4341,0.1026,*10.4793*,*1.7039*,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,17.9073,0.0710,1.7999,0.1421,*11.2595*,*2.5287*,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,19.5438,0.0821,*0.1023*,*0.0625*,7.6386,2.5448,0.6139,0.0217,2.0239,2.7906
234,2,iDR4_3_MC0011_0025327,1.1445460255657,360.9523,0.0132,239.3294,0.0116,16.9517,0.0059,5.8539,0.0268,0.7012,0.0053,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,17.8252,0.0389,6.0332,0.0459,0.5403,0.0129,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,17.2336,0.0356,6.0209,0.0436,0.5513,0.0121,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,17.3215,0.0310,6.0098,0.0415,0.5613,0.0114,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,17.2382,0.0267,5.9956,0.0390,0.5741,0.0104,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,16.9401,0.0181,5.9350,0.0301,0.6285,0.0069,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,16.9915,0.0095,5.8283,0.0285,0.7242,0.0061,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,16.8623,0.0203,5.6844,0.0519,0.8534,0.0148,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,17.1371,0.0071,5.9625,0.0337,0.6037,0.0084,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,16.8595,0.0086,5.7508,0.0392,0.7938,0.0104,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,16.8258,0.0167,5.6686,0.0551,0.8676,0.0159,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,17.8973,0.0270,6.0500,0.0492,0.5252,0.0141,0.8559,0.0030,-52.0654,1.0574
234,3,iDR4_3_MC0011_0025379,1.1445460255657,208.9296,0.0686,286.3763,0.2683,18.9355,0.1116,0.7491,0.1291,4.1412,1.4417,*0.0225*,*0.0104*,12.9613,0.4330,208.9296,0.0686,286.3763,0.2683,19.0911,0.0395,*0.1302*,*0.3830*,0.4965,2.6402,*0.0225*,*0.0104*,12.9613,0.4330,208.9296,0.0686,286.3763,0.2683,18.9171,0.0699,*0.1725*,*0.3617*,0.7456,2.5086,*0.0225*,*0.0104*,12.9613,0.4330,208.9296,0.0686,286.3763,0.2683,18.8297,0.1183,*0.2108*,*0.3426*,0.9712,2.3922,*0.0225*,*0.0104*,12.9613,0.4330,208.9296,0.0686,286.3763,0.2683,18.8033,0.1980,*0.2601*,*0.3182*,1.2612,2.2473,*0.0225*,*0.0104*,12.9613,0.4330,208.9296,0.0686,286.3763,0.2683,18.8149,0.1600,*0.4693*,*0.2198*,2.4932,1.7189,*0.0225*,*0.0104*,12.9613,0.4330,208.9296,0.0686,286.3763,0.2683,19.0263,0.1083,0.8377,0.1264,4.6627,1.5035,*0.0225*,*0.0104*,12.9613,0.4330,208.9296,0.0686,286.3763,0.2683,19.3052,0.1187,1.3345,0.3086,7.5880,2.7157,*0.0225*,*0.0104*,12.9613,0.4330,208.9296,0.0686,286.3763,0.2683,18.7304,0.2090,*0.3743*,*0.2632*,1.9336,1.9375,*0.0225*,*0.0104*,12.9613,0.4330,208.9296,0.0686,286.3763,0.2683,19.0362,0.0941,1.1054,0.2028,6.2389,2.0378,*0.0225*,*0.0104*,12.9613,0.4330,208.9296,0.0686,286.3763,0.2683,19.1216,0.1131,1.3892,0.3356,7.9103,2.8919,*0.0225*,*0.0104*,12.9613,0.4330,208.9296,0.0686,286.3763,0.2683,19.2451,4.2726,*0.0720*,*0.4126*,0.1538,2.8259,*0.0225*,*0.0104*,12.9613,0.4330
234,4,iDR4_3_MC0011_0025144,1.1445460255657,202.3735,0.0181,228.1091,0.0156,18.3085,0.0158,3.5293,0.0392,1.2106,0.0334,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,19.1189,0.0840,3.3277,0.0921,1.3030,0.0915,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.7932,0.0949,3.3415,0.0869,1.2967,0.0864,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.6482,0.0670,3.3540,0.0821,1.2910,0.0817,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.8449,0.0739,3.3700,0.0762,1.2836,0.0759,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.4063,0.0447,3.4382,0.0535,1.2524,0.0526,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.3211,0.0227,3.5582,0.0418,1.1974,0.0339,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.1140,0.0471,3.7200,0.0922,1.1232,0.0795,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.5365,0.0216,3.4072,0.0632,1.2666,0.0628,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.1603,0.0226,3.6454,0.0649,1.1574,0.0537,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.2674,0.0454,3.7378,0.0991,1.1150,0.0861,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,19.3738,0.0702,3.3087,0.0995,1.3117,0.0986,0.7856,0.0091,-49.8539,2.1788
234,5,iDR4_3_MC0011_0024820,1.1445460255657,109.9471,0.0322,166.3611,0.0273,18.4570,0.0344,5.2053,0.1740,2.2363,0.0923,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,19.7023,0.1581,3.6850,0.3287,1.3220,0.2022,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,19.2058,0.1551,3.7889,0.3038,1.3845,0.1893,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,19.7396,0.1913,3.8830,0.2818,1.4411,0.1777,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,19.0628,0.1072,4.0040,0.2542,1.5138,0.1632,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,18.8614,0.0804,4.5179,0.1579,1.8229,0.1095,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,18.3976,0.0430,5.4229,0.2142,2.3671,0.1062,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,18.1144,0.0764,6.6432,0.5075,3.1009,0.2469,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,18.8837,0.0416,4.2845,0.1958,1.6825,0.1318,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,18.1784,0.0484,6.0804,0.3658,2.7625,0.1755,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,18.1857,0.0720,6.7776,0.5420,3.1818,0.2645,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,20.0858,0.1481,3.5420,0.3636,1.2360,0.2204,0.7314,0.0159,-65.7936,2.6755
