ID,CHI2NU,XC_R,e_XC_R,YC_R,e_YC_R,RE_R,e_RE_R,MAG_R,e_MAG_R,n_R,e_n_R,AR_R,e_AR_R,PA_R,e_PA_R,XC_J0378,e_XC_J0378,YC_J0378,e_YC_J0378,RE_J0378,e_RE_J0378,MAG_J0378,e_MAG_J0378,n_J0378,e_n_J0378,AR_J0378,e_AR_J0378,PA_J0378,e_PA_J0378,XC_J0395,e_XC_J0395,YC_J0395,e_YC_J0395,RE_J0395,e_RE_J0395,MAG_J0395,e_MAG_J0395,n_J0395,e_n_J0395,AR_J0395,e_AR_J0395,PA_J0395,e_PA_J0395,XC_J0410,e_XC_J0410,YC_J0410,e_YC_J0410,RE_J0410,e_RE_J0410,MAG_J0410,e_MAG_J0410,n_J0410,e_n_J0410,AR_J0410,e_AR_J0410,PA_J0410,e_PA_J0410,XC_J0430,e_XC_J0430,YC_J0430,e_YC_J0430,RE_J0430,e_RE_J0430,MAG_J0430,e_MAG_J0430,n_J0430,e_n_J0430,AR_J0430,e_AR_J0430,PA_J0430,e_PA_J0430,XC_J0515,e_XC_J0515,YC_J0515,e_YC_J0515,RE_J0515,e_RE_J0515,MAG_J0515,e_MAG_J0515,n_J0515,e_n_J0515,AR_J0515,e_AR_J0515,PA_J0515,e_PA_J0515,XC_J0660,e_XC_J0660,YC_J0660,e_YC_J0660,RE_J0660,e_RE_J0660,MAG_J0660,e_MAG_J0660,n_J0660,e_n_J0660,AR_J0660,e_AR_J0660,PA_J0660,e_PA_J0660,XC_J0861,e_XC_J0861,YC_J0861,e_YC_J0861,RE_J0861,e_RE_J0861,MAG_J0861,e_MAG_J0861,n_J0861,e_n_J0861,AR_J0861,e_AR_J0861,PA_J0861,e_PA_J0861,XC_G,e_XC_G,YC_G,e_YC_G,RE_G,e_RE_G,MAG_G,e_MAG_G,n_G,e_n_G,AR_G,e_AR_G,PA_G,e_PA_G,XC_I,e_XC_I,YC_I,e_YC_I,RE_I,e_RE_I,MAG_I,e_MAG_I,n_I,e_n_I,AR_I,e_AR_I,PA_I,e_PA_I,XC_Z,e_XC_Z,YC_Z,e_YC_Z,RE_Z,e_RE_Z,MAG_Z,e_MAG_Z,n_Z,e_n_Z,AR_Z,e_AR_Z,PA_Z,e_PA_Z,XC_U,e_XC_U,YC_U,e_YC_U,RE_U,e_RE_U,MAG_U,e_MAG_U,n_U,e_n_U,AR_U,e_AR_U,PA_U,e_PA_U
iDR4_3_MC0120_0007849,1.29907809016772,100.6125,0.0257,163.8913,0.0177,18.8938,0.0200,0.5788,0.0361,3.0618,0.4709,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,19.0123,0.0296,*0.0627*,*0.1957*,0.4517,1.6036,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,18.6446,0.0327,*0.0979*,*0.1838*,0.6301,1.5093,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,18.5143,0.0277,*0.1299*,*0.1731*,0.7916,1.4244,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,18.6427,0.0255,*0.1710*,*0.1593*,0.9993,1.3161,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,18.6951,0.0217,*0.3454*,*0.1015*,1.8816,0.8756,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,19.0080,0.0252,0.6526,0.0334,3.4352,0.4767,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,19.2568,0.0836,1.0669,0.1541,5.5302,1.3579,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,18.7590,0.0119,*0.2662*,*0.1275*,1.4808,1.0705,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,19.0188,0.0365,0.8758,0.0912,4.5640,0.8740,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,19.1658,0.0693,1.1125,0.1695,5.7609,1.4787,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,19.3978,29.1287,*0.0141*,*0.2121*,0.2063,1.7342,0.1546,0.0613,-37.2897,1.8086
iDR4_3_MC0120_0007852,1.29907809016772,267.6868,0.0255,170.1310,0.0288,18.0472,0.0533,0.5311,0.0494,2.4106,0.4588,*0.0679*,*0.0394*,-18.4781,1.9991,267.6868,0.0255,170.1310,0.0288,17.7096,0.0853,*0.0710*,*0.1036*,2.3024,1.1887,*0.0679*,*0.0394*,-18.4781,1.9991,267.6868,0.0255,170.1310,0.0288,17.5810,0.0390,*0.1024*,*0.0990*,2.3098,1.1298,*0.0679*,*0.0394*,-18.4781,1.9991,267.6868,0.0255,170.1310,0.0288,17.5813,0.0306,*0.1309*,*0.0949*,2.3165,1.0769,*0.0679*,*0.0394*,-18.4781,1.9991,267.6868,0.0255,170.1310,0.0288,17.6348,0.0353,*0.1675*,*0.0897*,2.3251,1.0095,*0.0679*,*0.0394*,-18.4781,1.9991,267.6868,0.0255,170.1310,0.0288,17.8550,0.0540,*0.3230*,*0.0691*,2.3617,0.7367,*0.0679*,*0.0394*,-18.4781,1.9991,267.6868,0.0255,170.1310,0.0288,18.1805,0.0527,0.5969,0.0468,2.4260,0.4221,*0.0679*,*0.0394*,-18.4781,1.9991,267.6868,0.0255,170.1310,0.0288,18.5417,0.0563,0.9661,0.0718,2.5128,0.8032,*0.0679*,*0.0394*,-18.4781,1.9991,267.6868,0.0255,170.1310,0.0288,17.8043,0.0482,*0.2524*,*0.0781*,2.3451,0.8573,*0.0679*,*0.0394*,-18.4781,1.9991,267.6868,0.0255,170.1310,0.0288,18.3090,0.0438,0.7958,0.0536,2.4728,0.5413,*0.0679*,*0.0394*,-18.4781,1.9991,267.6868,0.0255,170.1310,0.0288,18.6961,0.0562,1.0068,0.0770,2.5224,0.8740,*0.0679*,*0.0394*,-18.4781,1.9991,267.6868,0.0255,170.1310,0.0288,17.8940,0.7469,*0.0277*,*0.1100*,2.2923,1.2705,*0.0679*,*0.0394*,-18.4781,1.9991
iDR4_3_MC0120_0007944,1.29907809016772,114.0554,0.0154,197.5857,0.0193,18.5148,0.0430,0.7847,0.0565,*10.6923*,*1.5442*,0.3072,0.0272,-54.0308,1.4818,114.0554,0.0154,197.5857,0.0193,18.5633,0.0508,*0.2515*,*0.0463*,8.3562,2.7834,0.3072,0.0272,-54.0308,1.4818,114.0554,0.0154,197.5857,0.0193,18.3638,0.0519,*0.2879*,*0.0428*,8.5158,2.6341,0.3072,0.0272,-54.0308,1.4818,114.0554,0.0154,197.5857,0.0193,18.3173,0.0490,*0.3209*,*0.0399*,8.6604,2.5024,0.3072,0.0272,-54.0308,1.4818,114.0554,0.0154,197.5857,0.0193,18.3195,0.0453,*0.3634*,*0.0369*,8.8463,2.3388,0.3072,0.0272,-54.0308,1.4818,114.0554,0.0154,197.5857,0.0193,18.4669,0.0407,0.5436,0.0349,9.6360,1.7573,0.3072,0.0272,-54.0308,1.4818,114.0554,0.0154,197.5857,0.0193,18.6429,0.0305,0.8610,0.0659,*11.0266*,*1.6595*,0.3072,0.0272,-54.0308,1.4818,114.0554,0.0154,197.5857,0.0193,19.3143,0.1170,1.2890,0.1238,*12.9017*,*3.1783*,0.3072,0.0272,-54.0308,1.4818,114.0554,0.0154,197.5857,0.0193,18.3822,0.0366,*0.4617*,*0.0334*,9.2773,1.9933,0.3072,0.0272,-54.0308,1.4818,114.0554,0.0154,197.5857,0.0193,18.7427,0.0381,1.0916,0.0964,*12.0369*,*2.3665*,0.3072,0.0272,-54.0308,1.4818,114.0554,0.0154,197.5857,0.0193,19.1020,0.0953,1.3361,0.1304,*13.1083*,*3.3851*,0.3072,0.0272,-54.0308,1.4818,114.0554,0.0154,197.5857,0.0193,18.8701,0.0528,*0.2014*,*0.0516*,8.1365,2.9945,0.3072,0.0272,-54.0308,1.4818
iDR4_3_MC0120_0008091,1.29907809016772,361.2248,0.0228,244.9045,0.0097,18.2478,0.0115,0.7425,0.0162,3.4848,0.3112,*0.0906*,*0.0297*,-19.7466,0.9222,361.2248,0.0228,244.9045,0.0097,17.9262,0.0140,*0.2301*,*0.0433*,2.0924,0.7223,*0.0906*,*0.0297*,-19.7466,0.9222,361.2248,0.0228,244.9045,0.0097,17.7678,0.0174,*0.2651*,*0.0405*,2.1875,0.6763,*0.0906*,*0.0297*,-19.7466,0.9222,361.2248,0.0228,244.9045,0.0097,17.7940,0.0172,*0.2968*,*0.0381*,2.2737,0.6354,*0.0906*,*0.0297*,-19.7466,0.9222,361.2248,0.0228,244.9045,0.0097,17.8578,0.0156,*0.3376*,*0.0350*,2.3845,0.5838,*0.0906*,*0.0297*,-19.7466,0.9222,361.2248,0.0228,244.9045,0.0097,18.0648,0.0143,0.5108,0.0230,2.8552,0.3897,*0.0906*,*0.0297*,-19.7466,0.9222,361.2248,0.0228,244.9045,0.0097,18.3930,0.0142,0.8159,0.0184,3.6840,0.3558,*0.0906*,*0.0297*,-19.7466,0.9222,361.2248,0.0228,244.9045,0.0097,18.7355,0.0525,1.2272,0.0468,4.8016,0.8445,*0.0906*,*0.0297*,-19.7466,0.9222,361.2248,0.0228,244.9045,0.0097,18.0151,0.0082,*0.4321*,*0.0281*,2.6414,0.4712,*0.0906*,*0.0297*,-19.7466,0.9222,361.2248,0.0228,244.9045,0.0097,18.5012,0.0216,1.0375,0.0322,4.2862,0.5950,*0.0906*,*0.0297*,-19.7466,0.9222,361.2248,0.0228,244.9045,0.0097,18.8159,0.0492,1.2725,0.0504,4.9247,0.9063,*0.0906*,*0.0297*,-19.7466,0.9222,361.2248,0.0228,244.9045,0.0097,18.0744,0.0114,*0.1819*,*0.0471*,1.9614,0.7865,*0.0906*,*0.0297*,-19.7466,0.9222
iDR4_3_MC0120_0008380,1.29907809016772,325.2021,0.2113,343.7920,0.0180,18.9606,0.0767,1.4258,0.1238,*11.6326*,*2.3573*,*0.0520*,*0.0161*,-72.6760,0.8248,325.2021,0.2113,343.7920,0.0180,19.0312,0.0980,1.6617,0.2291,*11.0560*,*3.6473*,*0.0520*,*0.0161*,-72.6760,0.8248,325.2021,0.2113,343.7920,0.0180,18.5735,0.0940,1.6456,0.2123,*11.0954*,*3.3616*,*0.0520*,*0.0161*,-72.6760,0.8248,325.2021,0.2113,343.7920,0.0180,18.4335,0.0872,1.6310,0.1974,*11.1311*,*3.1101*,*0.0520*,*0.0161*,-72.6760,0.8248,325.2021,0.2113,343.7920,0.0180,18.7093,0.0843,1.6122,0.1788,*11.1770*,*2.8002*,*0.0520*,*0.0161*,-72.6760,0.8248,325.2021,0.2113,343.7920,0.0180,18.7339,0.0684,1.5325,0.1146,*11.3719*,*1.8239*,*0.0520*,*0.0161*,-72.6760,0.8248,325.2021,0.2113,343.7920,0.0180,19.1582,0.0889,1.3921,0.1502,*11.7151*,*2.8694*,*0.0520*,*0.0161*,-72.6760,0.8248,325.2021,0.2113,343.7920,0.0180,19.7310,0.2225,1.2028,0.3483,*12.1779*,*6.3888*,*0.0520*,*0.0161*,-72.6760,0.8248,325.2021,0.2113,343.7920,0.0180,18.6804,0.0659,1.5687,0.1397,*11.2833*,*2.1729*,*0.0520*,*0.0161*,-72.6760,0.8248,325.2021,0.2113,343.7920,0.0180,19.2447,0.1347,1.2901,0.2520,*11.9644*,*4.6995*,*0.0520*,*0.0161*,-72.6760,0.8248,325.2021,0.2113,343.7920,0.0180,19.4960,0.2093,1.1819,0.3718,*12.2289*,*6.7993*,*0.0520*,*0.0161*,-72.6760,0.8248,325.2021,0.2113,343.7920,0.0180,19.1892,0.0996,1.6839,0.2528,*11.0018*,*4.0512*,*0.0520*,*0.0161*,-72.6760,0.8248
iDR4_3_MC0120_0008502,1.29907809016772,327.3789,0.0799,378.9970,0.2297,19.7023,1.0276,0.5313,0.9358,0.6764,2.5482,*0.0578*,*0.2926*,-22.8326,11.4296,327.3789,0.0799,378.9970,0.2297,19.7438,1.2900,*0.0705*,*1.1791*,1.1656,5.3070,*0.0578*,*0.2926*,-22.8326,11.4296,327.3789,0.0799,378.9970,0.2297,19.1802,0.3200,*0.1020*,*1.1587*,1.1322,5.1142,*0.0578*,*0.2926*,-22.8326,11.4296,327.3789,0.0799,378.9970,0.2297,19.2976,0.0794,*0.1305*,*1.1405*,1.1019,4.9397,*0.0578*,*0.2926*,-22.8326,11.4296,327.3789,0.0799,378.9970,0.2297,19.3522,0.2210,*0.1672*,*1.1178*,1.0630,4.7159,*0.0578*,*0.2926*,-22.8326,11.4296,327.3789,0.0799,378.9970,0.2297,19.5832,0.7212,*0.3230*,*1.0291*,0.8976,3.7727,*0.0578*,*0.2926*,-22.8326,11.4296,327.3789,0.0799,378.9970,0.2297,19.8390,1.0520,0.5973,0.9135,0.6064,2.1799,*0.0578*,*0.2926*,-22.8326,11.4296,327.3789,0.0799,378.9970,0.2297,20.1188,1.3047,0.9671,0.8688,0.2137,1.1378,*0.0578*,*0.2926*,-22.8326,11.4296,327.3789,0.0799,378.9970,0.2297,19.4579,0.5296,*0.2522*,*1.0677*,0.9727,4.1993,*0.0578*,*0.2926*,-22.8326,11.4296,327.3789,0.0799,378.9970,0.2297,19.9171,0.9861,0.7966,0.8716,0.3948,1.2483,*0.0578*,*0.2926*,-22.8326,11.4296,327.3789,0.0799,378.9970,0.2297,20.3512,1.6164,1.0079,0.8727,0.1704,1.2525,*0.0578*,*0.2926*,-22.8326,11.4296,327.3789,0.0799,378.9970,0.2297,19.8359,25.5516,*0.0272*,*1.2080*,1.2117,5.5730,*0.0578*,*0.2926*,-22.8326,11.4296
