ID,Field,RA,DEC,Group,Gal,zmemb,u_aper_6,e_u_aper_6,J0378_aper_6,e_J0378_aper_6,J0395_aper_6,e_J0395_aper_6,J0410_aper_6,e_J0410_aper_6,J0430_aper_6,e_J0430_aper_6,g_aper_6,e_g_aper_6,J0515_aper_6,e_J0515_aper_6,r_aper_6,e_r_aper_6,J0660_aper_6,e_J0660_aper_6,i_aper_6,e_i_aper_6,J0861_aper_6,e_J0861_aper_6,z_aper_6,e_z_aper_6,type,zmemb_2
iDR4_3_SPLUS-s24s18_0046552,SPLUS-s24s18,26.904891386797555,-30.25428587994887,36,3,0.0428,18.67011833190918,0.0241470281034708,18.36830711364746,0.0314378440380096,18.18283462524414,0.0422922298312187,17.722511291503906,0.0288447644561529,17.543479919433594,0.0245815683156251,17.389781951904297,0.0085241366177797,17.195297241210938,0.0156569071114063,16.950641632080078,0.006172199267894,16.952388763427734,0.0070045478641986,16.745620727539062,0.0061788200400769,16.694713592529297,0.0109684318304061,16.644853591918945,0.0082094492390751,SER,0.0
iDR4_3_SPLUS-s24s18_0046816,SPLUS-s24s18,26.889221636318013,-30.26161631711255,36,1,0.0428,18.0214900970459,0.015671070665121,17.778900146484375,0.0209941230714321,17.509191513061523,0.0262595526874065,17.24783706665039,0.0211212206631898,17.068809509277344,0.0180700775235891,17.02130889892578,0.0069562434218823,16.772192001342773,0.01223636418581,16.649017333984375,0.0052221277728676,16.718116760253906,0.0061700558289885,16.518692016601562,0.0053650718182325,16.489397048950195,0.0095909340307116,16.48068618774414,0.0072922334074974,REX,1.0
iDR4_3_SPLUS-s23s18_0000653,SPLUS-s23s18,26.89519722370268,-30.26763257125283,36,2,0.0425,19.847824096679688,0.0579077415168285,19.715347290039062,0.0903509780764579,19.472862243652344,0.1228020936250686,19.240074157714844,0.0957336723804473,19.258563995361328,0.0927404314279556,19.05203628540039,0.0270257089287042,18.645761489868164,0.0458416379988193,18.757028579711918,0.0219502113759517,18.840478897094727,0.0263686552643775,18.701723098754883,0.0276777073740959,18.65111351013184,0.0638197362422943,18.649045944213867,0.0481826588511467,SER,1.0
iDR4_3_SPLUS-s23s18_0001031,SPLUS-s23s18,26.91351584020335,-30.249084318962623,36,4,0.0428,20.06981086730957,0.0693949833512306,20.046688079833984,0.1186818853020668,19.794225692749023,0.1618038713932037,19.45501136779785,0.1147214993834495,19.236696243286133,0.0899603217840194,19.08683204650879,0.0274389144033193,18.555837631225582,0.0419247820973396,18.855976104736328,0.0234735570847988,18.89977264404297,0.0274238046258687,18.776948928833008,0.0292180869728326,18.82111167907715,0.0734319612383842,18.75855255126953,0.0526823438704013,SER,1.0
iDR4_3_SPLUS-s28s28_0016831,SPLUS-s28s28,45.0493315805059,-36.35633937650798,48,4,0.0917,16.811370849609375,0.0130475163459777,15.951934814453123,0.0150936245918273,15.527350425720217,0.0139841111376881,15.451860427856444,0.0117181297391653,15.494760513305664,0.0116456849500536,15.617786407470703,0.0050659677945077,15.585734367370604,0.0098683955147862,15.791812896728516,0.0047173555940389,15.92337417602539,0.0072562331333756,16.023109436035156,0.0055775772780179,16.16028594970703,0.0114411041140556,16.136003494262695,0.0084264203906059,PSF,1.0
iDR4_3_SPLUS-s28s28_0016903,SPLUS-s28s28,45.0434738853653,-36.358419561942064,48,2,0.0958,19.794227600097656,0.1080041155219078,19.18528175354004,0.145454540848732,19.40120887756348,0.2454007118940353,19.167217254638672,0.1696642190217971,18.88619041442871,0.1272706985473632,18.28811836242676,0.0239048693329095,18.040876388549805,0.0485196709632873,17.52875518798828,0.0129048088565468,17.38242530822754,0.0170675124973058,17.138029098510742,0.0114706158638,16.97251319885254,0.0205716118216514,16.881803512573242,0.0147118689492344,SER,1.0
iDR4_3_SPLUS-s28s28_0016750,SPLUS-s28s28,45.048500126681446,-36.35172736254847,48,3,0.0917,18.247337341308597,0.0319084972143173,18.347078323364254,0.0729377493262291,18.511489868164062,0.1138155609369278,18.481800079345703,0.0941957458853721,18.09684562683105,0.066479742527008,18.305400848388672,0.0233646742999553,18.08646011352539,0.0494227446615695,18.11549568176269,0.0180967319756746,18.020172119140625,0.0247756019234657,17.87415885925293,0.0187263768166303,17.889625549316406,0.0410235188901424,17.95398712158203,0.0342367775738239,PSF,0.0
iDR4_3_SPLUS-s28s28_0016141,SPLUS-s28s28,45.03831428511136,-36.38119938023438,48,1,0.0917,20.94285774230957,0.2862502932548523,19.79444122314453,0.2429636865854263,19.978307723999023,0.4032105505466461,20.02516746520996,0.3633365035057068,19.577890396118164,0.2299228608608245,19.10601806640625,0.0424568578600883,18.9241943359375,0.0971843749284744,18.50851249694824,0.0245658718049526,18.418569564819336,0.0334591343998909,18.2087516784668,0.024631280452013,18.00627326965332,0.0452782809734344,17.932260513305664,0.0337938331067562,SER,0.0
iDR4_3_SPLUS-s31s31_0037130,SPLUS-s31s31,52.94665705852346,-39.63141423500292,54,2,0.10668,19.710695266723636,0.1573497951030731,19.643281936645508,0.2299828827381134,18.99039649963379,0.1997346878051757,18.91036605834961,0.1896602660417556,18.885740280151367,0.1797362715005874,18.344900131225582,0.0427389107644557,18.080427169799805,0.0705323666334152,17.783050537109375,0.0140910493209958,17.604936599731445,0.0290651656687259,17.36935043334961,0.0129242986440658,17.244388580322266,0.032050359994173,17.164623260498047,0.0276382248848676,SER,1.0
iDR4_3_SPLUS-s31s31_0037491,SPLUS-s31s31,52.95795760635246,-39.63154634437316,54,3,0.10668,20.93792152404785,0.4814813137054443,20.05237197875977,0.3370536565780639,20.23541831970215,0.6197317838668823,20.00474166870117,0.5108771324157715,21.376672744750977,1.7387667894363403,19.32123374938965,0.1003012135624885,18.85669708251953,0.1384891122579574,18.728328704833984,0.0265924651175737,18.569711685180664,0.0624532662332057,18.267770767211918,0.0244112629443407,18.032155990600582,0.0623415037989616,18.126941680908203,0.063163623213768,SER,0.0
