RA,DEC,NAME,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,GroupID,GroupSize
334.67125,-24.1791944,199,334.657,-24.1621944,199,1,22 18 37.68,-24 09 43.9,0.0,,19.9668,19.5682,Simbad,12,4
334.67125,-24.1791944,199,334.663,-24.1718889,199,2,22 18 39.12,-24 10 18.8,0.0332,,18.931,18.355,Simbad,12,4
334.67125,-24.1791944,199,334.679,-24.184,199,3,22 18 42.96,-24 11 02.4,0.031348,,18.9608,18.3633,Simbad,12,4
334.67125,-24.1791944,199,334.686,-24.1986944,199,4,22 18 44.64,-24 11 55.3,0.0828,,19.5687,19.1567,Simbad,12,4
335.2065,-69.7766667,200,335.168,-69.7538889,200,1,22 20 40.32,-69 45 14.0,0.0,,20.1151,20.0614,Simbad,13,4
335.2065,-69.7766667,200,335.192,-69.7715,200,2,22 20 46.08,-69 46 17.4,0.0,,19.8801,18.8115,Simbad,13,4
335.2065,-69.7766667,200,335.212,-69.7816944,200,3,22 20 50.88,-69 46 54.1,0.0,,19.7595,19.7752,Simbad,13,4
335.2065,-69.7766667,200,335.254,-69.7996111,200,4,22 21 00.96,-69 47 58.6,0.0,,19.657,19.0108,Simbad,13,4
335.604,-61.2837222,201,335.583,-61.2946111,201,1,22 22 19.92,-61 17 40.6,0.0,,19.4383,19.0643,Simbad,14,4
335.604,-61.2837222,201,335.599,-61.2801111,201,2,22 22 23.76,-61 16 48.4,0.044191,,19.1842,18.7061,Simbad,14,4
335.604,-61.2837222,201,335.602,-61.2646111,201,3,22 22 24.48,-61 15 52.6,0.0,,19.7041,19.4819,Simbad,14,4
335.604,-61.2837222,201,335.632,-61.2956111,201,4,22 22 31.68,-61 17 44.2,0.0,,20.1788,19.9875,Simbad,14,4
336.3725,-27.7033611,202,336.358,-27.7013056,202,1,22 25 25.92,-27 42 04.7,0.0509,,18.1654,17.5425,Simbad,15,4
336.3725,-27.7033611,202,336.365,-27.7025,202,2,22 25 27.60,-27 42 09.0,0.0,,19.8575,18.9798,Simbad,15,4
