ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
iDR4_3_MC0045_0014672,MC0045,4.370493423919935,-69.1389984885657,4534.438,9205.619,1.1318817,0.11651546,-12.852597,6.7842513E-4,5.9954944E-4,6.07654,13.972004,18.931957,0.18535455,0,18.662962,0.21518745,0,18.818758,0.35058555,0,18.562834,0.2673415,0,18.137989,0.1678314,0,17.52702,0.037283782,0,17.18379,0.05520249,0,16.813492,0.01701927,0,16.695337,0.016898321,0,16.390615,0.012783676,0,16.227226,0.023202898,0,16.154398,0.016560094,0,0.1085,0.6976791,4.3704583,-69.1386111,6,1,00 17 28.91,-69 08 19.0,0.0,,20.0865,19.9392,Simbad,1.3953255700419296
iDR4_3_MC0045_0014747,MC0045,4.433424404965631,-69.14187777038508,4387.8984,9185.705,1.1006085,0.09141165,20.419275,4.7890106E-4,4.3495905E-4,5.635407,15.022826,18.79985,0.15136142,2,18.614094,0.19045757,2,18.136507,0.17415164,2,18.137415,0.16746728,2,18.411371,0.20031898,2,18.488298,0.083308116,2,17.762842,0.08681153,2,17.622044,0.032743584,2,17.62505,0.036170956,2,17.28155,0.026431208,2,17.142023,0.049348827,2,17.091618,0.036020983,2,0.189,0.49630737,4.4330417,-69.1416944,6,2,00 17 43.93,-69 08 30.1,0.0,,20.0133,19.7778,Simbad,0.8224463405421842
iDR4_3_MC0045_0014934,MC0045,4.47281538195714,-69.15241822812267,4296.6772,9115.965,1.4999366,0.33330518,-40.005936,3.6318495E-4,2.4228446E-4,2.8731139,5.844949,19.711382,0.16333373,0,19.501368,0.20089282,0,19.599377,0.3113275,0,19.187826,0.20592405,0,19.27557,0.2076739,0,18.975697,0.061431315,0,18.94331,0.12076883,0,18.863068,0.048229415,0,18.754143,0.04811839,0,18.54801,0.03986101,0,18.534313,0.08314051,0,18.514153,0.062348824,0,0.105333336,0.5984446,4.4720417,-69.1526944,6,3,00 17 53.29,-69 09 09.7,0.0,,19.9952,19.8058,Simbad,1.4039181985767988
iDR4_3_MC0045_0015068,MC0045,4.496764140992305,-69.16196090021603,4241.443,9053.019,3.4733386,0.7120926,-55.543903,0.0012773465,3.6450409E-4,7.2940497,16.43741,18.047586,0.07754715,0,17.717335,0.0856324,0,17.48579,0.09816017,0,17.225985,0.07447211,0,17.093382,0.061560214,0,17.09946,0.024139624,0,16.80242,0.03732274,0,16.635275,0.013853328,0,16.635056,0.015455253,0,16.426477,0.012597426,0,16.336292,0.024403643,0,16.359425,0.018997576,0,0.0395,0.9878097,4.4970417,-69.1615,6,4,00 17 59.29,-69 09 41.4,0.0,,19.1307,18.4181,Simbad,1.6968869894129859
