Group RA Dec zUV nUV ngal nz mz r_theta_ Rij sigmalos Simbad
98 168.00099999999998 29.41702777777778 0.033857 4 4 3 1 1.241 0.0 0.0 Simbad
99 168.43362499999998 39.33591666666667 0.07595 4 4 3 1 0.935 0.0 0.0 Simbad
100 169.51516666666666 30.534972222222223 0.060382 4 4 3 1 1.106 0.0 0.0 Simbad
101 169.92041666666663 -6.509 0.06271 4 4 1 1 0.9 0.0 0.0 Simbad
102 170.5192083333333 42.80347222222222 0.071656 4 3 2 2 0.994 0.0 0.0 Simbad
103 170.68066666666667 46.87441666666667 0.053545 4 4 3 3 0.936 76.99 138.7 Simbad
104 171.96391666666662 -0.46911111111111115 0.062177 4 3 3 3 1.089 81.53 175.76 Simbad
105 172.9442083333333 15.405611111111112 0.068909 4 4 3 3 0.823 94.13 21.54 Simbad
106 173.856125 54.96338888888889 0.055501 4 4 3 2 1.045 0.0 0.0 Simbad
107 174.16654166666663 21.69472222222222 0.062911 4 4 4 3 1.223 63.0 160.14 Simbad
108 174.25712499999997 12.455583333333333 0.117987 4 4 2 2 0.557 0.0 0.0 Simbad
109 174.72916666666663 3.585805555555556 0.018672 4 3 2 2 0.634 0.0 0.0 Simbad
110 178.36216666666664 58.12452777777778 0.065903 4 3 3 3 0.948 97.85 335.58 Simbad
111 178.47116666666665 51.037 0.078598 4 4 3 1 1.351 0.0 0.0 Simbad
112 179.06974999999997 25.373833333333334 0.015781 4 3 2 1 1.176 0.0 0.0 Simbad
113 179.18849999999998 22.500916666666665 0.08939 4 4 1 1 0.367 0.0 0.0 Simbad
114 182.5339583333333 44.66430555555555 0.022862 4 4 4 1 1.178 0.0 0.0 Simbad
115 183.445125 42.767472222222224 0.099166 4 4 2 1 0.901 0.0 0.0 Simbad
116 183.78691666666666 41.27375 0.037826 4 4 2 1 1.416 0.0 0.0 Simbad
117 184.43745833333332 20.743750000000002 0.121928 4 4 3 2 0.567 0.0 0.0 Simbad
118 184.93149999999997 65.10463888888889 0.081962 4 4 3 1 1.055 0.0 0.0 Simbad
119 186.97391666666664 36.36102777777778 0.033848 4 2 2 2 0.903 0.0 0.0 Simbad
120 187.31441666666663 38.942361111111104 0.052832 4 3 1 1 0.942 0.0 0.0 Simbad
121 188.41270833333334 19.865722222222225 0.073587 4 4 3 3 1.17 96.17 76.06 Simbad
122 190.3262083333333 18.306722222222223 0.070976 4 4 3 2 1.254 0.0 0.0 Simbad
123 190.362375 52.80483333333333 0.054238 4 4 3 2 1.187 0.0 0.0 Simbad
125 191.29787499999998 23.03563888888889 0.023099 4 2 2 2 0.582 0.0 0.0 Simbad
126 195.73279166666666 5.522888888888889 0.069274 4 4 4 4 0.77 72.2 202.75 Simbad
127 196.26504166666666 40.761361111111114 0.035248 4 4 3 2 1.016 0.0 0.0 Simbad
128 196.74462499999996 40.026833333333336 0.074874 4 4 2 2 0.572 0.0 0.0 Simbad
129 197.192875 28.88497222222222 0.060895 4 4 4 1 0.764 0.0 0.0 Simbad
130 197.47504166666664 30.42402777777778 0.050614 4 4 2 2 0.931 0.0 0.0 Simbad
131 198.01491666666664 59.83047222222223 0.076899 4 3 2 2 0.825 0.0 0.0 Simbad
132 198.27262499999998 12.689111111111112 0.029737 4 4 4 1 1.45 0.0 0.0 Simbad
133 198.45162499999998 6.97325 0.021535 4 4 3 3 1.401 57.66 481.67 Simbad
134 198.57387499999996 17.225944444444444 0.072774 4 4 2 2 1.16 0.0 0.0 Simbad
135 198.67674999999997 21.804055555555557 0.0629 4 4 3 3 0.818 78.09 32.66 Simbad
136 199.72224999999997 33.54538888888889 0.038 4 4 2 1 1.219 0.0 0.0 Simbad
137 200.20549999999997 34.19747222222222 0.064273 4 4 4 1 1.612 0.0 0.0 Simbad
138 202.0185833333333 31.939583333333335 0.038434 4 4 3 1 1.308 0.0 0.0 Simbad
139 202.49012499999998 9.422166666666666 0.022088 4 4 2 1 1.104 0.0 0.0 Simbad
140 203.32774999999998 11.095944444444445 0.090623 4 4 3 1 1.19 0.0 0.0 Simbad
141 203.68974999999998 33.89347222222222 0.023199 4 3 2 1 0.919 0.0 0.0 Simbad
142 203.87541666666664 80.51780555555555 0.0502 4 4 4 1 0.937 0.0 0.0 Simbad
143 204.87554166666663 4.510888888888889 0.023027 4 4 2 2 0.534 0.0 0.0 Simbad
144 206.37749999999997 18.223138888888887 0.081961 4 3 2 1 1.131 0.0 0.0 Simbad
145 206.85124999999996 -30.425944444444447 0.014489 4 4 2 2 1.173 0.0 0.0 Simbad
146 206.8652083333333 32.5175 0.13067 4 4 3 2 1.029 0.0 0.0 Simbad
147 207.34104166666663 21.68813888888889 0.062163 4 3 1 1 1.07 0.0 0.0 Simbad
148 208.8416666666666 6.558222222222222 0.083417 4 4 3 3 1.03 135.98 152.53 Simbad
149 210.45304166666665 -3.1814444444444443 0.067788 4 4 3 3 1.519 198.36 42.47 Simbad
151 210.98095833333332 26.373305555555557 0.088811 4 4 2 2 0.994 0.0 0.0 Simbad
152 211.1970833333333 24.183222222222224 0.062093 4 4 2 2 1.058 0.0 0.0 Simbad
153 211.68954166666666 47.28008333333333 0.059873 4 3 1 1 0.772 0.0 0.0 Simbad
154 212.85225 -29.649472222222222 0.037372 4 3 1 1 1.257 0.0 0.0 Simbad
155 213.2272083333333 23.331416666666666 0.059727 4 4 2 2 0.75 0.0 0.0 Simbad
156 215.156625 26.858194444444447 0.036572 4 4 2 1 0.898 0.0 0.0 Simbad
157 215.50554166666666 28.866500000000002 0.03249 4 3 2 2 0.436 0.0 0.0 Simbad
158 216.54591666666664 29.720444444444443 0.059054 4 4 4 3 1.338 145.42 119.75 Simbad
159 219.23741666666663 12.161305555555556 0.054917 4 3 2 2 1.574 0.0 0.0 Simbad
160 219.70879166666666 9.0435 0.030822 4 4 3 2 1.219 0.0 0.0 Simbad
161 220.76808333333332 61.31330555555555 0.049216 4 3 3 3 0.563 39.88 245.29 Simbad
162 222.70920833333332 21.748361111111112 0.059624 4 4 2 1 1.367 0.0 0.0 Simbad
163 224.68062499999996 53.87419444444444 0.02624 4 3 3 1 0.95 0.0 0.0 Simbad
164 226.27233333333334 8.724805555555555 0.073959 4 4 2 2 1.11 0.0 0.0 Simbad
165 226.88391666666666 28.834083333333332 0.05829 4 2 2 2 1.527 0.0 0.0 Simbad
166 227.270875 61.94247222222222 0.10765 4 3 2 2 0.926 0.0 0.0 Simbad
167 227.77112499999998 39.47652777777778 0.057599 4 3 2 2 1.024 0.0 0.0 Simbad
168 228.1649583333333 26.573027777777778 0.033186 4 3 2 2 1.081 0.0 0.0 Simbad
169 228.57841666666664 46.11227777777778 0.036939 4 4 4 3 0.938 47.41 56.71 Simbad
170 230.173375 30.466805555555553 0.080169 4 3 3 2 1.175 0.0 0.0 Simbad
171 230.94637499999996 2.6689166666666666 0.020865 4 4 4 1 1.115 0.0 0.0 Simbad
172 232.78529166666667 3.830111111111111 0.039322 4 3 1 1 0.628 0.0 0.0 Simbad
173 235.7978333333333 53.226444444444446 0.042923 4 4 2 2 1.197 0.0 0.0 Simbad
174 236.4512083333333 44.259027777777774 0.034687 4 4 3 2 0.784 0.0 0.0 Simbad
175 237.7314583333333 34.09655555555556 0.052965 4 4 4 3 1.528 79.81 187.39 Simbad
176 238.37658333333331 20.967166666666664 0.01876 4 3 3 2 0.863 0.0 0.0 Simbad
177 238.6680833333333 30.12477777777778 0.082868 4 3 2 2 1.109 0.0 0.0 Simbad
178 241.16691666666662 26.623722222222224 0.117894 4 4 3 2 1.054 0.0 0.0 Simbad
180 244.44408333333334 41.892805555555555 0.060512 4 3 3 1 1.26 0.0 0.0 Simbad
181 245.8170833333333 15.804166666666667 0.033885 4 3 2 2 0.795 0.0 0.0 Simbad
182 249.9190416666666 39.52786111111111 0.029917 4 4 3 3 1.022 56.22 232.0 Simbad
183 261.6569583333333 32.22386111111111 1.09 4 4 1 1 1.311 0.0 0.0 Simbad
185 312.4865 -48.905027777777775 0.030818 4 3 1 1 1.073 0.0 0.0 Simbad
186 314.48474999999996 -24.964416666666665 0.094365 4 3 1 1 1.032 0.0 0.0 Simbad
188 314.86375 -60.663222222222224 0.055752 4 3 1 1 0.943 0.0 0.0 Simbad
189 319.35249999999996 -35.916555555555554 0.029797 4 4 1 1 0.789 0.0 0.0 Simbad
