_RAJ2000,_DEJ2000,Group,RAJ2000,DEJ2000,zUV,nUV,ngal,nz,mz,r{theta},Rij,sigmalos,Simbad,NAME
18.1803333,14.3776111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 27,01 12 43.28,+14 22 39.4,0.093823,4,4,3,2,1.19,,,Simbad,27
20.2665417,-32.0529444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 28,01 21 03.97,-32 03 10.6,0.0723,4,4,4,3,1.253,117.23,66.07,Simbad,28
20.4132083,-38.0785556,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 29,01 21 39.17,-38 04 42.8,0.11502,4,4,2,2,1.364,,,Simbad,29
21.1607083,-8.18725,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 30,01 24 38.57,-08 11 14.1,,4,4,0,0,1.022,,,Simbad,30
23.1335417,-54.6343611,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 31,01 32 32.05,-54 38 03.7,,4,4,0,0,0.71,,,Simbad,31
23.4275417,-69.3213889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 32,01 33 42.61,-69 19 17.0,,4,3,0,0,1.016,,,Simbad,32
23.9123333,-2.0943333,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 33,01 35 38.96,-02 05 39.6,,4,3,0,0,0.949,,,Simbad,33
24.6247083,-40.0130833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 34,01 38 29.93,-40 00 47.1,0.025227,4,3,2,1,1.281,,,Simbad,34
25.5689167,-54.4324167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 35,01 42 16.54,-54 25 56.7,0.060688,4,3,2,2,1.011,,,Simbad,35
26.9006667,-30.25825,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 36,01 47 36.16,-30 15 29.7,0.0428,4,4,3,3,0.734,73.47,50.96,Simbad,36
27.0494167,-15.12075,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 37,01 48 11.86,-15 07 14.7,,4,4,0,0,0.981,,,Simbad,37
27.1867917,13.7075833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 38,01 48 44.83,+13 42 27.3,0.04476,4,4,4,3,1.085,56.43,42.89,Simbad,38
29.668125,-33.7573889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 39,01 58 40.35,-33 45 26.6,0.062604,4,4,2,1,0.966,,,Simbad,39
30.9626667,-31.1516667,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 40,02 03 51.04,-31 09 06.0,0.0289,4,4,2,1,0.798,,,Simbad,40
33.6791667,-41.6420833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 41,02 14 43.00,-41 38 31.5,,4,3,0,0,1.174,,,Simbad,41
35.61425,-18.6029444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 42,02 22 27.42,-18 36 10.6,,4,3,0,0,0.922,,,Simbad,42
