ID,Field,RA,DEC,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Group,Gal,zmemb,gmemb
iDR4_3_SPLUS-s24s18_0046552,SPLUS-s24s18,26.904891386797555,-30.25428587994887,18.15145301818848,0.0374497175216674,17.85613250732422,0.0507544241845607,17.671152114868164,0.0713677629828453,17.24211883544922,0.0453289821743965,17.117666244506836,0.0389910452067852,16.8918399810791,0.0103412950411438,16.70503044128418,0.0212006252259016,16.41525650024414,0.0073066833429038,16.38166618347168,0.0080086588859558,16.224008560180664,0.0083002615720033,16.14069938659668,0.0159599501639604,16.112857818603516,0.012816771864891,36,3,0.0428,
iDR4_3_SPLUS-s24s18_0046816,SPLUS-s24s18,26.889221636318013,-30.26161631711255,17.046016693115234,0.0215223710983991,16.77566909790039,0.0289884973317384,16.543859481811523,0.0393708758056163,16.268341064453125,0.0287965424358844,16.09850311279297,0.0237078182399272,16.068557739257812,0.007393863517791,15.830451965332031,0.0146844238042831,15.74936294555664,0.0059370514936745,15.79757022857666,0.0070310463197529,15.63758373260498,0.0073076440021395,15.63619613647461,0.0153421564027667,15.624675750732422,0.0125015219673514,36,1,0.0428,
iDR4_3_SPLUS-s23s18_0000653,SPLUS-s23s18,26.89519722370268,-30.26763257125283,19.452943801879883,0.0940649136900901,19.233129501342773,0.1376977562904358,18.96853446960449,0.1853132843971252,18.641843795776367,0.1269725561141967,18.73087310791016,0.1314134299755096,18.56841278076172,0.0366919375956058,18.13925552368164,0.0625216886401176,18.294116973876957,0.0310031715780496,18.385787963867188,0.0376586094498634,18.247604370117188,0.0417503416538238,18.283485412597656,0.1078037992119789,18.352073669433597,0.0875670462846756,36,2,0.0425,
iDR4_3_SPLUS-s23s18_0001031,SPLUS-s23s18,26.91351584020335,-30.249084318962623,19.646411895751957,0.0836790278553962,19.5635986328125,0.1378699243068695,19.5230770111084,0.2289256006479263,19.01979255676269,0.1338261365890503,19.18163681030273,0.1467148065567016,18.85025405883789,0.0356271937489509,18.391260147094727,0.0586606003344059,18.620723724365234,0.031254943460226,18.602094650268555,0.0345681570470333,18.52782249450684,0.0400993563234806,18.35794258117676,0.0853540822863578,18.657804489135746,0.0855780392885208,36,4,0.0428,
iDR4_3_SPLUS-s28s28_0016831,SPLUS-s28s28,45.0493315805059,-36.35633937650798,16.78415870666504,0.013313147239387,15.963146209716797,0.0156870782375335,15.537848472595217,0.0146368872374296,15.417678833007812,0.012135156430304,15.460593223571776,0.012072067707777,15.57691478729248,0.0050080721266567,15.554636001586914,0.0101659782230854,15.767760276794434,0.0047449530102312,15.899291038513184,0.0073401657864451,15.983278274536133,0.0059116063639521,16.13254165649414,0.0129781849682331,16.091371536254883,0.009637938812375,48,4,0.0917,
iDR4_3_SPLUS-s28s28_0016903,SPLUS-s28s28,45.0434738853653,-36.358419561942064,18.233945846557617,0.1049831584095954,18.264747619628903,0.2560818195343017,18.23746681213379,0.3589116930961609,17.874740600585938,0.2249109894037246,17.219863891601562,0.1189491301774978,17.004257202148438,0.0246248841285705,16.76182746887207,0.0573861636221408,16.32488250732422,0.0124990232288837,16.17548370361328,0.01622917316854,15.97445011138916,0.0129449674859642,15.830467224121094,0.0264131929725408,15.812341690063477,0.0209775660187006,48,2,0.0958,
iDR4_3_SPLUS-s28s28_0016750,SPLUS-s28s28,45.048500126681446,-36.35172736254847,18.26804542541504,0.0345001071691513,18.351045608520508,0.0800052806735038,18.522666931152344,0.1279833912849426,18.58964157104492,0.1198081150650978,18.019872665405277,0.0708135887980461,18.30921173095703,0.0256942696869373,18.0510368347168,0.0542397312819957,18.106557846069336,0.0195914003998041,18.004615783691406,0.0266226027160882,17.85190200805664,0.020902294665575,17.874982833862305,0.047329906374216,17.926427841186523,0.0394529700279235,48,3,0.0917,
iDR4_3_SPLUS-s28s28_0016141,SPLUS-s28s28,45.03831428511136,-36.38119938023438,18.696277618408203,0.162847638130188,19.80179023742676,1.0726141929626465,18.169273376464844,0.345287412405014,18.68717765808105,0.4891270101070404,18.025636672973636,0.2554257214069366,17.71222686767578,0.0469303205609321,17.63840675354004,0.1304215639829635,17.30192756652832,0.0298095643520355,17.231346130371094,0.0413427501916885,17.067964553833008,0.0351493582129478,16.929792404174805,0.0733321383595466,16.885540008544922,0.0572278387844562,48,1,0.0917,
iDR4_3_SPLUS-s31s31_0037130,SPLUS-s31s31,52.94665705852346,-39.63141423500292,18.80788230895996,0.3350269794464111,18.004371643066406,0.2509104013442993,18.45954704284668,0.5981840491294861,19.96689796447754,2.473242282867432,17.460010528564453,0.2382675260305404,17.59815788269043,0.1019034683704376,16.863737106323242,0.1093287616968154,16.8837890625,0.0204590465873479,16.80238914489746,0.0598406121134758,16.551912307739258,0.0216886177659034,16.37628746032715,0.0651381835341453,16.268444061279297,0.0555870234966278,54,2,0.10668,
iDR4_3_SPLUS-s31s31_0037491,SPLUS-s31s31,52.95795760635246,-39.63154634437316,23.523815155029297,11.920690536499023,19.75620460510254,0.5844792127609253,21.0018367767334,2.8744587898254395,22.94035148620605,17.612375259399414,19.768718719482425,0.9217348694801332,18.848167419433597,0.148382768034935,18.517335891723636,0.2310521602630615,18.306129455566406,0.0353777036070823,18.221660614013672,0.1005967929959297,17.966062545776367,0.0370635576546192,17.729331970214844,0.1045428067445755,17.711650848388672,0.096751183271408,54,3,0.10668,
iDR4_3_SPLUS-s31s31_0036459,SPLUS-s31s31,52.93922151312824,-39.61419840599757,19.485912322998047,0.3423347175121307,18.681596755981445,0.2575119435787201,19.190689086914062,0.6472657322883606,18.33194351196289,0.3056148886680603,18.57281875610352,0.3700682520866394,18.13484764099121,0.0931293815374374,18.188520431518555,0.2064182311296463,17.912418365478516,0.029620474204421,17.826438903808594,0.0842904224991798,17.52170181274414,0.0297245383262634,17.293498992919922,0.0865687802433967,17.474349975585938,0.0938728153705596,54,1,0.10668,
iDR4_3_SPLUS-s31s31_0036461,SPLUS-s31s31,52.97198911959929,-39.61398670676687,18.65120506286621,0.0891549587249755,18.87228012084961,0.1692038923501968,18.99866104125977,0.2949258387088775,18.47555160522461,0.1886424720287323,18.345932006835938,0.1626144051551818,18.25444793701172,0.0566823333501815,18.23086166381836,0.1166233271360397,18.457185745239254,0.0279674436897039,18.535524368286133,0.098057821393013,18.70503616333008,0.0476542077958583,18.74210929870605,0.1704146414995193,18.67441749572754,0.1508689075708389,54,4,0.10668,
iDR4_3_SPLUS-s32s32_0031006,SPLUS-s32s32,55.61949501379386,-41.16990873764891,18.783296585083008,0.0421924479305744,18.79652214050293,0.0757126808166503,18.616100311279297,0.1123486831784248,18.56694984436035,0.0929567366838455,18.789287567138672,0.1094513833522796,18.726999282836918,0.0298377536237239,18.713285446166992,0.0767554119229316,18.48675537109375,0.0231397505849599,18.545944213867188,0.0302472375333309,18.55677604675293,0.0354673527181148,18.58819007873535,0.0766567438840866,18.37052726745605,0.0555746108293533,60,3,0.004923,
iDR4_3_SPLUS-s32s32_0045080,SPLUS-s32s32,55.611002962789584,-41.155461325865225,19.663801193237305,0.2708509266376495,20.813552856445312,1.459306240081787,19.20755386352539,0.6110821962356567,19.513578414916992,0.6965986490249634,19.195283889770508,0.5055995583534241,18.90106773376465,0.0953759998083114,19.73199462890625,0.604943037033081,18.57286071777344,0.0681711733341217,18.54229736328125,0.0859560519456863,18.588979721069336,0.1147892773151397,18.467723846435547,0.2234161347150802,18.351863861083984,0.1813898533582687,60,1,0.004923,
iDR4_3_SPLUS-s32s32_0036824,SPLUS-s32s32,55.63246195173227,-41.14958236308743,19.006914138793945,0.1713726967573166,19.15481376647949,0.3790489137172699,17.952890396118164,0.2288068532943725,18.305551528930664,0.2714080214500427,18.59132194519043,0.3434610366821289,18.190696716308597,0.0589213147759437,17.976808547973633,0.1426295787096023,17.703630447387695,0.0366217531263828,17.72188949584961,0.048018679022789,17.563501358032227,0.0529543124139308,17.42159652709961,0.1011622548103332,17.645801544189453,0.1119833588600158,60,4,0.004923,
iDR4_3_SPLUS-s32s32_0042751,SPLUS-s32s32,55.611135624317285,-41.144709295937545,15.95059871673584,0.0248152147978544,15.392718315124512,0.0287743210792541,15.400260925292969,0.0520993620157241,15.11411952972412,0.0346836075186729,15.132590293884276,0.034413568675518,14.850708961486816,0.0069950274191796,14.724802017211914,0.0175883322954177,14.387299537658691,0.00453318702057,14.14091682434082,0.0046856473200023,14.15511703491211,0.0057255122810602,14.067317962646484,0.0113168386742472,14.02805233001709,0.009748145006597,60,2,0.004923,
iDR4_3_SPLUS-s29s35_0005101,SPLUS-s29s35,57.74164551351728,-38.09320297022623,17.79205322265625,0.0134643670171499,17.582080841064453,0.0196979641914367,17.54738426208496,0.030196376144886,17.587444305419922,0.0283446628600358,17.451093673706055,0.024959921836853,17.542299270629883,0.0095945289358496,17.42327308654785,0.0197082944214344,17.50830841064453,0.0086947157979011,17.5927677154541,0.0108581874519586,17.384475708007812,0.0098846731707453,17.455387115478516,0.0217080377042293,17.523929595947266,0.0186049826443195,62,4,0.582,
iDR4_3_SPLUS-s29s35_0005688,SPLUS-s29s35,57.72749185509859,-38.08456247595064,18.266508102416992,0.0549048744142055,17.89341926574707,0.0743832811713218,17.70695686340332,0.108494758605957,17.38735008239746,0.0728131234645843,17.1050968170166,0.0551138147711753,16.860363006591797,0.0134736504405736,16.633974075317383,0.0283395070582628,16.212602615356445,0.0076149892993271,16.088315963745117,0.0081849880516529,15.824923515319824,0.0075093018822371,15.687891006469728,0.0148143116384744,15.634126663208008,0.0116724343970417,62,1,0.582,
iDR4_3_SPLUS-s29s35_0006143,SPLUS-s29s35,57.73001941345671,-38.06113764132139,19.656909942626957,0.1167842447757721,19.278230667114254,0.1579593867063522,18.68013572692871,0.1565842777490615,19.375049591064453,0.2691085338592529,18.956172943115234,0.1782154291868209,19.00731658935547,0.0549455061554908,19.140356063842773,0.1636104136705398,18.811994552612305,0.0454959236085414,18.925811767578125,0.0603197701275348,18.6264762878418,0.0550173297524452,18.40776252746582,0.1032342538237571,18.65121078491211,0.1077838838100433,62,2,0.582,
