ID,CHI2NU,XC_R,e_XC_R,YC_R,e_YC_R,RE_R,e_RE_R,MAG_R,e_MAG_R,n_R,e_n_R,AR_R,e_AR_R,PA_R,e_PA_R,XC_J0378,e_XC_J0378,YC_J0378,e_YC_J0378,RE_J0378,e_RE_J0378,MAG_J0378,e_MAG_J0378,n_J0378,e_n_J0378,AR_J0378,e_AR_J0378,PA_J0378,e_PA_J0378,XC_J0395,e_XC_J0395,YC_J0395,e_YC_J0395,RE_J0395,e_RE_J0395,MAG_J0395,e_MAG_J0395,n_J0395,e_n_J0395,AR_J0395,e_AR_J0395,PA_J0395,e_PA_J0395,XC_J0410,e_XC_J0410,YC_J0410,e_YC_J0410,RE_J0410,e_RE_J0410,MAG_J0410,e_MAG_J0410,n_J0410,e_n_J0410,AR_J0410,e_AR_J0410,PA_J0410,e_PA_J0410,XC_J0430,e_XC_J0430,YC_J0430,e_YC_J0430,RE_J0430,e_RE_J0430,MAG_J0430,e_MAG_J0430,n_J0430,e_n_J0430,AR_J0430,e_AR_J0430,PA_J0430,e_PA_J0430,XC_J0515,e_XC_J0515,YC_J0515,e_YC_J0515,RE_J0515,e_RE_J0515,MAG_J0515,e_MAG_J0515,n_J0515,e_n_J0515,AR_J0515,e_AR_J0515,PA_J0515,e_PA_J0515,XC_J0660,e_XC_J0660,YC_J0660,e_YC_J0660,RE_J0660,e_RE_J0660,MAG_J0660,e_MAG_J0660,n_J0660,e_n_J0660,AR_J0660,e_AR_J0660,PA_J0660,e_PA_J0660,XC_J0861,e_XC_J0861,YC_J0861,e_YC_J0861,RE_J0861,e_RE_J0861,MAG_J0861,e_MAG_J0861,n_J0861,e_n_J0861,AR_J0861,e_AR_J0861,PA_J0861,e_PA_J0861,XC_G,e_XC_G,YC_G,e_YC_G,RE_G,e_RE_G,MAG_G,e_MAG_G,n_G,e_n_G,AR_G,e_AR_G,PA_G,e_PA_G,XC_I,e_XC_I,YC_I,e_YC_I,RE_I,e_RE_I,MAG_I,e_MAG_I,n_I,e_n_I,AR_I,e_AR_I,PA_I,e_PA_I,XC_Z,e_XC_Z,YC_Z,e_YC_Z,RE_Z,e_RE_Z,MAG_Z,e_MAG_Z,n_Z,e_n_Z,AR_Z,e_AR_Z,PA_Z,e_PA_Z,XC_U,e_XC_U,YC_U,e_YC_U,RE_U,e_RE_U,MAG_U,e_MAG_U,n_U,e_n_U,AR_U,e_AR_U,PA_U,e_PA_U
iDR4_3_SPLUS-s37s29_0002144,1.14583911342514,249.4311,0.0196,249.0833,0.0192,18.9189,0.0238,1.8185,0.0326,0.3499,0.0821,0.5819,0.0173,-45.7395,2.0110,249.4311,0.0196,249.0833,0.0192,19.5673,0.1105,1.7399,0.0698,0.5911,0.2177,0.5819,0.0173,-45.7395,2.0110,249.4311,0.0196,249.0833,0.0192,20.5546,0.5062,1.7453,0.0664,0.5746,0.2062,0.5819,0.0173,-45.7395,2.0110,249.4311,0.0196,249.0833,0.0192,18.9021,0.1013,1.7502,0.0634,0.5597,0.1959,0.5819,0.0173,-45.7395,2.0110,249.4311,0.0196,249.0833,0.0192,19.4125,0.1466,1.7564,0.0596,0.5405,0.1828,0.5819,0.0173,-45.7395,2.0110,249.4311,0.0196,249.0833,0.0192,19.0155,0.0708,1.7830,0.0449,0.4589,0.1303,0.5819,0.0173,-45.7395,2.0110,249.4311,0.0196,249.0833,0.0192,19.0176,0.0285,1.8298,0.0320,0.3153,0.0794,0.5819,0.0173,-45.7395,2.0110,249.4311,0.0196,249.0833,0.0192,18.9577,0.0632,1.8928,0.0564,0.1217,0.1698,0.5819,0.0173,-45.7395,2.0110,249.4311,0.0196,249.0833,0.0192,19.0435,0.0315,1.7709,0.0512,0.4960,0.1533,0.5819,0.0173,-45.7395,2.0110,249.4311,0.0196,249.0833,0.0192,18.7461,0.0283,1.8637,0.0411,0.2110,0.1148,0.5819,0.0173,-45.7395,2.0110,249.4311,0.0196,249.0833,0.0192,18.7659,0.1265,1.8998,0.0605,0.1004,0.1841,0.5819,0.0173,-45.7395,2.0110,249.4311,0.0196,249.0833,0.0192,19.7353,0.0723,1.7325,0.0745,0.6138,0.2336,0.5819,0.0173,-45.7395,2.0110
iDR4_3_SPLUS-s38s28_0031957,1.20763530774587,187.3518,0.0174,290.6594,0.0153,15.8909,0.0079,8.4677,0.0518,1.0754,0.0095,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,17.1998,0.0405,7.5554,0.0851,0.4600,0.0164,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,17.0587,0.0617,7.6177,0.0800,0.5021,0.0155,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,16.9082,0.0488,7.6742,0.0756,0.5402,0.0146,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,16.6245,0.0372,7.7468,0.0701,0.5891,0.0136,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,16.1489,0.0193,8.0551,0.0519,0.7972,0.0101,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,15.8639,0.0088,8.5982,0.0581,1.1635,0.0105,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,15.4947,0.0175,9.3305,0.1165,1.6574,0.0208,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,16.3631,0.0108,7.9151,0.0589,0.7027,0.0115,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,15.5579,0.0104,8.9928,0.0868,1.4296,0.0155,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,15.4659,0.0176,9.4112,0.1238,1.7118,0.0221,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,17.4866,0.0303,7.4696,0.0923,0.4022,0.0177,0.8581,0.0029,-54.6874,1.2365
iDR4_3_SPLUS-s38s28_0032565,1.20763530774587,253.0488,0.0171,280.2470,0.0172,17.7013,0.0196,2.7152,0.0401,1.6195,0.0672,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.2470,0.0172,18.7720,0.0757,1.8410,0.0604,1.0973,0.1637,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.2470,0.0172,18.6896,0.1169,1.9007,0.0568,1.1330,0.1548,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.2470,0.0172,18.4875,0.0909,1.9548,0.0537,1.1653,0.1469,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.2470,0.0172,18.3058,0.0745,2.0244,0.0498,1.2069,0.1369,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.2470,0.0172,17.8666,0.0414,2.3199,0.0378,1.3834,0.0978,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.2470,0.0172,17.6772,0.0218,2.8402,0.0452,1.6943,0.0682,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.2470,0.0172,17.2167,0.0410,3.5419,0.0886,2.1134,0.1442,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.2470,0.0172,18.0960,0.0259,2.1856,0.0422,1.3032,0.1147,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.2470,0.0172,17.3190,0.0258,3.2183,0.0668,1.9201,0.1005,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.2470,0.0172,17.3173,0.0445,3.6192,0.0940,2.1596,0.1555,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.2470,0.0172,19.1769,0.0622,1.7587,0.0656,1.0482,0.1760,0.9842,0.0146,32.8737,41.4128
iDR4_3_SPLUS-s38s28_0033177,1.20763530774587,308.8108,0.0397,176.8234,0.0437,16.9497,0.1270,30.3027,7.3483,7.1959,0.6614,0.7492,0.0262,10.4316,4.1047,308.8108,0.0397,176.8234,0.0437,19.4092,0.4006,9.4427,4.5338,5.5145,0.8802,0.7492,0.0262,10.4316,4.1047,308.8108,0.0397,176.8234,0.0437,18.8213,0.3945,10.8680,4.4436,5.6294,0.8582,0.7492,0.0262,10.4316,4.1047,308.8108,0.0397,176.8234,0.0437,18.4347,0.2979,12.1592,4.4049,5.7335,0.8390,0.7492,0.0262,10.4316,4.1047,308.8108,0.0397,176.8234,0.0437,18.5508,0.2959,13.8193,4.4171,5.8673,0.8152,0.7492,0.0262,10.4316,4.1047,308.8108,0.0397,176.8234,0.0437,17.7106,0.1633,20.8704,5.1800,6.4356,0.7288,0.7492,0.0262,10.4316,4.1047,308.8108,0.0397,176.8234,0.0437,16.7896,0.1283,33.2875,8.1691,7.4364,0.6543,0.7492,0.0262,10.4316,4.1047,308.8108,0.0397,176.8234,0.0437,16.2761,0.1405,50.0309,13.2322,8.7860,0.7454,0.7492,0.0262,10.4316,4.1047,308.8108,0.0397,176.8234,0.0437,18.0022,0.1500,17.6677,4.7042,6.1774,0.7649,0.7492,0.0262,10.4316,4.1047,308.8108,0.0397,176.8234,0.0437,16.5014,0.1315,42.3090,10.8321,8.1636,0.6773,0.7492,0.0262,10.4316,4.1047,308.8108,0.0397,176.8234,0.0437,16.2251,0.1409,51.8754,13.8152,8.9347,0.7670,0.7492,0.0262,10.4316,4.1047,308.8108,0.0397,176.8234,0.0437,19.3475,0.4040,7.4808,4.7342,5.3564,0.9115,0.7492,0.0262,10.4316,4.1047
