"ID","Field","RA","DEC","X","Y","ELONGATION","ELLIPTICITY","THETA","A","B","FLUX_RADIUS_50","FLUX_RADIUS_90","u_auto","e_u_auto","SEX_FLAGS_u","J0378_auto","e_J0378_auto","SEX_FLAGS_J0378","J0395_auto","e_J0395_auto","SEX_FLAGS_J0395","J0410_auto","e_J0410_auto","SEX_FLAGS_J0410","J0430_auto","e_J0430_auto","SEX_FLAGS_J0430","g_auto","e_g_auto","SEX_FLAGS_g","J0515_auto","e_J0515_auto","SEX_FLAGS_J0515","r_auto","e_r_auto","SEX_FLAGS_r","J0660_auto","e_J0660_auto","SEX_FLAGS_J0660","i_auto","e_i_auto","SEX_FLAGS_i","J0861_auto","e_J0861_auto","SEX_FLAGS_J0861","z_auto","e_z_auto","SEX_FLAGS_z","zml","odds","Groups","Ra_2","Dec_2"
"iDR4_3_STRIPE82-0073_0020881","STRIPE82-0073",51.5848721490255,-0.683405266479036,1827.007,5608.905,1.5469651,0.35357302,-30.964617,0.00092363835,0.00059709104,4.6743116,13.110808,18.94784,0.0995084,2,18.682472,0.12229975,2,18.438633,0.14693661,2,18.188303,0.10484078,2,17.676428,0.06226564,2,17.216736,0.0142535325,2,16.890375,0.026033035,2,16.326672,0.00799552,2,16.170486,0.008159114,2,15.877439,0.007955764,2,15.623274,0.015200629,2,15.587271,0.011643617,2,0.048333332,0.95821536,215,51.584885,-0.683421
"iDR4_3_STRIPE82-0073_0021318","STRIPE82-0073",51.5870403969253,-0.665449499938625,1812.8003,5726.4375,1.484079,0.3261814,27.217522,0.000828501,0.00055826444,4.2790236,10.738101,19.459745,0.13801387,3,18.744669,0.11247788,3,18.866087,0.18874106,3,18.21514,0.093361124,3,17.88014,0.06523235,3,17.294294,0.01353002,3,16.938076,0.023943048,3,16.34233,0.0072336616,3,16.198112,0.0074591944,3,15.858499,0.006918556,3,15.602657,0.013070379,3,15.526716,0.009636027,3,0.0415,0.8593603,215,51.587193,-0.665383
"iDR4_3_STRIPE82-0073_0021671","STRIPE82-0073",51.5828965098768,-0.664200918081249,1839.9237,5734.614,1.5647849,0.3609345,75.067764,0.0013781086,0.000880691,9.737803,20.339184,18.349709,0.11779553,3,18.177933,0.1577188,3,18.14908,0.23098968,3,17.94851,0.17161934,3,17.924793,0.15782891,3,17.453527,0.034252066,3,17.18872,0.06705374,3,17.057878,0.029587742,3,16.9113,0.029990658,3,16.828335,0.03712715,3,16.477047,0.06634783,3,16.578236,0.05814315,3,0.03875,0.9646312,215,51.582996,-0.664008
"iDR4_3_STRIPE82-0073_0022283","STRIPE82-0073",51.580648720269,-0.63133011076692,1854.6113,5949.7803,1.7442904,0.42670095,-78.358795,0.0007155672,0.0004102029,4.0123334,9.810335,19.997429,0.19897324,0,19.519003,0.19897196,0,19.22372,0.22844598,0,19.12334,0.18585446,0,18.476582,0.097055726,0,18.128536,0.024367407,0,17.890726,0.0483407,0,17.271133,0.013996174,0,17.122984,0.014214913,0,16.825935,0.014089577,0,16.597801,0.027703544,0,16.602598,0.0221032,0,0.042916667,0.9159227,215,51.58065,-0.631328
"iDR4_3_STRIPE82-0073_0022256","STRIPE82-0073",51.5967888049391,-0.647660594214002,1748.9763,5842.8726,1.2162138,0.17777616,82.151566,0.0011829193,0.00097258645,6.1508775,17.572588,17.867947,0.053032152,2,17.493803,0.057250056,2,17.711239,0.1039235,2,17.214325,0.059278388,2,16.724306,0.0357876,2,16.199905,0.007881515,2,15.850243,0.0140224965,2,15.265952,0.004294895,2,15.118983,0.004410668,2,14.771628,0.0040595206,2,14.494598,0.007508585,2,14.418852,0.0055351877,2,0.033916667,0.96074957,215,51.596825,-0.647649
