RA Dec
0.09554166666666665 -22.58711111111111
0.34475 13.108916666666666
2.8417916666666665 -53.955444444444446
3.3276666666666666 -41.579638888888894
3.537583333333333 -22.56413888888889
4.443124999999999 -69.14861111111112
4.619958333333332 -42.12755555555555
4.6624583333333325 -35.95266666666667
5.372249999999999 38.08530555555556
5.669999999999998 -20.577166666666667
7.809291666666667 -25.495444444444445
8.623708333333331 39.587361111111115
9.283 -63.440638888888884
9.425541666666666 -9.05663888888889
9.481541666666665 -25.071555555555555
12.008208333333332 -63.15288888888889
12.240666666666666 -45.77019444444444
12.294916666666664 -18.295194444444448
12.861749999999997 -23.21563888888889
13.045166666666665 -1.117138888888889
13.227958333333332 -13.284666666666666
14.40545833333333 -35.757194444444444
15.571458333333332 -17.20138888888889
16.088916666666663 -51.01983333333333
16.167333333333332 -2.1336944444444446
16.825166666666664 -32.83475
18.18033333333333 14.377611111111111
20.266541666666665 -32.05294444444444
20.413208333333333 -38.07855555555556
21.16070833333333 -8.18725
23.133541666666662 -54.63436111111111
23.427541666666666 -69.32138888888889
23.912333333333333 -2.0943333333333336
24.62470833333333 -40.013083333333334
25.568916666666663 -54.43241666666666
26.900666666666663 -30.25825
27.049416666666666 -15.120750000000001
27.186791666666664 13.707583333333332
29.668124999999996 -33.75738888888889
30.96266666666666 -31.151666666666664
33.67916666666667 -41.64208333333333
35.61425 -18.602944444444447
36.22029166666666 -27.279888888888888
37.02579166666666 -61.05819444444444
40.45891666666667 -20.810361111111114
41.469375 -5.576527777777778
43.45091666666666 -41.969722222222224
45.04483333333333 -36.36186111111111
46.55779166666667 -42.66788888888889
47.150375 -47.27441666666667
47.54816666666666 -35.01594444444444
50.09766666666666 -40.19316666666666
51.63520833333333 -42.82991666666667
52.95416666666666 -39.62277777777778
53.26412499999999 -47.663583333333335
53.44062499999999 -30.31488888888889
53.806416666666664 -33.47647222222223
54.538166666666655 -47.39761111111111
55.135458333333325 -48.63055555555555
55.61820833333333 -41.154916666666665
56.427583333333324 -12.283888888888889
57.732375 -38.070083333333336
60.32270833333332 -65.00791666666667
64.178375 0.272
67.54499999999999 6.940777777777778
70.53970833333334 -23.244777777777777
71.09745833333332 -21.875694444444445
73.36316666666664 -36.25338888888889
76.125 -18.686194444444446
79.12395833333332 -48.55497222222222
83.37816666666666 -27.673944444444444
97.20958333333331 -69.69472222222223
123.21941666666663 47.42675
128.680125 15.784555555555555
129.71895833333332 1.4
134.31379166666665 39.260666666666665
137.16854166666664 30.887305555555557
139.939 55.57961111111111
143.03725 15.99772222222222
145.44387499999996 37.11263888888889
146.13887499999998 28.539166666666667
151.71295833333332 53.437916666666666
152.03391666666664 42.946416666666664
152.654375 64.21383333333334
153.2542083333333 17.04136111111111
154.61591666666666 49.85030555555556
155.62604166666665 36.585750000000004
155.94429166666666 33.41338888888889
157.026625 31.215999999999998
160.1052083333333 24.229555555555553
161.07941666666665 2.797333333333333
161.58858333333333 43.024
161.79749999999999 -2.3365833333333335
163.00666666666663 45.599611111111116
164.8655833333333 4.4446111111111115
165.28945833333333 16.745194444444447
167.52374999999995 -1.01125
168.00099999999998 29.41702777777778
168.43362499999998 39.33591666666667
169.51516666666666 30.534972222222223
169.92041666666663 -6.509
170.5192083333333 42.80347222222222
170.68066666666667 46.87441666666667
171.96391666666662 -0.46911111111111115
172.9442083333333 15.405611111111112
173.856125 54.96338888888889
174.16654166666663 21.69472222222222
174.25712499999997 12.455583333333333
174.72916666666663 3.585805555555556
178.36216666666664 58.12452777777778
178.47116666666665 51.037
179.06974999999997 25.373833333333334
179.18849999999998 22.500916666666665
182.5339583333333 44.66430555555555
183.445125 42.767472222222224
183.78691666666666 41.27375
184.43745833333332 20.743750000000002
184.93149999999997 65.10463888888889
186.97391666666664 36.36102777777778
187.31441666666663 38.942361111111104
188.41270833333334 19.865722222222225
190.3262083333333 18.306722222222223
190.362375 52.80483333333333
191.2678333333333 35.6455
191.29787499999998 23.03563888888889
195.73279166666666 5.522888888888889
196.26504166666666 40.761361111111114
196.74462499999996 40.026833333333336
197.192875 28.88497222222222
197.47504166666664 30.42402777777778
198.01491666666664 59.83047222222223
198.27262499999998 12.689111111111112
198.45162499999998 6.97325
198.57387499999996 17.225944444444444
198.67674999999997 21.804055555555557
199.72224999999997 33.54538888888889
200.20549999999997 34.19747222222222
202.0185833333333 31.939583333333335
202.49012499999998 9.422166666666666
203.32774999999998 11.095944444444445
203.68974999999998 33.89347222222222
203.87541666666664 80.51780555555555
204.87554166666663 4.510888888888889
206.37749999999997 18.223138888888887
206.85124999999996 -30.425944444444447
206.8652083333333 32.5175
207.34104166666663 21.68813888888889
208.8416666666666 6.558222222222222
210.45304166666665 -3.1814444444444443
210.57924999999997 54.49008333333333
210.98095833333332 26.373305555555557
211.1970833333333 24.183222222222224
211.68954166666666 47.28008333333333
212.85225 -29.649472222222222
213.2272083333333 23.331416666666666
215.156625 26.858194444444447
215.50554166666666 28.866500000000002
216.54591666666664 29.720444444444443
219.23741666666663 12.161305555555556
219.70879166666666 9.0435
220.76808333333332 61.31330555555555
222.70920833333332 21.748361111111112
224.68062499999996 53.87419444444444
226.27233333333334 8.724805555555555
226.88391666666666 28.834083333333332
227.270875 61.94247222222222
227.77112499999998 39.47652777777778
228.1649583333333 26.573027777777778
228.57841666666664 46.11227777777778
230.173375 30.466805555555553
230.94637499999996 2.6689166666666666
232.78529166666667 3.830111111111111
235.7978333333333 53.226444444444446
236.4512083333333 44.259027777777774
237.7314583333333 34.09655555555556
238.37658333333331 20.967166666666664
238.6680833333333 30.12477777777778
241.16691666666662 26.623722222222224
244.19362499999994 56.348111111111116
244.44408333333334 41.892805555555555
245.8170833333333 15.804166666666667
249.9190416666666 39.52786111111111
261.6569583333333 32.22386111111111
303.7435 -66.28547222222223
312.4865 -48.905027777777775
314.48474999999996 -24.964416666666665
314.67074999999994 -48.55738888888889
314.86375 -60.663222222222224
319.35249999999996 -35.916555555555554
319.51275 -50.75219444444444
322.31275 -31.028499999999998
326.16949999999997 -20.070888888888888
327.7032499999999 -61.741166666666665
330.18974999999995 -42.82105555555556
330.62375 -22.894333333333332
332.13199999999995 -57.28883333333333
332.2606666666666 17.831333333333333
334.5145 -25.68588888888889
334.67124999999993 -24.179194444444445
335.20649999999995 -69.77666666666667
335.6039999999999 -61.283722222222224
336.3725 -27.70336111111111
336.50649999999996 -11.127055555555556
338.08475 -25.439166666666665
338.29575 -60.922666666666665
339.9579999999999 -47.49052777777778
340.13449999999995 -38.36875
340.79824999999994 -34.631972222222224
343.21349999999995 -24.96858333333333
343.5444999999999 -18.15711111111111
343.97124999999994 -55.60861111111111
