ra,dec,index,Radii
176.11553385,11.77121117,1116,5
246.06125536,10.99687373,1118,5
24.24957575,-9.07220353,1128,5
207.56523608,0.1860316,1142,5
196.95483924,4.14949939,1145,5
1.42086538,-9.33727422,1150,5
0.5753516,13.77824846,1153,5
144.71850985,14.33224915,1156,5
38.74237398,-8.87705281,1180,5
351.62915924,-9.07596108,1195,5
190.19735791,25.02512486,1197,5
200.04912396,4.31897401,1209,5
162.41952911,31.8656228,1217,5
245.67632791,26.72092049,1225,5
227.34316569,5.21080356,1242,5
191.75914051,25.28410007,1244,5
35.38562966,-0.30784596,1254,5
127.28576495,25.01099725,1278,5
169.97197623,8.5719312,1285,5
155.29565098,6.62119793,1289,5
169.65090783,19.80730823,1293,5
226.96825578,17.2739293,1304,5
153.80960588,8.48559709,1308,5
171.63724852,21.58414253,1315,5
141.81778855,15.74613296,1322,5
236.34204073,11.55570082,1325,5
148.18945606,15.6815378,1332,5
211.36898519,12.47257985,1333,5
206.35194089,8.0529699,1345,5
157.85528577,20.15610421,1349,5
220.78200884,6.261426,1350,5
132.22816289,30.21999849,1365,5
182.90977591,3.9347936,1374,5
237.7342041,28.26217462,1377,5
131.84778006,21.35132432,1384,5
223.45226753,31.73953592,1391,5
245.78587013,10.76551044,1392,5
246.44943244,25.25188667,1405,5
11.93422518,0.72396451,1409,5
164.18736348,10.9154685,1412,5
210.1940648,2.79532503,1413,5
144.74333148,23.86976145,1415,5
170.1646661,21.39296961,1417,5
0.47517962,-11.03151306,1420,5
221.30591675,17.93589108,1422,5
219.19638807,25.25292017,1441,5
234.47131566,1.16349646,1444,5
124.07589144,30.92813004,1446,5
46.24030346,-6.41286551,1448,5
218.1780655,1.69023265,1456,5
181.0423882,30.77836806,1460,5
210.54024404,17.57655333,1462,5
204.72592899,-1.82548453,1470,5
184.2370187,26.65468869,1476,5
221.02663254,29.10171877,1480,5
185.98798244,29.05079855,1483,5
13.59979743,-9.22466808,1484,5
135.46505083,2.23933661,1495,5
175.49902699,6.45064429,1497,5
242.56405898,27.304798,1517,5
135.59405503,1.28239844,1519,5
161.15662523,19.57794853,1521,5
219.36080119,24.14940035,1523,5
172.67276455,10.87293216,1527,5
179.71887444,30.25002297,1531,5
354.978807,0.02865354,1542,5
148.03271456,14.87412448,1547,5
217.80846682,5.26363112,1550,5
225.65758926,22.37448746,1564,5
162.45905732,15.38307321,1567,5
218.37181185,2.0169945,1569,5
155.92158806,10.62312675,1579,5
214.05117419,3.89488546,1584,5
175.34220828,31.05879391,1628,5
153.32783249,21.52861729,1632,5
223.80952923,16.80892212,1644,5
12.18323533,-9.69329064,1653,5
201.47356465,24.86152071,1661,5
329.3097719,-7.6953284,1665,5
3.59361431,-10.92880674,1680,5
14.45031148,15.05232294,1682,5
224.39064461,29.63727207,1686,5
