ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds
iDR4_3_SPLUS-s25s14_0021116,SPLUS-s25s14,20.325303317100577,-32.12959432407072,7621.61279296875,6135.8125,1.7040027379989624,0.4131464958190918,-70.33922576904297,0.00011481953697511926,6.745767313987017e-05,1.0542703866958618,1.4410400390625,99.0,99.0,0,99.0,99.0,0,24.42193603515625,2.626476764678955,0,99.0,99.0,0,99.0,99.0,0,23.803621292114258,0.42771443724632263,0,99.0,99.0,0,23.400827407836914,0.34358495473861694,0,24.554363250732422,1.1696851253509521,0,24.2622127532959,1.210584282875061,0,99.0,99.0,0,22.410680770874023,0.4565656781196594,0,0.3889999985694885,0.07138370722532272
iDR4_3_SPLUS-s25s14_0021141,SPLUS-s25s14,20.327449010540448,-32.12851506098904,7609.744140625,6142.9189453125,1.3188908100128174,0.24178707599639893,-15.575776100158691,0.00020538564422167838,0.00015565843204967678,1.8942865133285522,5.544521808624268,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,21.1163330078125,0.5700655579566956,0,99.0,99.0,0,24.033397674560547,2.6656367778778076,0,22.004207611083984,0.9850166440010071,0,21.58673667907715,0.32712239027023315,0,21.740585327148438,0.4485132694244385,0,21.09640884399414,0.33904555439949036,0,20.656028747558594,0.5734144449234009,0,20.54116439819336,0.4186961054801941,0,0.7661666870117188,0.14480049908161163
iDR4_3_SPLUS-s25s14_0021143,SPLUS-s25s14,20.32248154878782,-32.131785851239655,7637.203125,6121.412109375,1.496065616607666,0.33158010244369507,-45.756622314453125,0.0004815241845790297,0.0003218777710571885,4.4280195236206055,9.607426643371582,21.43208885192871,0.523405134677887,0,21.203874588012695,0.7952044010162354,0,19.355459213256836,0.23307350277900696,0,99.0,99.0,0,20.29537582397461,0.4660339057445526,0,20.593669891357422,0.20705123245716095,0,20.84185791015625,0.6207452416419983,0,19.941383361816406,0.13224169611930847,0,19.78206443786621,0.13621264696121216,0,19.78954315185547,0.18716458976268768,0,19.566560745239258,0.3861972689628601,0,19.54560661315918,0.3073234558105469,0,0.31158334016799927,0.243996262550354
iDR4_3_SPLUS-s25s14_0021306,SPLUS-s25s14,20.331316743647402,-32.12757607356558,7588.32568359375,6149.140625,1.3832483291625977,0.2770640254020691,-77.09883880615234,0.0005440569948405027,0.00039350520819425583,6.405032157897949,16.370399475097656,20.81097412109375,0.4449484944343567,3,20.7485294342041,0.7686731815338135,3,20.426761627197266,0.9420941472053528,3,19.68255615234375,0.4216499328613281,3,19.135601043701172,0.24195507168769836,3,20.00693130493164,0.18196165561676025,3,19.716094970703125,0.3335108458995819,3,19.56856918334961,0.14174239337444305,3,19.29548454284668,0.13106726109981537,3,18.889009475708008,0.1235339418053627,3,18.194843292236328,0.1652112454175949,3,19.501163482666016,0.44634392857551575,3,0.05791666731238365,0.4608214199542999
iDR4_3_SPLUS-s25s14_0021341,SPLUS-s25s14,20.344536329384738,-32.12118620177438,7515.1875,6191.21728515625,1.4693691730499268,0.31943583488464355,-4.293368816375732,0.0002099626581184566,0.00014286619261838496,2.5646297931671143,6.543353080749512,99.0,99.0,0,21.424041748046875,0.6418561935424805,0,24.219362258911133,13.86145305633545,0,21.33138084411621,0.8567076921463013,0,99.0,99.0,0,23.399288177490234,1.8291958570480347,0,21.226234436035156,0.593695878982544,0,21.3386173248291,0.32051709294319153,0,22.744421005249023,1.476478934288025,0,21.28291893005371,0.4943310022354126,0,19.733692169189453,0.30238375067710876,0,22.74979019165039,3.935681104660034,0,0.7455000281333923,0.1320272535085678
iDR4_3_SPLUS-s25s14_0021458,SPLUS-s25s14,20.318729737423965,-32.11983801777338,7658.28271484375,6199.54248046875,1.2256340980529785,0.18409579992294312,29.420574188232422,0.0003568372339941561,0.00029124272987246513,2.170830726623535,5.545246124267578,20.640729904174805,0.15835535526275635,0,20.309083938598633,0.21399334073066711,0,20.635961532592773,0.4692729115486145,0,19.45816993713379,0.14286284148693085,0,20.092592239379883,0.24117045104503632,0,19.33321189880371,0.04200351610779762,0,19.343839645385742,0.09893611818552017,0,18.743995666503906,0.02863304503262043,0,18.79022216796875,0.0354410856962204,0,18.52758026123047,0.036997612565755844,0,18.499481201171875,0.08962370455265045,0,18.475330352783203,0.07095380127429962,0,0.12433333694934845,0.1766655445098877
iDR4_3_SPLUS-s25s14_0021465,SPLUS-s25s14,20.33075467569088,-32.1233608056545,7591.53857421875,6176.72119140625,1.0624042749404907,0.05873870849609375,8.341712951660156,0.00039822986582294106,0.0003748647286556661,2.019242286682129,5.078121185302734,21.864788055419922,0.4945041835308075,0,20.857175827026367,0.3596605360507965,0,19.827665328979492,0.23036731779575348,0,19.905181884765625,0.2206612527370453,0,19.544387817382812,0.15054821968078613,0,18.249080657958984,0.0175657756626606,0,18.078977584838867,0.03441143408417702,0,16.991031646728516,0.007244192995131016,0,16.586448669433594,0.006448975298553705,0,15.855076789855957,0.0042742458172142506,0,15.488405227661133,0.007009757217019796,0,15.36408519744873,0.004922654014080763,0,0.5588333606719971,0.54173344373703
iDR4_3_SPLUS-s25s14_0021477,SPLUS-s25s14,20.327007937767057,-32.11635055663257,7612.47119140625,6222.53369140625,1.0173954963684082,0.01709800958633423,-44.07231521606445,7.689079211559147e-05,7.557676144642755e-05,0.9947090744972229,1.838289737701416,24.378250122070312,1.0889360904693604,0,99.0,99.0,0,99.0,99.0,0,22.91383171081543,0.7665367722511292,0,99.0,99.0,0,24.736135482788086,1.3019379377365112,0,22.707685470581055,0.488290935754776,0,23.37683868408203,0.43690821528434753,0,24.101938247680664,1.0028890371322632,0,22.84697151184082,0.4343551695346832,0,99.0,99.0,0,21.804018020629883,0.3417106568813324,0,0.6474999785423279,0.12012773007154465
iDR4_3_SPLUS-s25s14_0021492,SPLUS-s25s14,20.32024026577019,-32.11574543995268,7650.00537109375,6226.36083984375,1.5371493101119995,0.349445104598999,10.145021438598633,0.00024094451509881765,0.0001568398583913222,2.456753730773926,5.299422264099121,22.91373634338379,1.2461531162261963,0,23.14981460571289,2.8297319412231445,0,20.93153953552246,0.6062540411949158,0,20.87542152404785,0.5115991234779358,0,21.330219268798828,0.7345142364501953,0,21.92918586730957,0.4277873635292053,0,99.0,99.0,0,99.0,99.0,0,22.40440559387207,0.9166107773780823,0,21.37059211730957,0.4864848256111145,0,22.10460662841797,2.4197611808776855,0,20.209007263183594,0.3430832326412201,0,0.7082499861717224,0.12543563544750214
iDR4_3_SPLUS-s25s14_0021519,SPLUS-s25s14,20.315920416344838,-32.11471789224287,7673.97900390625,6233.0,1.940461277961731,0.4846585988998413,6.998012065887451,0.00018665340030565858,9.626529208617285e-05,2.343677282333374,4.687225818634033,25.681127548217773,13.918534278869629,2,99.0,99.0,2,22.75650978088379,2.8336873054504395,2,99.0,99.0,2,20.825328826904297,0.404813289642334,2,24.44578742980957,3.797114610671997,2,99.0,99.0,2,21.468538284301758,0.2863691747188568,2,22.86250877380371,1.2264658212661743,2,23.84666633605957,4.154526233673096,2,99.0,99.0,2,99.0,99.0,2,0.4033333361148834,0.07511953264474869
