col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
1237654601032990976,6381963665506042101,4771,55925,609,164.85957,4.430551,0.062,0.16,10.675,0.031,0.409,0.073,1.324,0.228,0.401,0.1,0.302,0.089,0,1,3,2,0,164.8595417,4.4300833,95,1,10 59 26.29,+04 25 48.3,0.0,,18.581,18.1134,Simbad,1.6867811469630374
1237654601032990987,6381963665503945008,580,52368,188,164.8642,4.444928,0.0622,0.84,9.871,0.053,-0.051,0.07,1.39,0.309,0.475,0.103,0.362,0.093,0,1,3,2,1,164.864,4.4453889,95,2,10 59 27.36,+04 26 43.4,0.062221,,19.2227,18.9417,Simbad,1.8078615401340816
1237654610141970507,6374328702933665724,599,52317,588,184.93323,65.101459,0.0819,0.11,10.01,0.061,0.354,0.048,1.609,0.186,0.264,0.064,0.166,0.048,0,1,3,2,1,184.9332083,65.1018333,118,3,12 19 43.97,+65 06 06.6,0.081962,,19.7028,19.4536,Simbad,1.3478813209008251
1237654610141970511,6374328702933665782,600,52317,359,184.96803,65.102445,0.0646,1.26,9.784,0.069,0.119,0.065,1.024,0.183,0.281,0.092,0.201,0.076,0,1,3,2,1,184.9687917,65.1022222,118,4,12 19 52.51,+65 06 08.0,0.064587,,19.3906,18.8135,Simbad,1.405716762222457
1237654610141970503,6374328702933665546,600,52317,358,184.90545,65.091189,0.0968,0.18,10.327,0.041,0.179,0.082,1.25,0.243,0.263,0.095,0.182,0.077,0,1,3,1,1,184.9050833,65.0914167,118,1,12 19 37.22,+65 05 29.1,0.09687,,20.1049,19.5411,Simbad,0.9904929977520486
1237654641284087937,6374469427537119163,607,52368,609,220.77212,61.310711,0.0479,6.0,10.711,0.032,0.814,0.06,1.524,0.148,0.402,0.089,0.283,0.074,0,1,3,7,1,220.7724167,61.3106111,161,3,14 43 05.38,+61 18 38.2,0.047961,,17.5132,17.1291,Simbad,0.6263112502505279
1237654641284087938,6374469427537119247,609,52339,287,220.78418,61.32068,0.0496,1.82,10.436,0.055,0.767,0.114,3.354,0.287,1.253,0.149,0.947,0.129,0,1,3,7,1,220.7840833,61.32075,161,4,14 43 08.18,+61 19 14.7,0.049216,,19.4616,18.6633,Simbad,0.3023486602947594
1237654641284088038,6374469427537119210,609,52339,290,220.75464,61.304956,0.0494,0.8,9.894,0.055,0.108,0.075,2.009,0.252,0.848,0.126,0.669,0.118,0,1,3,2,1,220.7552917,61.3047778,161,1,14 43 01.27,+61 18 17.2,0.049414,,19.9069,19.6595,Simbad,1.2963491793601025
1237654950519898304,6371725048661674746,611,52055,606,227.30613,61.936661,0.1074,0.34,10.733,0.036,0.462,0.094,1.493,0.277,0.559,0.114,0.438,0.099,0,1,3,2,1,227.3061667,61.9366389,166,4,15 09 13.48,+61 56 11.9,0.107445,,19.8586,19.6141,Simbad,0.10096089879767739
1237654950519898293,6371725048661674752,611,52055,603,227.27303,61.933632,0.1079,0.22,10.292,0.053,0.481,0.067,0.997,0.168,0.394,0.111,0.308,0.099,0,1,3,2,1,227.2729583,61.9335833,166,3,15 09 05.51,+61 56 00.9,0.107855,,19.5449,19.2855,Simbad,0.21327388394917227
