ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_petro,e_u_petro,SEX_FLAGS_u,J0378_petro,e_J0378_petro,SEX_FLAGS_J0378,J0395_petro,e_J0395_petro,SEX_FLAGS_J0395,J0410_petro,e_J0410_petro,SEX_FLAGS_J0410,J0430_petro,e_J0430_petro,SEX_FLAGS_J0430,g_petro,e_g_petro,SEX_FLAGS_g,J0515_petro,e_J0515_petro,SEX_FLAGS_J0515,r_petro,e_r_petro,SEX_FLAGS_r,J0660_petro,e_J0660_petro,SEX_FLAGS_J0660,i_petro,e_i_petro,SEX_FLAGS_i,J0861_petro,e_J0861_petro,SEX_FLAGS_J0861,z_petro,e_z_petro,SEX_FLAGS_z,zml,odds
"iDR4_3_SPLUS-s24s18_0047415","SPLUS-s24s18",26.93392102627212,-30.27314503540617,4318.806,9617.903,1.643332,0.39148027,-58.741306,1.6062373E-4,9.769858E-5,3.3833036,4.506114,22.920149,0.6538364,0,22.939047,1.1930175,0,24.387112,7.645653,0,24.282845,6.442075,0,22.961767,1.810037,0,23.336494,0.76455563,0,24.741268,7.215247,0,22.731339,0.47704062,0,23.01378,0.6974589,0,22.055553,0.3697542,0,21.155071,0.34986275,0,21.169453,0.2946933,0,0.70741665,0.1823333
"iDR4_3_SPLUS-s24s18_0047444","SPLUS-s24s18",26.91640453151192,-30.274426690707838,4417.8457,9609.6875,1.4591318,0.31466097,30.930536,1.3376183E-4,9.164576E-5,1.6620612,3.2919757,25.10462,4.0911384,0,24.496027,4.2246823,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,24.68084,2.2174811,0,22.342686,0.7051537,0,23.119183,0.5751495,0,22.982187,0.57009554,0,22.345167,0.40588608,0,21.851196,0.5553169,0,21.614002,0.37072697,0,0.8150833,0.16194399
"iDR4_3_SPLUS-s24s18_0047454","SPLUS-s24s18",26.94532684061726,-30.273115445118783,4254.326,9617.976,1.272253,0.21399283,-12.16583,1.7885721E-4,1.4059986E-4,1.9684559,5.517515,99.0,99.0,0,22.086252,0.9407091,0,22.984459,3.637327,0,99.0,99.0,0,21.697649,0.9922335,0,22.321074,0.52501434,0,21.248335,0.5070729,0,21.933832,0.4010836,0,21.967033,0.4656048,0,21.014894,0.24800415,0,20.05928,0.22250374,0,20.83162,0.37559587,0,0.80325,0.23178367
"iDR4_3_SPLUS-s24s18_0047466","SPLUS-s24s18",26.920472723234177,-30.274319309444216,4394.8467,9610.352,1.832004,0.45414966,-57.551548,1.6085067E-4,8.775463E-5,1.4004929,2.3340724,23.863712,1.4328609,0,99.0,99.0,0,24.223377,6.1109376,0,23.000559,1.8371288,0,22.807838,1.4716142,0,99.0,99.0,0,99.0,99.0,0,22.420126,0.33200297,0,22.574015,0.42999226,0,22.222813,0.39769816,0,21.753883,0.5579589,0,21.458115,0.35321623,0,0.78583336,0.15478124
"iDR4_3_SPLUS-s24s18_0047481","SPLUS-s24s18",26.92188219946585,-30.271603238156985,4386.847,9628.118,1.2278163,0.18554598,-54.353733,1.5170779E-4,1.2354346E-4,1.4709514,2.7522213,24.3043,2.8662324,0,21.593475,0.42802635,0,23.373035,3.6383824,0,22.393332,1.3831884,0,22.426943,1.3616724,0,22.250542,0.34459078,0,22.134657,0.79923844,0,22.780909,0.6048924,0,22.37872,0.47091353,0,21.68315,0.31829795,0,22.096378,1.0010622,0,21.955997,0.7320678,0,0.79775,0.1740263
"iDR4_3_SPLUS-s24s18_0047490","SPLUS-s24s18",26.933052080053024,-30.26943429896835,4323.6733,9642.204,1.1417067,0.12411833,-14.807165,1.12808746E-4,9.881112E-5,1.6085786,3.5349405,22.664797,0.5555941,0,30.207468,910.6421,0,23.213861,2.4498618,0,99.0,99.0,0,22.783785,1.4808655,0,22.450369,0.32559162,0,22.400156,0.7958013,0,23.036009,0.60478693,0,22.24832,0.33227697,0,23.105722,0.92408675,0,99.0,99.0,0,22.542904,0.99110264,0,0.644,0.12904257
"iDR4_3_SPLUS-s24s18_0047515","SPLUS-s24s18",26.918878275750867,-30.27557234288099,4403.8745,9602.164,1.61199,0.37964875,-40.294003,2.0304248E-4,1.2597143E-4,1.6668513,3.0536711,23.130762,1.5371954,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,23.358963,1.5136256,0,99.0,99.0,0,24.055853,3.1270661,0,22.111822,0.5884658,0,21.643122,0.48857862,0,20.15812,0.2695674,0,20.131363,0.21876617,0,0.82016665,0.2842593
"iDR4_3_SPLUS-s23s18_0000133","SPLUS-s23s18",26.925675704876753,-30.28050239280066,2411.9106,879.55646,1.9988928,0.49972302,-18.155989,1.8204124E-4,9.1270755E-5,1.9323732,2.8145843,22.86696,114.28806,1,23.044031,102.118744,1,25.373993,3501.6821,1,21.554379,84.3843,1,22.004004,109.388565,1,24.629335,451.45914,1,21.680023,103.029076,1,22.325785,28.109013,1,21.149729,0.19492497,1,20.981228,10.353691,1,20.219742,0.26481375,1,19.976358,0.1656698,1,0.6875833,0.12347561
"iDR4_3_SPLUS-s23s18_0000176","SPLUS-s23s18",26.932716979318258,-30.27936721733014,2372.0696,886.79535,1.2776974,0.21734208,-76.166954,2.3031991E-4,1.8018729E-4,2.157638,5.2528625,99.0,99.0,0,22.112886,52.004784,0,99.0,99.0,1,21.563175,60.106125,1,22.4517,81.97551,1,21.988482,14.612501,0,20.586128,14.993779,0,21.836239,4.0176783,0,21.465796,0.3688016,0,20.8094,0.25768366,0,20.482023,0.48101544,0,19.722864,0.18310432,0,0.28716666,0.25250727
"iDR4_3_SPLUS-s23s18_0000218","SPLUS-s23s18",26.93255957898269,-30.277509499005973,2372.9016,898.9614,1.6830938,0.40585607,-47.73822,1.3682515E-4,8.128112E-5,1.9364177,4.2333307,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,24.718004,4.4243875,0,99.0,99.0,0,20.849861,0.18162946,0,20.304958,0.27775574,0,20.519089,0.2579678,0,0.87958336,0.3545574
