ObjID,GLXID,plate,MJD,fiberID,RA,DEC,z_gswl,chi2_sed,logM_stellar,e_logM_stellar,logSFR_sed,e_logSFR_sed,A_FUV,e_A_FUV,A_B,e_A_B,A_V,e_A_V,flag_sed,UV_survey,flag_uv,flag_midir,flag_mgs,group_id,ra,dec,z,group_L,stellar_mass,halo_mass1,halo_mass2,mean_separation_L,mean_separation_M,f_edge,ID1,ID2,Separation
1237668289617854657,-99,2583,54095,545,148.95632,16.641966,0.1606,0.51,10.965,0.027,-1.41,0.741,1.519,0.674,0.286,0.055,0.202,0.044,0,1,0,6,1,448202,148.95630209,16.64193934,0.1606085,10.3788,10.809,12.5724,12.6476,9.436,9.9774,1.0,-1,-1,0.11413842715540458
1237658423539007772,6377952693256720269,1185,52642,176,126.05798,3.846612,0.1022,0.42,10.751,0.032,-1.084,0.847,1.893,0.741,0.319,0.122,0.219,0.086,0,1,0,0,1,195380,126.05797496,3.84661479,0.1021873,10.1101,10.5796,12.128,12.3001,6.8472,7.7373,1.0,-1,-1,0.020702779792944957
1237662638521713043,-99,2520,54584,149,237.55009,10.409785,0.1186,1.56,10.586,0.044,0.05,0.314,3.784,1.004,0.548,0.11,0.347,0.07,0,1,0,7,1,454805,237.55011047,10.40977829,0.1186397,10.1028,10.4945,12.1172,12.1814,6.7951,7.1104,1.0,-1,-1,0.0763984873628508
1237655474511938051,6371513956385685978,979,52427,522,260.14328,28.108505,0.1375,0.76,11.107,0.027,0.225,0.171,1.541,0.494,0.277,0.085,0.197,0.077,0,1,2,6,1,147713,260.14324442,28.1085019,0.1374649,10.3628,10.8023,12.5429,12.6369,9.2312,9.8994,1.0,1,1,0.11353075277054417
1237661971195232359,-99,1803,54152,21,207.20962,6.700215,0.1371,1.47,11.174,0.065,-0.291,0.828,2.721,1.403,0.551,0.174,0.395,0.14,0,1,0,1,1,276225,207.20960856,6.70020755,0.13707,10.5921,11.008,12.9673,12.9783,12.7661,12.8785,1.0,1,1,0.04891160492666308
1237658299530346674,6382702536245124142,995,52731,464,149.99999,6.270705,0.0929,0.04,10.511,0.064,0.713,0.084,2.407,0.609,0.638,0.135,0.457,0.127,0,1,0,2,1,191123,149.99997614,6.27070499,0.0928772,10.1911,10.2985,12.2599,11.9493,7.5189,6.0391,0.96,-1,-1,0.049597481915691306
1237662263775854760,-99,1804,53886,366,205.53868,9.39224,0.1586,3.58,11.105,0.07,-0.406,0.843,3.056,1.651,0.505,0.158,0.346,0.109,0,1,0,2,1,295076,205.53869213,9.39223445,0.1586412,10.5705,10.9948,12.9273,12.9561,12.3673,12.6518,1.0,-1,-1,0.047490111970042895
1237665180060483803,6379254548312099385,2137,54206,598,220.77387,27.668588,0.0517,14.75,10.621,0.033,0.437,0.062,1.686,0.188,0.796,0.091,0.649,0.077,0,1,3,2,1,372317,220.77387118,27.66857843,0.0517311,10.1477,10.249,12.1887,11.9007,7.1475,5.8378,1.0,1,1,0.03465681334671113
1237663784741109835,6476143416312860486,396,51816,430,15.593439,0.42801,0.0787,0.13,10.718,0.036,-1.38,0.761,1.714,0.946,0.301,0.068,0.215,0.048,0,1,0,6,1,334195,15.59342047,0.42800333,0.0787188,9.927,10.4001,11.8783,12.0636,5.7486,6.543,1.0,1,1,0.07089629815897437
1237665102757232830,6387909896327664215,2169,53556,460,236.92036,23.65765,0.1177,3.35,10.819,0.04,-0.068,0.422,4.948,0.998,0.652,0.125,0.407,0.077,0,1,2,2,1,365273,236.92032233,23.65764599,0.1176992,10.2162,10.6714,12.2979,12.4344,7.7256,8.5263,1.0,1,-1,0.12505113975543375
