ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds
iDR4_3_SPLUS-s24s53_0019306,SPLUS-s24s53,322.2143464549008,-31.07773952049676,5816.65625,4352.30419921875,1.1249852180480957,0.11109942197799683,-76.44039154052734,0.00025618664221838117,0.00022773056116420776,3.033813953399658,7.794679164886475,21.907451629638672,0.8364667892456055,3,21.17564582824707,0.7154115438461304,3,99.0,99.0,3,99.0,99.0,3,22.71630859375,3.776742696762085,3,20.918378829956055,0.252890408039093,3,22.890668869018555,3.7002739906311035,3,19.885263442993164,0.1251804530620575,3,19.952892303466797,0.1550193727016449,3,19.775548934936523,0.18104353547096252,3,20.616683959960938,0.9685355424880981,3,19.615041732788086,0.3757559359073639,3,0.45116665959358215,0.17828057706356049
iDR4_3_SPLUS-s24s53_0019460,SPLUS-s24s53,322.21323171798764,-31.076862466907823,5822.908203125,4358.04150390625,1.5995696783065796,0.3748318552970886,28.62230110168457,0.00047866522800177336,0.00029928472940810025,2.0893964767456055,6.618825912475586,20.362939834594727,0.18644368648529053,2,20.553142547607422,0.3716762363910675,2,20.026784896850586,0.354023277759552,2,19.1633358001709,0.14332765340805054,2,18.84430694580078,0.1004009023308754,2,18.40616226196289,0.02478627860546112,2,18.314069747924805,0.053046565502882004,2,17.556880950927734,0.014629052951931953,2,17.451946258544922,0.015642017126083374,2,17.148683547973633,0.01556022372096777,2,17.074602127075195,0.0348849818110466,2,17.056123733520508,0.03324195742607117,2,0.14149999618530273,0.4301334023475647
iDR4_3_SPLUS-s24s53_0019523,SPLUS-s24s53,322.21806079131295,-31.071855230354462,5795.8515625,4390.830078125,1.5769448280334473,0.3658623695373535,-81.25576782226562,0.00017250860400963575,0.00010940225911326706,1.115092396736145,1.5343633890151978,23.49045753479004,0.5929038524627686,0,99.0,99.0,0,24.61092185974121,4.2218708992004395,0,99.0,99.0,0,99.0,99.0,0,23.433372497558594,0.42042073607444763,0,22.31117820739746,0.36692142486572266,0,22.11338233947754,0.16321082413196564,0,22.519290924072266,0.27285221219062805,0,22.2866153717041,0.29913967847824097,0,99.0,99.0,0,22.533693313598633,0.8944828510284424,0,0.2932499945163727,0.1227121576666832
iDR4_3_SPLUS-s24s53_0019668,SPLUS-s24s53,322.2142428150586,-31.06772693456614,5817.2705078125,4417.84130859375,2.079139232635498,0.5190317034721375,-34.119319915771484,0.00020462574320845306,9.840036364039406e-05,2.3342676162719727,3.855254650115967,99.0,99.0,0,21.568572998046875,0.6968558430671692,0,99.0,99.0,0,21.87506675720215,1.2652212381362915,0,21.931640625,1.2438335418701172,0,22.699459075927734,0.8793081045150757,0,21.79463005065918,0.9151106476783752,0,21.649898529052734,0.42831042408943176,0,21.498592376708984,0.43455010652542114,0,21.8767147064209,0.8476688265800476,0,23.05771255493164,6.204057216644287,0,20.11380386352539,0.4028222858905792,0,0.6810833215713501,0.1580858677625656
iDR4_3_SPLUS-s24s53_0019772,SPLUS-s24s53,322.21644107262676,-31.065024402411144,5804.9541015625,4435.53662109375,1.2363675832748413,0.1911790370941162,-58.577144622802734,0.00022151079610921443,0.00017917013610713184,2.8121886253356934,7.572373390197754,21.70326042175293,0.6330955624580383,0,24.644163131713867,15.863977432250977,0,23.01321792602539,5.504178524017334,0,22.61467170715332,3.3543598651885986,0,23.18334197998047,5.2954936027526855,0,21.401756286621094,0.35915058851242065,0,24.827606201171875,20.085111618041992,0,20.22174072265625,0.15561699867248535,0,20.409893035888672,0.21538956463336945,0,20.142982482910156,0.23167254030704498,0,20.11595344543457,0.5809738039970398,0,19.25205421447754,0.24580903351306915,0,0.44075000286102295,0.2571014165878296
iDR4_3_SPLUS-s24s53_0019800,SPLUS-s24s53,322.2179666018863,-31.065041066105188,5796.40087890625,4435.431640625,1.5935239791870117,0.3724600076675415,-85.55941772460938,0.0002621860185172409,0.00016453916032332927,1.8995825052261353,4.110666751861572,22.08297348022461,0.7329121232032776,0,22.109460830688477,1.256201148033142,0,21.511232376098633,1.125438928604126,0,22.549734115600586,2.580695867538452,0,20.7728214263916,0.4724465608596802,0,21.681743621826172,0.37987038493156433,0,21.031938552856445,0.49962812662124634,0,20.811391830444336,0.21848849952220917,0,20.73499298095703,0.237263485789299,0,20.193904876708984,0.1982889473438263,0,20.956605911254883,0.9870929718017578,0,19.819276809692383,0.33798056840896606,0,0.23116666078567505,0.20458483695983887
iDR4_3_SPLUS-s24s53_0019847,SPLUS-s24s53,322.20801212787234,-31.063757489499118,5852.2177734375,4443.8046875,1.3129403591156006,0.2383507490158081,-51.55064392089844,0.00022191961761564016,0.00016903049254324287,2.3621878623962402,5.624592304229736,21.1927490234375,0.3754846751689911,0,24.04106903076172,8.633328437805176,0,20.287599563598633,0.4244944155216217,0,20.552507400512695,0.4796091914176941,0,22.372819900512695,2.390385866165161,0,22.925209045410156,1.387053370475769,0,21.78972053527832,1.1707311868667603,0,20.77837371826172,0.2462562620639801,0,20.57105255126953,0.23721130192279816,0,19.808408737182617,0.1622903048992157,0,19.74940299987793,0.37798798084259033,0,19.964738845825195,0.45001518726348877,0,0.628166675567627,0.402508944272995
iDR4_3_SPLUS-s24s53_0019997,SPLUS-s24s53,322.21934812696867,-31.058829658722342,5788.673828125,4476.09228515625,1.339406967163086,0.253400981426239,15.104837417602539,0.00015219762281049043,0.00011363750672899187,1.0246323347091675,1.5052961111068726,25.655031204223633,3.967650890350342,0,23.44127655029297,0.8772573471069336,0,99.0,99.0,0,99.0,99.0,0,23.598352432250977,1.296123743057251,0,26.497467041015625,6.525228977203369,0,22.623254776000977,0.4505907893180847,0,22.43678092956543,0.2051761895418167,0,22.688234329223633,0.2998203635215759,0,21.666765213012695,0.16163191199302673,0,99.0,99.0,0,21.7403507232666,0.40763983130455017,0,0.8924999833106995,0.19451789557933807
iDR4_3_SPLUS-s24s53_0020087,SPLUS-s24s53,322.2152398660303,-31.058852081217275,5811.708984375,4475.9345703125,1.0596829652786255,0.056321561336517334,-69.10956573486328,0.00024991860846057534,0.0002358463389100507,1.4017316102981567,3.066713333129883,22.532793045043945,0.8391328454017639,0,21.145336151123047,0.396230548620224,0,21.80860710144043,1.125372290611267,0,21.057188034057617,0.5040017366409302,0,21.18317413330078,0.526433527469635,0,19.392587661743164,0.03832105174660683,0,19.388456344604492,0.08849447220563889,0,18.065820693969727,0.01534388866275549,0,17.668262481689453,0.013148426078259945,0,17.01171875,0.009447534568607807,0,16.70987319946289,0.016676142811775208,0,16.574440002441406,0.014195222407579422,0,0.49924999475479126,0.3556642234325409
iDR4_3_SPLUS-s24s53_0020145,SPLUS-s24s53,322.21168290351443,-31.065139855409505,5831.6318359375,4434.767578125,1.1835771799087524,0.1551036834716797,37.80606460571289,0.0006357647362165153,0.0005371683510020375,4.288965225219727,9.31193733215332,18.794370651245117,0.0746413841843605,0,18.676267623901367,0.11154372245073318,0,18.286108016967773,0.12088193744421005,0,18.18970489501953,0.09791399538516998,0,18.112531661987305,0.08568478375673294,0,17.542604446411133,0.018482869490981102,0,17.222864151000977,0.03260060399770737,0,16.784387588500977,0.011787250638008118,0,16.672168731689453,0.012490336783230305,0,16.415637969970703,0.013103506527841091,0,16.236663818359375,0.026929821819067,0,16.130176544189453,0.023750482127070427,0,0.10741666704416275,0.7901597023010254
