group_id,ra,dec,z,group_L,stellar_mass,halo_mass1,halo_mass2,mean_separation_L,mean_separation_M,f_edge,ID1,ID2
407675,155.44171535,26.92755466,0.080243,10.1957,10.5443,12.2677,12.2514,7.5611,7.4727,1.0,-1,-1
412235,184.50171481,27.16085649,0.1066086,10.0109,10.4241,11.9868,12.0923,6.2003,6.6761,1.0,-1,-1
244734,141.61200855,32.3190032,0.0927043,9.9894,10.1744,11.9575,11.8355,6.0744,5.5805,1.0,-1,-1
350056,160.60543947,37.79842392,0.1402764,10.3062,10.4971,12.4431,12.1848,8.5798,7.1278,1.0,1,-1
459707,170.65044806,16.32329147,0.1134011,10.4625,10.8512,12.7276,12.7165,10.6008,10.5121,1.0,1,1
407431,128.96346483,18.23861456,0.0811863,10.3832,10.6401,12.5804,12.3891,9.4917,8.2505,1.0,1,-1
457590,212.66609072,15.75167049,0.1543185,10.4371,10.9019,12.6796,12.8028,10.2229,11.2247,1.0,-1,-1
54626,185.22386833,0.60864896,0.1024622,9.9378,10.4426,11.892,12.1147,5.8032,6.7827,1.0,-1,-1
123258,192.58495636,64.96795015,0.0807096,9.9601,10.3391,11.92,11.9938,5.9179,6.2304,1.0,-1,-1
71636,259.80892879,57.69138604,0.1485844,10.6616,10.9159,13.0926,12.826,14.1162,11.4284,1.0,1,1
402901,126.23412454,16.38264921,0.0663672,10.3877,10.6389,12.589,12.3875,9.5519,8.2411,1.0,1,1
248592,253.10805554,30.97333308,0.0947577,9.9243,10.3807,11.8748,12.0408,5.7349,6.4389,1.0,-1,-1
261354,167.90059407,44.44714772,0.0747524,9.7795,10.1621,11.7166,11.8263,5.1402,5.5449,1.0,1,1
52092,222.10208664,-1.13425001,0.0822729,9.9151,10.3289,11.8637,11.9825,5.6904,6.1816,0.955,-1,-1
428822,155.4384931,20.05231054,0.1122268,10.4194,10.7929,12.6463,12.6215,9.9676,9.7861,1.0,1,1
152203,260.47533876,30.80060842,0.0951977,9.8962,9.8707,11.8404,0.0,5.5992,0.0,1.0,-1,0
190295,160.90084552,6.0814344,0.0566259,10.173,10.577,12.2288,12.2969,7.3543,7.7203,1.0,1,1
405731,183.63017865,28.96264663,0.0631192,9.7291,9.966,11.6872,0.0,5.0368,0.0,1.0,1,0
167971,167.20240831,53.1383798,0.104898,10.0105,10.4247,11.9864,12.0929,6.1986,6.679,1.0,-1,-1
131298,251.35093673,44.44209698,0.1434406,10.6055,10.8926,12.9923,12.7867,13.0213,11.0884,1.0,1,1
288122,169.71310161,39.5264331,0.0863151,9.9699,10.5247,11.9319,12.2227,5.967,7.3223,1.0,-1,-1
151669,256.40123722,34.97267262,0.091629,10.0893,10.4083,12.0967,12.0726,6.6967,6.585,1.0,-1,-1
85463,228.43810302,1.32342089,0.0943258,10.3358,10.7764,12.4937,12.5955,8.9036,9.5972,0.85,1,1
157057,354.36722779,14.91079531,0.103954,10.341,10.8564,12.5031,12.7255,8.9651,10.5842,1.0,1,1
351913,201.42064922,36.94663185,0.1521464,10.4571,10.9138,12.7177,12.8225,10.5216,11.3978,1.0,-1,-1
279775,215.78491119,37.60485896,0.1698284,10.4598,10.7958,12.7226,12.6261,10.561,9.8204,1.0,-1,-1
66850,189.72750139,-2.29221073,0.1121835,10.1036,10.5225,12.1185,12.2194,6.8013,7.3053,1.0,-1,-1
267927,216.21477032,10.14217048,0.1096042,9.9954,10.2753,11.9663,11.9263,6.1122,5.9438,1.0,-1,-1
67654,142.98965207,-0.75479459,0.1265891,10.1378,10.597,12.1724,12.3251,7.0656,7.8793,1.0,-1,-1
161115,331.36794002,-7.45623566,0.0592547,10.2343,10.7477,12.3247,12.5494,7.8768,9.2747,0.935,1,1
107276,349.93719645,-10.16585357,0.0703407,9.7972,10.153,11.7331,11.8193,5.1987,5.5181,0.98,1,1
434842,125.36741867,11.93615279,0.1293285,10.2696,10.7763,12.3803,12.5952,8.1988,9.5954,1.0,1,1
363906,216.25475279,29.84662302,0.0521928,10.1576,10.5888,12.2041,12.3124,7.2255,7.8073,1.0,1,1
123571,118.12348946,33.8076318,0.0626354,9.8007,10.0585,11.7365,11.7668,5.2109,5.3212,1.0,1,1
267681,193.77282113,11.80888215,0.164641,10.5125,10.7871,12.8195,12.6121,11.3719,9.7175,1.0,-1,-1
88844,168.44339026,1.58665377,0.1039264,10.3428,10.7626,12.5063,12.5729,8.9862,9.4392,1.0,1,1
456273,249.44589974,11.49753367,0.0795788,10.5109,10.9371,12.8166,12.8622,11.3463,11.7525,0.8,1,1
369316,182.32062868,35.17721694,0.1377182,10.2337,10.5053,12.3237,12.1964,7.8714,7.186,1.0,1,-1
239836,192.60213505,50.31711719,0.1279364,10.2963,10.2798,12.426,11.9309,8.4744,5.9629,1.0,1,-1
123494,197.93614967,65.41249552,0.0883166,9.842,9.94,11.7788,0.0,5.3655,0.0,1.0,-1,0
271796,200.41575811,50.3797625,0.048156,10.1381,10.375,12.1731,12.0341,7.0688,6.4092,1.0,1,1
276343,172.20810552,7.49799008,0.115811,10.2775,10.627,12.3939,12.3695,8.2793,8.1349,1.0,1,-1
245191,157.3171494,38.31191862,0.1094413,10.3531,10.6559,12.5251,12.412,9.112,8.3885,1.0,1,-1
156194,331.53476047,11.95901167,0.1579932,10.7134,11.0977,13.1824,13.1208,15.1988,14.446,0.965,-1,-1
223825,139.2125061,37.20174654,0.1070793,10.1065,10.569,12.1225,12.2865,6.8203,7.6635,1.0,-1,-1
421901,156.38325184,22.38858688,0.1093738,10.0362,10.4749,12.0208,12.1565,6.3496,6.9858,1.0,-1,-1
255418,163.21543416,10.42153562,0.0890558,9.8353,10.2719,11.7719,11.923,5.3399,5.9302,1.0,-1,-1
199596,185.77767334,9.61926365,0.1429716,10.5538,11.1201,12.8976,13.1551,12.0777,14.8547,1.0,1,1
250991,225.42424031,51.17334958,0.1477803,10.6341,10.9328,13.0443,12.8552,13.5692,11.6876,1.0,1,1
216918,243.27467455,42.35359863,0.1314614,10.1941,10.2453,12.2647,11.8974,7.5448,5.8247,1.0,-1,-1
230210,139.75350655,7.84698973,0.1317875,10.3282,10.8478,12.4805,12.7107,8.8185,10.4657,1.0,1,1
324533,233.55668566,27.24880575,0.0694549,10.0134,10.3413,11.9903,11.9962,6.2155,6.2406,0.675,1,1
